dataset,ordering,metric,parameter,value
yeast,TSNE,lambda,pearson,4.82377204825
yeast,TSNE,lambda,stringy,24.9057169322
yeast,TSNE,lambda,monotonic,8.40583967912
yeast,TSNE,lambda,skewed,26.4891912849
yeast,TSNE,lambda,clumpy,0.42214101082
yeast,TSNE,lambda,sparse,3.8765813692
yeast,TSNE,lambda,convex,10.6959352944
yeast,TSNE,lambda,striated,36.7486109203
yeast,TSNE,lambda,outlying,14.2698162995
yeast,TSNE,lambda,skinny,18.5292128818
yeast,random,lambda,pearson,5.57619072856
yeast,random,lambda,stringy,25.7525605051
yeast,random,lambda,monotonic,8.33789413827
yeast,random,lambda,skewed,26.7752890242
yeast,random,lambda,clumpy,0.446249457713
yeast,random,lambda,sparse,3.80742814451
yeast,random,lambda,convex,10.5176723175
yeast,random,lambda,striated,37.2777228476
yeast,random,lambda,outlying,15.099687314
yeast,random,lambda,skinny,18.7772073959
yeast,original,lambda,pearson,5.21244693527
yeast,original,lambda,stringy,18.66800169
yeast,original,lambda,monotonic,8.40722299117
yeast,original,lambda,skewed,21.3349277538
yeast,original,lambda,clumpy,0.285806179536
yeast,original,lambda,sparse,4.05873900682
yeast,original,lambda,convex,7.9174553997
yeast,original,lambda,striated,19.1365581463
yeast,original,lambda,outlying,12.2016637381
yeast,original,lambda,skinny,18.1215598547
yeast,TSPmeans,lambda,pearson,4.25513616092
yeast,TSPmeans,lambda,stringy,25.7686394886
yeast,TSPmeans,lambda,monotonic,8.42815408609
yeast,TSPmeans,lambda,skewed,25.7711859528
yeast,TSPmeans,lambda,clumpy,0.448000170054
yeast,TSPmeans,lambda,sparse,3.81976947237
yeast,TSPmeans,lambda,convex,11.3121486382
yeast,TSPmeans,lambda,striated,37.7265657353
yeast,TSPmeans,lambda,outlying,14.1514025078
yeast,TSPmeans,lambda,skinny,19.4241974442
yeast,EM,lambda,pearson,4.25513616092
yeast,EM,lambda,stringy,25.7686394886
yeast,EM,lambda,monotonic,8.42815408609
yeast,EM,lambda,skewed,25.7711859528
yeast,EM,lambda,clumpy,0.448000170054
yeast,EM,lambda,sparse,3.81976947237
yeast,EM,lambda,convex,11.3121486382
yeast,EM,lambda,striated,37.7265657353
yeast,EM,lambda,outlying,14.1514025078
yeast,EM,lambda,skinny,19.4241974442
yeast,EMmanhattan,lambda,pearson,4.25513616092
yeast,EMmanhattan,lambda,stringy,25.7686394886
yeast,EMmanhattan,lambda,monotonic,8.42815408609
yeast,EMmanhattan,lambda,skewed,25.7711859528
yeast,EMmanhattan,lambda,clumpy,0.448000170054
yeast,EMmanhattan,lambda,sparse,3.81976947237
yeast,EMmanhattan,lambda,convex,11.3121486382
yeast,EMmanhattan,lambda,striated,37.7265657353
yeast,EMmanhattan,lambda,outlying,14.1514025078
yeast,EMmanhattan,lambda,skinny,19.4241974442
yeast,HColo,lambda,pearson,4.25513616092
yeast,HColo,lambda,stringy,25.7686394886
yeast,HColo,lambda,monotonic,8.42815408609
yeast,HColo,lambda,skewed,25.7711859528
yeast,HColo,lambda,clumpy,0.448000170054
yeast,HColo,lambda,sparse,3.81976947237
yeast,HColo,lambda,convex,11.3121486382
yeast,HColo,lambda,striated,37.7265657353
yeast,HColo,lambda,outlying,14.1514025078
yeast,HColo,lambda,skinny,19.4241974442
yeast,LK,lambda,pearson,3.80053591192
yeast,LK,lambda,stringy,25.2268475567
yeast,LK,lambda,monotonic,8.41619609668
yeast,LK,lambda,skewed,25.4634248492
yeast,LK,lambda,clumpy,0.429081602358
yeast,LK,lambda,sparse,3.86610068245
yeast,LK,lambda,convex,10.9763856983
yeast,LK,lambda,striated,36.5048108929
yeast,LK,lambda,outlying,14.1644142008
yeast,LK,lambda,skinny,19.236375936
yeast,MDS,lambda,pearson,4.57523990315
yeast,MDS,lambda,stringy,25.2481761159
yeast,MDS,lambda,monotonic,8.38893999178
yeast,MDS,lambda,skewed,26.5771521684
yeast,MDS,lambda,clumpy,0.405160307494
yeast,MDS,lambda,sparse,3.89114049706
yeast,MDS,lambda,convex,10.6546080172
yeast,MDS,lambda,striated,36.9745748834
yeast,MDS,lambda,outlying,15.579338689
yeast,MDS,lambda,skinny,18.5515210183
