length,diameter,whole_weight,shucked_weight,viscera_weight,height,shell_weight,rings
0.455,0.365,0.514,0.2245,0.101,0.095,0.15,15.0
0.35,0.265,0.2255,0.0995,0.0485,0.09,0.07,7.0
0.44,0.365,0.516,0.2155,0.114,0.125,0.155,10.0
0.475,0.37,0.5095,0.2165,0.1125,0.125,0.165,9.0
0.43,0.35,0.406,0.1675,0.081,0.11,0.135,10.0
0.49,0.38,0.5415,0.2175,0.095,0.135,0.19,11.0
0.5,0.4,0.6645,0.258,0.133,0.13,0.24,12.0
0.365,0.295,0.2555,0.097,0.043,0.08,0.1,7.0
0.45,0.32,0.381,0.1705,0.075,0.1,0.115,9.0
0.355,0.28,0.2455,0.0955,0.062,0.095,0.075,11.0
0.59,0.445,0.931,0.356,0.234,0.14,0.28,12.0
0.605,0.475,0.9365,0.394,0.219,0.18,0.295,15.0
0.575,0.425,0.8635,0.393,0.227,0.14,0.2,11.0
0.58,0.47,0.9975,0.3935,0.242,0.165,0.33,10.0
0.665,0.525,1.338,0.5515,0.3575,0.165,0.35,18.0
0.465,0.355,0.4795,0.227,0.124,0.105,0.125,8.0
0.355,0.29,0.3275,0.134,0.086,0.09,0.09,9.0
0.47,0.37,0.5795,0.293,0.227,0.12,0.14,9.0
0.4,0.32,0.303,0.1335,0.06,0.095,0.1,7.0
0.485,0.36,0.5415,0.2595,0.096,0.13,0.16,10.0
0.405,0.31,0.385,0.173,0.0915,0.1,0.11,7.0
0.445,0.35,0.4425,0.192,0.0955,0.12,0.135,8.0
0.47,0.385,0.5895,0.2765,0.12,0.135,0.17,8.0
0.45,0.345,0.4115,0.18,0.1125,0.105,0.135,7.0
0.505,0.405,0.625,0.305,0.16,0.11,0.175,9.0
0.425,0.325,0.3785,0.1705,0.08,0.095,0.1,7.0
0.52,0.4,0.58,0.234,0.1315,0.12,0.185,8.0
0.475,0.355,0.48,0.234,0.1015,0.12,0.135,8.0
0.555,0.425,0.7665,0.264,0.168,0.13,0.275,13.0
0.57,0.48,1.185,0.474,0.261,0.175,0.38,11.0
0.595,0.475,0.944,0.3625,0.189,0.14,0.315,9.0
0.62,0.51,1.615,0.5105,0.192,0.175,0.675,12.0
0.595,0.475,1.3175,0.408,0.234,0.16,0.58,21.0
0.58,0.45,1.013,0.38,0.216,0.14,0.36,14.0
0.625,0.465,1.195,0.4825,0.205,0.14,0.4,13.0
0.56,0.44,0.8645,0.3305,0.2075,0.16,0.26,10.0
0.565,0.425,0.8115,0.341,0.1675,0.135,0.255,15.0
0.555,0.44,0.755,0.307,0.1525,0.15,0.26,12.0
0.595,0.465,1.115,0.4015,0.254,0.175,0.39,13.0
0.695,0.56,1.494,0.588,0.3425,0.19,0.485,15.0
0.665,0.535,1.606,0.5755,0.388,0.195,0.48,14.0
0.535,0.435,0.725,0.269,0.1385,0.15,0.25,9.0
0.47,0.375,0.523,0.214,0.132,0.13,0.145,8.0
0.47,0.37,0.5225,0.201,0.133,0.13,0.165,7.0
0.55,0.435,0.843,0.328,0.1915,0.145,0.255,15.0
0.53,0.435,0.883,0.316,0.164,0.16,0.335,15.0
0.53,0.415,0.724,0.3105,0.1675,0.14,0.205,10.0
0.605,0.47,1.1735,0.4975,0.2405,0.16,0.345,12.0
0.495,0.395,0.5415,0.2375,0.1345,0.125,0.155,9.0
0.465,0.36,0.431,0.172,0.107,0.105,0.175,9.0
0.425,0.35,0.393,0.13,0.063,0.105,0.165,9.0
0.44,0.34,0.402,0.1305,0.0955,0.105,0.165,10.0
0.405,0.305,0.2605,0.1145,0.0595,0.085,0.085,8.0
0.37,0.265,0.214,0.09,0.051,0.075,0.07,6.0
0.7,0.535,1.7255,0.63,0.2635,0.16,0.54,19.0
0.71,0.54,1.959,0.7665,0.261,0.165,0.78,18.0
0.595,0.48,1.262,0.4835,0.283,0.165,0.41,17.0
0.345,0.255,0.2005,0.094,0.0295,0.09,0.063,9.0
0.375,0.285,0.253,0.096,0.0575,0.095,0.0925,9.0
0.65,0.52,1.3445,0.519,0.306,0.19,0.4465,16.0
0.56,0.455,0.797,0.34,0.19,0.155,0.2425,11.0
0.475,0.375,0.5175,0.2075,0.1165,0.13,0.17,10.0
0.46,0.35,0.515,0.224,0.108,0.12,0.1565,10.0
0.59,0.475,1.053,0.4415,0.262,0.145,0.325,15.0
0.515,0.405,0.722,0.32,0.131,0.13,0.21,10.0
0.645,0.485,1.514,0.546,0.2615,0.215,0.635,16.0
0.605,0.465,1.056,0.4215,0.2475,0.165,0.34,13.0
0.61,0.485,1.2445,0.544,0.297,0.175,0.345,12.0
0.725,0.57,2.55,1.0705,0.483,0.19,0.725,14.0
