length,whole_weight,shell_weight,viscera_weight,height,diameter,shucked_weight,rings
0.455,0.514,0.15,0.101,0.095,0.365,0.2245,15.0
0.35,0.2255,0.07,0.0485,0.09,0.265,0.0995,7.0
0.44,0.516,0.155,0.114,0.125,0.365,0.2155,10.0
0.475,0.5095,0.165,0.1125,0.125,0.37,0.2165,9.0
0.43,0.406,0.135,0.081,0.11,0.35,0.1675,10.0
0.49,0.5415,0.19,0.095,0.135,0.38,0.2175,11.0
0.5,0.6645,0.24,0.133,0.13,0.4,0.258,12.0
0.365,0.2555,0.1,0.043,0.08,0.295,0.097,7.0
0.45,0.381,0.115,0.075,0.1,0.32,0.1705,9.0
0.355,0.2455,0.075,0.062,0.095,0.28,0.0955,11.0
0.59,0.931,0.28,0.234,0.14,0.445,0.356,12.0
0.605,0.9365,0.295,0.219,0.18,0.475,0.394,15.0
0.575,0.8635,0.2,0.227,0.14,0.425,0.393,11.0
0.58,0.9975,0.33,0.242,0.165,0.47,0.3935,10.0
0.665,1.338,0.35,0.3575,0.165,0.525,0.5515,18.0
0.465,0.4795,0.125,0.124,0.105,0.355,0.227,8.0
0.355,0.3275,0.09,0.086,0.09,0.29,0.134,9.0
0.47,0.5795,0.14,0.227,0.12,0.37,0.293,9.0
0.4,0.303,0.1,0.06,0.095,0.32,0.1335,7.0
0.485,0.5415,0.16,0.096,0.13,0.36,0.2595,10.0
0.405,0.385,0.11,0.0915,0.1,0.31,0.173,7.0
0.445,0.4425,0.135,0.0955,0.12,0.35,0.192,8.0
0.47,0.5895,0.17,0.12,0.135,0.385,0.2765,8.0
0.45,0.4115,0.135,0.1125,0.105,0.345,0.18,7.0
0.505,0.625,0.175,0.16,0.11,0.405,0.305,9.0
0.425,0.3785,0.1,0.08,0.095,0.325,0.1705,7.0
0.52,0.58,0.185,0.1315,0.12,0.4,0.234,8.0
0.475,0.48,0.135,0.1015,0.12,0.355,0.234,8.0
0.555,0.7665,0.275,0.168,0.13,0.425,0.264,13.0
0.57,1.185,0.38,0.261,0.175,0.48,0.474,11.0
0.595,0.944,0.315,0.189,0.14,0.475,0.3625,9.0
0.62,1.615,0.675,0.192,0.175,0.51,0.5105,12.0
0.595,1.3175,0.58,0.234,0.16,0.475,0.408,21.0
0.58,1.013,0.36,0.216,0.14,0.45,0.38,14.0
0.625,1.195,0.4,0.205,0.14,0.465,0.4825,13.0
0.56,0.8645,0.26,0.2075,0.16,0.44,0.3305,10.0
0.565,0.8115,0.255,0.1675,0.135,0.425,0.341,15.0
0.555,0.755,0.26,0.1525,0.15,0.44,0.307,12.0
0.595,1.115,0.39,0.254,0.175,0.465,0.4015,13.0
0.695,1.494,0.485,0.3425,0.19,0.56,0.588,15.0
0.665,1.606,0.48,0.388,0.195,0.535,0.5755,14.0
0.535,0.725,0.25,0.1385,0.15,0.435,0.269,9.0
0.47,0.523,0.145,0.132,0.13,0.375,0.214,8.0
0.47,0.5225,0.165,0.133,0.13,0.37,0.201,7.0
0.55,0.843,0.255,0.1915,0.145,0.435,0.328,15.0
0.53,0.883,0.335,0.164,0.16,0.435,0.316,15.0
0.53,0.724,0.205,0.1675,0.14,0.415,0.3105,10.0
0.605,1.1735,0.345,0.2405,0.16,0.47,0.4975,12.0
0.495,0.5415,0.155,0.1345,0.125,0.395,0.2375,9.0
0.465,0.431,0.175,0.107,0.105,0.36,0.172,9.0
0.425,0.393,0.165,0.063,0.105,0.35,0.13,9.0
0.44,0.402,0.165,0.0955,0.105,0.34,0.1305,10.0
0.405,0.2605,0.085,0.0595,0.085,0.305,0.1145,8.0
0.37,0.214,0.07,0.051,0.075,0.265,0.09,6.0
0.7,1.7255,0.54,0.2635,0.16,0.535,0.63,19.0
0.71,1.959,0.78,0.261,0.165,0.54,0.7665,18.0
0.595,1.262,0.41,0.283,0.165,0.48,0.4835,17.0
0.345,0.2005,0.063,0.0295,0.09,0.255,0.094,9.0
0.375,0.253,0.0925,0.0575,0.095,0.285,0.096,9.0
0.65,1.3445,0.4465,0.306,0.19,0.52,0.519,16.0
0.56,0.797,0.2425,0.19,0.155,0.455,0.34,11.0
0.475,0.5175,0.17,0.1165,0.13,0.375,0.2075,10.0
0.46,0.515,0.1565,0.108,0.12,0.35,0.224,10.0
0.59,1.053,0.325,0.262,0.145,0.475,0.4415,15.0
0.515,0.722,0.21,0.131,0.13,0.405,0.32,10.0
0.645,1.514,0.635,0.2615,0.215,0.485,0.546,16.0
0.605,1.056,0.34,0.2475,0.165,0.465,0.4215,13.0
0.61,1.2445,0.345,0.297,0.175,0.485,0.544,12.0
0.725,2.55,0.725,0.483,0.19,0.57,1.0705,14.0
0.705,1.981,0.76,0.3085,0.22,0.56,0.8175,14.0
0.695,1.9565,0.59,0.541,0.215,0.55,0.7125,14.0
0.525,1.065,0.285,0.233,0.155,0.435,0.486,8.0
0.58,0.97,0.35,0.2165,0.15,0.475,0.385,11.0
0.57,0.9395,0.295,0.2,0.18,0.48,0.399,14.0
0.64,1.368,0.57,0.266,0.175,0.51,0.515,21.0
0.62,1.218,0.355,0.2965,0.19,0.49,0.5455,13.0
0.615,1.1595,0.325,0.2165,0.18,0.48,0.4845,13.0
0.61,1.0225,0.36,0.2405,0.17,0.485,0.419,12.0
0.58,0.927,0.36,0.1815,0.15,0.45,0.276,14.0
0.5,0.772,0.245,0.1535,0.155,0.405,0.346,12.0
0.64,1.3035,0.465,0.2635,0.185,0.5,0.4445,16.0
0.56,0.922,0.26,0.178,0.16,0.45,0.432,15.0
0.585,0.922,0.285,0.213,0.185,0.46,0.3635,10.0
0.5,0.825,0.285,0.205,0.165,0.4,0.254,13.0
0.42,0.369,0.12,0.071,0.115,0.335,0.171,8.0
0.335,0.181,0.06,0.0415,0.09,0.25,0.0755,7.0
0.5,0.6155,0.205,0.1355,0.14,0.405,0.241,9.0
0.55,0.8025,0.255,0.1635,0.14,0.405,0.244,10.0
0.45,0.46,0.135,0.111,0.13,0.35,0.174,8.0
0.47,0.501,0.165,0.115,0.135,0.36,0.1665,10.0
0.555,0.836,0.275,0.1625,0.135,0.445,0.336,13.0
0.565,0.9025,0.325,0.193,0.175,0.44,0.31,14.0
0.625,1.4455,0.435,0.287,0.215,0.505,0.496,22.0
0.565,0.9425,0.275,0.2185,0.16,0.425,0.3495,17.0
0.59,1.1235,0.36,0.2805,0.18,0.47,0.4205,13.0
0.6,1.2415,0.34,0.2775,0.165,0.495,0.485,15.0
0.56,1.011,0.37,0.2065,0.175,0.45,0.3835,15.0
0.56,1.07,0.41,0.175,0.185,0.45,0.3805,19.0
0.545,0.8975,0.345,0.1655,0.16,0.46,0.341,10.0
0.53,0.8945,0.245,0.239,0.165,0.42,0.319,11.0
