whole_weight,length,diameter,shucked_weight,shell_weight,viscera_weight,height,rings
0.514,0.455,0.365,0.2245,0.15,0.101,0.095,15.0
0.2255,0.35,0.265,0.0995,0.07,0.0485,0.09,7.0
0.516,0.44,0.365,0.2155,0.155,0.114,0.125,10.0
0.5095,0.475,0.37,0.2165,0.165,0.1125,0.125,9.0
0.406,0.43,0.35,0.1675,0.135,0.081,0.11,10.0
0.5415,0.49,0.38,0.2175,0.19,0.095,0.135,11.0
0.6645,0.5,0.4,0.258,0.24,0.133,0.13,12.0
0.2555,0.365,0.295,0.097,0.1,0.043,0.08,7.0
0.381,0.45,0.32,0.1705,0.115,0.075,0.1,9.0
0.2455,0.355,0.28,0.0955,0.075,0.062,0.095,11.0
0.931,0.59,0.445,0.356,0.28,0.234,0.14,12.0
0.9365,0.605,0.475,0.394,0.295,0.219,0.18,15.0
0.8635,0.575,0.425,0.393,0.2,0.227,0.14,11.0
0.9975,0.58,0.47,0.3935,0.33,0.242,0.165,10.0
1.338,0.665,0.525,0.5515,0.35,0.3575,0.165,18.0
0.4795,0.465,0.355,0.227,0.125,0.124,0.105,8.0
0.3275,0.355,0.29,0.134,0.09,0.086,0.09,9.0
0.5795,0.47,0.37,0.293,0.14,0.227,0.12,9.0
0.303,0.4,0.32,0.1335,0.1,0.06,0.095,7.0
0.5415,0.485,0.36,0.2595,0.16,0.096,0.13,10.0
0.385,0.405,0.31,0.173,0.11,0.0915,0.1,7.0
0.4425,0.445,0.35,0.192,0.135,0.0955,0.12,8.0
0.5895,0.47,0.385,0.2765,0.17,0.12,0.135,8.0
0.4115,0.45,0.345,0.18,0.135,0.1125,0.105,7.0
0.625,0.505,0.405,0.305,0.175,0.16,0.11,9.0
0.3785,0.425,0.325,0.1705,0.1,0.08,0.095,7.0
0.58,0.52,0.4,0.234,0.185,0.1315,0.12,8.0
0.48,0.475,0.355,0.234,0.135,0.1015,0.12,8.0
0.7665,0.555,0.425,0.264,0.275,0.168,0.13,13.0
1.185,0.57,0.48,0.474,0.38,0.261,0.175,11.0
0.944,0.595,0.475,0.3625,0.315,0.189,0.14,9.0
