length,diameter,height,viscera_weight,shell_weight,shucked_weight,whole_weight,rings
0.455,0.365,0.095,0.101,0.15,0.2245,0.514,15.0
0.35,0.265,0.09,0.0485,0.07,0.0995,0.2255,7.0
0.44,0.365,0.125,0.114,0.155,0.2155,0.516,10.0
0.475,0.37,0.125,0.1125,0.165,0.2165,0.5095,9.0
0.43,0.35,0.11,0.081,0.135,0.1675,0.406,10.0
0.49,0.38,0.135,0.095,0.19,0.2175,0.5415,11.0
0.5,0.4,0.13,0.133,0.24,0.258,0.6645,12.0
0.365,0.295,0.08,0.043,0.1,0.097,0.2555,7.0
0.45,0.32,0.1,0.075,0.115,0.1705,0.381,9.0
0.355,0.28,0.095,0.062,0.075,0.0955,0.2455,11.0
0.59,0.445,0.14,0.234,0.28,0.356,0.931,12.0
0.605,0.475,0.18,0.219,0.295,0.394,0.9365,15.0
0.575,0.425,0.14,0.227,0.2,0.393,0.8635,11.0
0.58,0.47,0.165,0.242,0.33,0.3935,0.9975,10.0
0.665,0.525,0.165,0.3575,0.35,0.5515,1.338,18.0
0.465,0.355,0.105,0.124,0.125,0.227,0.4795,8.0
0.355,0.29,0.09,0.086,0.09,0.134,0.3275,9.0
0.47,0.37,0.12,0.227,0.14,0.293,0.5795,9.0
0.4,0.32,0.095,0.06,0.1,0.1335,0.303,7.0
0.485,0.36,0.13,0.096,0.16,0.2595,0.5415,10.0
0.405,0.31,0.1,0.0915,0.11,0.173,0.385,7.0
0.445,0.35,0.12,0.0955,0.135,0.192,0.4425,8.0
0.47,0.385,0.135,0.12,0.17,0.2765,0.5895,8.0
0.45,0.345,0.105,0.1125,0.135,0.18,0.4115,7.0
0.505,0.405,0.11,0.16,0.175,0.305,0.625,9.0
0.425,0.325,0.095,0.08,0.1,0.1705,0.3785,7.0
0.52,0.4,0.12,0.1315,0.185,0.234,0.58,8.0
0.475,0.355,0.12,0.1015,0.135,0.234,0.48,8.0
0.555,0.425,0.13,0.168,0.275,0.264,0.7665,13.0
0.57,0.48,0.175,0.261,0.38,0.474,1.185,11.0
0.595,0.475,0.14,0.189,0.315,0.3625,0.944,9.0
0.62,0.51,0.175,0.192,0.675,0.5105,1.615,12.0
0.595,0.475,0.16,0.234,0.58,0.408,1.3175,21.0
0.58,0.45,0.14,0.216,0.36,0.38,1.013,14.0
0.625,0.465,0.14,0.205,0.4,0.4825,1.195,13.0
0.56,0.44,0.16,0.2075,0.26,0.3305,0.8645,10.0
0.565,0.425,0.135,0.1675,0.255,0.341,0.8115,15.0
0.555,0.44,0.15,0.1525,0.26,0.307,0.755,12.0
0.595,0.465,0.175,0.254,0.39,0.4015,1.115,13.0
0.695,0.56,0.19,0.3425,0.485,0.588,1.494,15.0
0.665,0.535,0.195,0.388,0.48,0.5755,1.606,14.0
0.535,0.435,0.15,0.1385,0.25,0.269,0.725,9.0
0.47,0.375,0.13,0.132,0.145,0.214,0.523,8.0
0.47,0.37,0.13,0.133,0.165,0.201,0.5225,7.0
0.55,0.435,0.145,0.1915,0.255,0.328,0.843,15.0
0.53,0.435,0.16,0.164,0.335,0.316,0.883,15.0
0.53,0.415,0.14,0.1675,0.205,0.3105,0.724,10.0
0.605,0.47,0.16,0.2405,0.345,0.4975,1.1735,12.0
0.495,0.395,0.125,0.1345,0.155,0.2375,0.5415,9.0
0.465,0.36,0.105,0.107,0.175,0.172,0.431,9.0
0.425,0.35,0.105,0.063,0.165,0.13,0.393,9.0
0.44,0.34,0.105,0.0955,0.165,0.1305,0.402,10.0
0.405,0.305,0.085,0.0595,0.085,0.1145,0.2605,8.0
0.37,0.265,0.075,0.051,0.07,0.09,0.214,6.0
0.7,0.535,0.16,0.2635,0.54,0.63,1.7255,19.0
0.71,0.54,0.165,0.261,0.78,0.7665,1.959,18.0
0.595,0.48,0.165,0.283,0.41,0.4835,1.262,17.0
0.345,0.255,0.09,0.0295,0.063,0.094,0.2005,9.0
0.375,0.285,0.095,0.0575,0.0925,0.096,0.253,9.0
0.65,0.52,0.19,0.306,0.4465,0.519,1.3445,16.0
0.56,0.455,0.155,0.19,0.2425,0.34,0.797,11.0
0.475,0.375,0.13,0.1165,0.17,0.2075,0.5175,10.0
0.46,0.35,0.12,0.108,0.1565,0.224,0.515,10.0
0.59,0.475,0.145,0.262,0.325,0.4415,1.053,15.0
0.515,0.405,0.13,0.131,0.21,0.32,0.722,10.0
0.645,0.485,0.215,0.2615,0.635,0.546,1.514,16.0
0.605,0.465,0.165,0.2475,0.34,0.4215,1.056,13.0
0.61,0.485,0.175,0.297,0.345,0.544,1.2445,12.0
0.725,0.57,0.19,0.483,0.725,1.0705,2.55,14.0
0.705,0.56,0.22,0.3085,0.76,0.8175,1.981,14.0
0.695,0.55,0.215,0.541,0.59,0.7125,1.9565,14.0
0.525,0.435,0.155,0.233,0.285,0.486,1.065,8.0
0.58,0.475,0.15,0.2165,0.35,0.385,0.97,11.0
0.57,0.48,0.18,0.2,0.295,0.399,0.9395,14.0
0.64,0.51,0.175,0.266,0.57,0.515,1.368,21.0
0.62,0.49,0.19,0.2965,0.355,0.5455,1.218,13.0
0.615,0.48,0.18,0.2165,0.325,0.4845,1.1595,13.0
0.61,0.485,0.17,0.2405,0.36,0.419,1.0225,12.0
0.58,0.45,0.15,0.1815,0.36,0.276,0.927,14.0
0.5,0.405,0.155,0.1535,0.245,0.346,0.772,12.0
0.64,0.5,0.185,0.2635,0.465,0.4445,1.3035,16.0
0.56,0.45,0.16,0.178,0.26,0.432,0.922,15.0
0.585,0.46,0.185,0.213,0.285,0.3635,0.922,10.0
0.5,0.4,0.165,0.205,0.285,0.254,0.825,13.0
0.42,0.335,0.115,0.071,0.12,0.171,0.369,8.0
0.335,0.25,0.09,0.0415,0.06,0.0755,0.181,7.0
0.5,0.405,0.14,0.1355,0.205,0.241,0.6155,9.0
0.55,0.405,0.14,0.1635,0.255,0.244,0.8025,10.0
0.45,0.35,0.13,0.111,0.135,0.174,0.46,8.0
0.47,0.36,0.135,0.115,0.165,0.1665,0.501,10.0
0.555,0.445,0.135,0.1625,0.275,0.336,0.836,13.0
0.565,0.44,0.175,0.193,0.325,0.31,0.9025,14.0
0.625,0.505,0.215,0.287,0.435,0.496,1.4455,22.0
0.565,0.425,0.16,0.2185,0.275,0.3495,0.9425,17.0
0.59,0.47,0.18,0.2805,0.36,0.4205,1.1235,13.0
0.6,0.495,0.165,0.2775,0.34,0.485,1.2415,15.0
0.56,0.45,0.175,0.2065,0.37,0.3835,1.011,15.0
0.56,0.45,0.185,0.175,0.41,0.3805,1.07,19.0
0.545,0.46,0.16,0.1655,0.345,0.341,0.8975,10.0
0.53,0.42,0.165,0.239,0.245,0.319,0.8945,11.0
0.27,0.2,0.08,0.028,0.04,0.0465,0.1205,6.0
0.52,0.45,0.15,0.186,0.235,0.3615,0.895,14.0
0.35,0.275,0.11,0.0635,0.0905,0.1225,0.2925,8.0
0.47,0.39,0.15,0.0885,0.255,0.2185,0.6355,9.0
0.59,0.5,0.2,0.2705,0.37,0.412,1.187,16.0
0.62,0.485,0.205,0.2505,0.385,0.3875,1.219,14.0
0.63,0.505,0.225,0.3335,0.45,0.56,1.525,15.0
0.63,0.515,0.155,0.197,0.41,0.4105,1.259,13.0
0.655,0.54,0.215,0.327,0.585,0.7425,1.844,22.0
0.61,0.5,0.24,0.3345,0.69,0.532,1.642,18.0
0.635,0.525,0.205,0.3115,0.43,0.55,1.484,20.0
0.485,0.395,0.14,0.127,0.225,0.2285,0.6295,14.0
0.515,0.38,0.175,0.158,0.31,0.325,0.9565,14.0
0.53,0.435,0.155,0.1595,0.205,0.288,0.699,10.0
0.44,0.355,0.125,0.0815,0.19,0.132,0.4775,9.0
0.54,0.435,0.18,0.226,0.325,0.3835,0.996,17.0
0.61,0.475,0.165,0.2205,0.315,0.428,1.116,15.0
0.6,0.495,0.195,0.19,0.375,0.384,1.0575,26.0
0.49,0.395,0.14,0.1275,0.15,0.2215,0.549,11.0
0.37,0.28,0.105,0.0585,0.075,0.0905,0.234,9.0
0.37,0.28,0.1,0.0595,0.074,0.1065,0.252,8.0
0.36,0.27,0.1,0.0495,0.0715,0.0885,0.217,6.0
0.645,0.515,0.24,0.369,0.535,0.471,1.5415,13.0
0.55,0.41,0.125,0.1635,0.195,0.2505,0.7605,14.0
0.57,0.435,0.145,0.2355,0.275,0.3925,0.9055,10.0
0.56,0.44,0.14,0.2045,0.265,0.443,0.971,14.0
0.595,0.455,0.195,0.3235,0.345,0.4595,1.3305,19.0
0.63,0.485,0.175,0.2945,0.46,0.4335,1.3,23.0
0.45,0.35,0.1,0.1015,0.12,0.1465,0.3675,10.0
0.385,0.31,0.1,0.075,0.1,0.1065,0.2845,11.0
0.335,0.265,0.105,0.056,0.075,0.0935,0.222,7.0
0.51,0.4,0.13,0.1665,0.205,0.27,0.6435,12.0
0.36,0.295,0.105,0.053,0.095,0.0865,0.241,8.0
0.5,0.38,0.155,0.161,0.2,0.2135,0.5955,12.0
0.62,0.465,0.19,0.3175,0.355,0.5705,1.3415,11.0
0.6,0.475,0.19,0.2655,0.325,0.403,1.0875,14.0
0.59,0.45,0.185,0.276,0.425,0.473,1.283,16.0
0.62,0.475,0.185,0.325,0.33,0.6045,1.325,13.0
0.575,0.455,0.145,0.2275,0.3,0.581,1.165,14.0
0.62,0.465,0.185,0.3065,0.32,0.579,1.274,12.0
0.49,0.39,0.14,0.2185,0.18,0.2795,0.707,13.0
0.61,0.48,0.15,0.2455,0.28,0.56,1.2,14.0
0.57,0.46,0.14,0.2065,0.245,0.4465,0.9535,12.0
0.58,0.455,0.17,0.259,0.22,0.408,0.93,9.0
0.635,0.515,0.17,0.286,0.34,0.509,1.275,16.0
0.7,0.58,0.205,0.49,0.58,0.7415,2.13,20.0
0.675,0.525,0.185,0.336,0.395,0.6935,1.587,13.0
0.745,0.585,0.215,0.472,0.7,0.9265,2.499,17.0
0.605,0.49,0.18,0.287,0.35,0.48,1.227,18.0
0.63,0.515,0.16,0.244,0.355,0.4215,1.016,19.0
0.58,0.465,0.145,0.1655,0.265,0.4405,0.887,11.0
0.63,0.49,0.18,0.2765,0.315,0.458,1.13,12.0
0.685,0.52,0.15,0.292,0.4,0.4635,1.343,13.0
0.63,0.49,0.19,0.3365,0.285,0.4935,1.1775,11.0
0.565,0.465,0.175,0.183,0.37,0.3895,0.995,15.0
0.605,0.47,0.18,0.2805,0.385,0.3755,1.1405,15.0
0.535,0.42,0.145,0.189,0.25,0.33,0.791,10.0
0.485,0.4,0.135,0.137,0.2,0.313,0.663,10.0
0.47,0.375,0.12,0.122,0.195,0.226,0.5565,12.0
0.545,0.425,0.135,0.21,0.235,0.373,0.8445,10.0
0.54,0.42,0.155,0.152,0.215,0.3515,0.7385,12.0
0.46,0.38,0.135,0.1225,0.145,0.207,0.482,10.0
0.49,0.42,0.125,0.1435,0.22,0.239,0.609,14.0
0.475,0.375,0.125,0.115,0.18,0.277,0.593,10.0
0.47,0.38,0.145,0.144,0.185,0.2385,0.5865,8.0
0.535,0.44,0.15,0.139,0.26,0.256,0.6765,12.0
0.585,0.455,0.15,0.2075,0.31,0.4355,0.987,11.0
0.515,0.455,0.135,0.1625,0.235,0.295,0.7225,9.0
0.45,0.355,0.115,0.1045,0.15,0.2125,0.479,8.0
0.59,0.485,0.12,0.182,0.29,0.39,0.911,16.0
0.555,0.45,0.145,0.246,0.285,0.4,0.915,11.0
0.57,0.44,0.095,0.2215,0.235,0.3395,0.827,8.0
0.59,0.5,0.165,0.2425,0.34,0.4565,1.1045,15.0
0.585,0.475,0.12,0.2115,0.28,0.41,0.945,14.0
0.545,0.44,0.12,0.1715,0.24,0.3475,0.8565,12.0
0.63,0.515,0.165,0.349,0.45,0.488,1.352,20.0
0.545,0.41,0.14,0.16,0.235,0.223,0.625,13.0
0.58,0.45,0.175,0.203,0.32,0.425,1.068,13.0
0.6,0.5,0.16,0.1735,0.33,0.3995,1.015,19.0
0.6,0.47,0.155,0.196,0.325,0.4375,1.036,20.0
0.565,0.455,0.17,0.156,0.32,0.342,0.9065,18.0
0.545,0.42,0.14,0.13,0.255,0.2475,0.7505,22.0
0.5,0.41,0.15,0.137,0.22,0.2815,0.662,11.0
0.39,0.3,0.09,0.0645,0.085,0.143,0.3055,9.0
0.5,0.415,0.165,0.138,0.25,0.249,0.6885,13.0
0.565,0.435,0.185,0.136,0.39,0.329,0.9815,13.0
0.565,0.455,0.185,0.1575,0.375,0.354,0.9265,16.0
0.605,0.5,0.175,0.232,0.375,0.4765,1.098,12.0
0.725,0.565,0.215,0.4725,0.58,0.6975,1.891,16.0
0.575,0.47,0.14,0.1735,0.24,0.3485,0.8375,11.0
0.38,0.285,0.1,0.061,0.075,0.115,0.2665,11.0
0.655,0.53,0.195,0.2735,0.41,0.567,1.388,13.0
0.675,0.555,0.2,0.2665,0.465,0.545,1.4385,21.0
0.53,0.415,0.175,0.1395,0.2645,0.261,0.7395,17.0
0.665,0.54,0.175,0.254,0.415,0.4955,1.347,17.0
0.735,0.59,0.225,0.3405,0.58,0.637,1.756,21.0
0.66,0.545,0.185,0.2635,0.455,0.5305,1.32,16.0
0.575,0.4,0.155,0.2445,0.3,0.3605,0.9325,17.0
0.57,0.465,0.125,0.1765,0.24,0.3785,0.849,15.0
0.63,0.48,0.145,0.237,0.305,0.4235,1.0115,12.0
0.55,0.45,0.13,0.2385,0.29,0.378,0.92,11.0
0.54,0.42,0.135,0.1795,0.235,0.3485,0.8075,11.0
0.59,0.455,0.145,0.19,0.285,0.475,1.073,14.0
0.58,0.46,0.13,0.181,0.29,0.357,0.921,13.0
0.655,0.53,0.175,0.2635,0.415,0.486,1.2635,15.0
0.625,0.5,0.195,0.2185,0.37,0.5875,1.369,17.0
0.555,0.45,0.175,0.202,0.305,0.3275,0.874,10.0
0.6,0.47,0.175,0.247,0.315,0.4865,1.105,15.0
0.56,0.46,0.235,0.157,0.305,0.3325,0.8395,12.0
0.585,0.455,0.225,0.221,0.365,0.3815,1.055,15.0
0.56,0.435,0.18,0.204,0.25,0.36,0.889,11.0
0.31,0.22,0.085,0.0365,0.045,0.061,0.146,6.0
0.27,0.195,0.08,0.0195,0.03,0.0385,0.1,6.0
0.4,0.29,0.115,0.0575,0.075,0.1115,0.2795,9.0
0.28,0.2,0.08,0.0215,0.03,0.033,0.0915,5.0
0.325,0.23,0.09,0.034,0.045,0.06,0.147,4.0
