whole_weight,shucked_weight,viscera_weight,diameter,length,shell_weight,height,rings
0.514,0.2245,0.101,0.365,0.455,0.15,0.095,15.0
0.2255,0.0995,0.0485,0.265,0.35,0.07,0.09,7.0
0.516,0.2155,0.114,0.365,0.44,0.155,0.125,10.0
0.5095,0.2165,0.1125,0.37,0.475,0.165,0.125,9.0
0.406,0.1675,0.081,0.35,0.43,0.135,0.11,10.0
0.5415,0.2175,0.095,0.38,0.49,0.19,0.135,11.0
0.6645,0.258,0.133,0.4,0.5,0.24,0.13,12.0
0.2555,0.097,0.043,0.295,0.365,0.1,0.08,7.0
0.381,0.1705,0.075,0.32,0.45,0.115,0.1,9.0
0.2455,0.0955,0.062,0.28,0.355,0.075,0.095,11.0
0.931,0.356,0.234,0.445,0.59,0.28,0.14,12.0
0.9365,0.394,0.219,0.475,0.605,0.295,0.18,15.0
0.8635,0.393,0.227,0.425,0.575,0.2,0.14,11.0
0.9975,0.3935,0.242,0.47,0.58,0.33,0.165,10.0
1.338,0.5515,0.3575,0.525,0.665,0.35,0.165,18.0
0.4795,0.227,0.124,0.355,0.465,0.125,0.105,8.0
0.3275,0.134,0.086,0.29,0.355,0.09,0.09,9.0
0.5795,0.293,0.227,0.37,0.47,0.14,0.12,9.0
0.303,0.1335,0.06,0.32,0.4,0.1,0.095,7.0
0.5415,0.2595,0.096,0.36,0.485,0.16,0.13,10.0
0.385,0.173,0.0915,0.31,0.405,0.11,0.1,7.0
0.4425,0.192,0.0955,0.35,0.445,0.135,0.12,8.0
0.5895,0.2765,0.12,0.385,0.47,0.17,0.135,8.0
0.4115,0.18,0.1125,0.345,0.45,0.135,0.105,7.0
0.625,0.305,0.16,0.405,0.505,0.175,0.11,9.0
0.3785,0.1705,0.08,0.325,0.425,0.1,0.095,7.0
0.58,0.234,0.1315,0.4,0.52,0.185,0.12,8.0
0.48,0.234,0.1015,0.355,0.475,0.135,0.12,8.0
0.7665,0.264,0.168,0.425,0.555,0.275,0.13,13.0
1.185,0.474,0.261,0.48,0.57,0.38,0.175,11.0
0.944,0.3625,0.189,0.475,0.595,0.315,0.14,9.0
1.615,0.5105,0.192,0.51,0.62,0.675,0.175,12.0
1.3175,0.408,0.234,0.475,0.595,0.58,0.16,21.0
1.013,0.38,0.216,0.45,0.58,0.36,0.14,14.0
1.195,0.4825,0.205,0.465,0.625,0.4,0.14,13.0
0.8645,0.3305,0.2075,0.44,0.56,0.26,0.16,10.0
0.8115,0.341,0.1675,0.425,0.565,0.255,0.135,15.0
0.755,0.307,0.1525,0.44,0.555,0.26,0.15,12.0
1.115,0.4015,0.254,0.465,0.595,0.39,0.175,13.0
1.494,0.588,0.3425,0.56,0.695,0.485,0.19,15.0
1.606,0.5755,0.388,0.535,0.665,0.48,0.195,14.0
0.725,0.269,0.1385,0.435,0.535,0.25,0.15,9.0
0.523,0.214,0.132,0.375,0.47,0.145,0.13,8.0
0.5225,0.201,0.133,0.37,0.47,0.165,0.13,7.0
0.843,0.328,0.1915,0.435,0.55,0.255,0.145,15.0
0.883,0.316,0.164,0.435,0.53,0.335,0.16,15.0
0.724,0.3105,0.1675,0.415,0.53,0.205,0.14,10.0
1.1735,0.4975,0.2405,0.47,0.605,0.345,0.16,12.0
0.5415,0.2375,0.1345,0.395,0.495,0.155,0.125,9.0
0.431,0.172,0.107,0.36,0.465,0.175,0.105,9.0
0.393,0.13,0.063,0.35,0.425,0.165,0.105,9.0
0.402,0.1305,0.0955,0.34,0.44,0.165,0.105,10.0
0.2605,0.1145,0.0595,0.305,0.405,0.085,0.085,8.0
0.214,0.09,0.051,0.265,0.37,0.07,0.075,6.0
1.7255,0.63,0.2635,0.535,0.7,0.54,0.16,19.0
1.959,0.7665,0.261,0.54,0.71,0.78,0.165,18.0
1.262,0.4835,0.283,0.48,0.595,0.41,0.165,17.0
0.2005,0.094,0.0295,0.255,0.345,0.063,0.09,9.0
0.253,0.096,0.0575,0.285,0.375,0.0925,0.095,9.0
1.3445,0.519,0.306,0.52,0.65,0.4465,0.19,16.0
0.797,0.34,0.19,0.455,0.56,0.2425,0.155,11.0
0.5175,0.2075,0.1165,0.375,0.475,0.17,0.13,10.0
0.515,0.224,0.108,0.35,0.46,0.1565,0.12,10.0
1.053,0.4415,0.262,0.475,0.59,0.325,0.145,15.0
0.722,0.32,0.131,0.405,0.515,0.21,0.13,10.0
1.514,0.546,0.2615,0.485,0.645,0.635,0.215,16.0
1.056,0.4215,0.2475,0.465,0.605,0.34,0.165,13.0
1.2445,0.544,0.297,0.485,0.61,0.345,0.175,12.0
2.55,1.0705,0.483,0.57,0.725,0.725,0.19,14.0
1.981,0.8175,0.3085,0.56,0.705,0.76,0.22,14.0
1.9565,0.7125,0.541,0.55,0.695,0.59,0.215,14.0
1.065,0.486,0.233,0.435,0.525,0.285,0.155,8.0
0.97,0.385,0.2165,0.475,0.58,0.35,0.15,11.0
0.9395,0.399,0.2,0.48,0.57,0.295,0.18,14.0
1.368,0.515,0.266,0.51,0.64,0.57,0.175,21.0
1.218,0.5455,0.2965,0.49,0.62,0.355,0.19,13.0
1.1595,0.4845,0.2165,0.48,0.615,0.325,0.18,13.0
1.0225,0.419,0.2405,0.485,0.61,0.36,0.17,12.0
0.927,0.276,0.1815,0.45,0.58,0.36,0.15,14.0
0.772,0.346,0.1535,0.405,0.5,0.245,0.155,12.0
1.3035,0.4445,0.2635,0.5,0.64,0.465,0.185,16.0
0.922,0.432,0.178,0.45,0.56,0.26,0.16,15.0
0.922,0.3635,0.213,0.46,0.585,0.285,0.185,10.0
0.825,0.254,0.205,0.4,0.5,0.285,0.165,13.0
0.369,0.171,0.071,0.335,0.42,0.12,0.115,8.0
0.181,0.0755,0.0415,0.25,0.335,0.06,0.09,7.0
0.6155,0.241,0.1355,0.405,0.5,0.205,0.14,9.0
0.8025,0.244,0.1635,0.405,0.55,0.255,0.14,10.0
0.46,0.174,0.111,0.35,0.45,0.135,0.13,8.0
0.501,0.1665,0.115,0.36,0.47,0.165,0.135,10.0
0.836,0.336,0.1625,0.445,0.555,0.275,0.135,13.0
0.9025,0.31,0.193,0.44,0.565,0.325,0.175,14.0
1.4455,0.496,0.287,0.505,0.625,0.435,0.215,22.0
0.9425,0.3495,0.2185,0.425,0.565,0.275,0.16,17.0
1.1235,0.4205,0.2805,0.47,0.59,0.36,0.18,13.0
1.2415,0.485,0.2775,0.495,0.6,0.34,0.165,15.0
1.011,0.3835,0.2065,0.45,0.56,0.37,0.175,15.0
1.07,0.3805,0.175,0.45,0.56,0.41,0.185,19.0
0.8975,0.341,0.1655,0.46,0.545,0.345,0.16,10.0
0.8945,0.319,0.239,0.42,0.53,0.245,0.165,11.0
0.1205,0.0465,0.028,0.2,0.27,0.04,0.08,6.0
0.895,0.3615,0.186,0.45,0.52,0.235,0.15,14.0
0.2925,0.1225,0.0635,0.275,0.35,0.0905,0.11,8.0
0.6355,0.2185,0.0885,0.39,0.47,0.255,0.15,9.0
1.187,0.412,0.2705,0.5,0.59,0.37,0.2,16.0
1.219,0.3875,0.2505,0.485,0.62,0.385,0.205,14.0
1.525,0.56,0.3335,0.505,0.63,0.45,0.225,15.0
1.259,0.4105,0.197,0.515,0.63,0.41,0.155,13.0
1.844,0.7425,0.327,0.54,0.655,0.585,0.215,22.0
1.642,0.532,0.3345,0.5,0.61,0.69,0.24,18.0
1.484,0.55,0.3115,0.525,0.635,0.43,0.205,20.0
0.6295,0.2285,0.127,0.395,0.485,0.225,0.14,14.0
0.9565,0.325,0.158,0.38,0.515,0.31,0.175,14.0
0.699,0.288,0.1595,0.435,0.53,0.205,0.155,10.0
0.4775,0.132,0.0815,0.355,0.44,0.19,0.125,9.0
0.996,0.3835,0.226,0.435,0.54,0.325,0.18,17.0
1.116,0.428,0.2205,0.475,0.61,0.315,0.165,15.0
1.0575,0.384,0.19,0.495,0.6,0.375,0.195,26.0
0.549,0.2215,0.1275,0.395,0.49,0.15,0.14,11.0
0.234,0.0905,0.0585,0.28,0.37,0.075,0.105,9.0
0.252,0.1065,0.0595,0.28,0.37,0.074,0.1,8.0
0.217,0.0885,0.0495,0.27,0.36,0.0715,0.1,6.0
1.5415,0.471,0.369,0.515,0.645,0.535,0.24,13.0
0.7605,0.2505,0.1635,0.41,0.55,0.195,0.125,14.0
0.9055,0.3925,0.2355,0.435,0.57,0.275,0.145,10.0
0.971,0.443,0.2045,0.44,0.56,0.265,0.14,14.0
1.3305,0.4595,0.3235,0.455,0.595,0.345,0.195,19.0
1.3,0.4335,0.2945,0.485,0.63,0.46,0.175,23.0
0.3675,0.1465,0.1015,0.35,0.45,0.12,0.1,10.0
0.2845,0.1065,0.075,0.31,0.385,0.1,0.1,11.0
0.222,0.0935,0.056,0.265,0.335,0.075,0.105,7.0
0.6435,0.27,0.1665,0.4,0.51,0.205,0.13,12.0
0.241,0.0865,0.053,0.295,0.36,0.095,0.105,8.0
0.5955,0.2135,0.161,0.38,0.5,0.2,0.155,12.0
1.3415,0.5705,0.3175,0.465,0.62,0.355,0.19,11.0
1.0875,0.403,0.2655,0.475,0.6,0.325,0.19,14.0
1.283,0.473,0.276,0.45,0.59,0.425,0.185,16.0
1.325,0.6045,0.325,0.475,0.62,0.33,0.185,13.0
1.165,0.581,0.2275,0.455,0.575,0.3,0.145,14.0
1.274,0.579,0.3065,0.465,0.62,0.32,0.185,12.0
0.707,0.2795,0.2185,0.39,0.49,0.18,0.14,13.0
1.2,0.56,0.2455,0.48,0.61,0.28,0.15,14.0
0.9535,0.4465,0.2065,0.46,0.57,0.245,0.14,12.0
0.93,0.408,0.259,0.455,0.58,0.22,0.17,9.0
1.275,0.509,0.286,0.515,0.635,0.34,0.17,16.0
2.13,0.7415,0.49,0.58,0.7,0.58,0.205,20.0
1.587,0.6935,0.336,0.525,0.675,0.395,0.185,13.0
2.499,0.9265,0.472,0.585,0.745,0.7,0.215,17.0
1.227,0.48,0.287,0.49,0.605,0.35,0.18,18.0
1.016,0.4215,0.244,0.515,0.63,0.355,0.16,19.0
0.887,0.4405,0.1655,0.465,0.58,0.265,0.145,11.0
1.13,0.458,0.2765,0.49,0.63,0.315,0.18,12.0
1.343,0.4635,0.292,0.52,0.685,0.4,0.15,13.0
1.1775,0.4935,0.3365,0.49,0.63,0.285,0.19,11.0
0.995,0.3895,0.183,0.465,0.565,0.37,0.175,15.0
1.1405,0.3755,0.2805,0.47,0.605,0.385,0.18,15.0
0.791,0.33,0.189,0.42,0.535,0.25,0.145,10.0
0.663,0.313,0.137,0.4,0.485,0.2,0.135,10.0
0.5565,0.226,0.122,0.375,0.47,0.195,0.12,12.0
0.8445,0.373,0.21,0.425,0.545,0.235,0.135,10.0
0.7385,0.3515,0.152,0.42,0.54,0.215,0.155,12.0
0.482,0.207,0.1225,0.38,0.46,0.145,0.135,10.0
0.609,0.239,0.1435,0.42,0.49,0.22,0.125,14.0
0.593,0.277,0.115,0.375,0.475,0.18,0.125,10.0
0.5865,0.2385,0.144,0.38,0.47,0.185,0.145,8.0
0.6765,0.256,0.139,0.44,0.535,0.26,0.15,12.0
0.987,0.4355,0.2075,0.455,0.585,0.31,0.15,11.0
0.7225,0.295,0.1625,0.455,0.515,0.235,0.135,9.0
0.479,0.2125,0.1045,0.355,0.45,0.15,0.115,8.0
0.911,0.39,0.182,0.485,0.59,0.29,0.12,16.0
0.915,0.4,0.246,0.45,0.555,0.285,0.145,11.0
0.827,0.3395,0.2215,0.44,0.57,0.235,0.095,8.0
1.1045,0.4565,0.2425,0.5,0.59,0.34,0.165,15.0
0.945,0.41,0.2115,0.475,0.585,0.28,0.12,14.0
0.8565,0.3475,0.1715,0.44,0.545,0.24,0.12,12.0
1.352,0.488,0.349,0.515,0.63,0.45,0.165,20.0
0.625,0.223,0.16,0.41,0.545,0.235,0.14,13.0
1.068,0.425,0.203,0.45,0.58,0.32,0.175,13.0
1.015,0.3995,0.1735,0.5,0.6,0.33,0.16,19.0
1.036,0.4375,0.196,0.47,0.6,0.325,0.155,20.0
