diameter,shucked_weight,shell_weight,height,whole_weight,viscera_weight,length,rings
0.365,0.2245,0.15,0.095,0.514,0.101,0.455,15.0
0.265,0.0995,0.07,0.09,0.2255,0.0485,0.35,7.0
0.365,0.2155,0.155,0.125,0.516,0.114,0.44,10.0
0.37,0.2165,0.165,0.125,0.5095,0.1125,0.475,9.0
0.35,0.1675,0.135,0.11,0.406,0.081,0.43,10.0
0.38,0.2175,0.19,0.135,0.5415,0.095,0.49,11.0
0.4,0.258,0.24,0.13,0.6645,0.133,0.5,12.0
0.295,0.097,0.1,0.08,0.2555,0.043,0.365,7.0
0.32,0.1705,0.115,0.1,0.381,0.075,0.45,9.0
0.28,0.0955,0.075,0.095,0.2455,0.062,0.355,11.0
0.445,0.356,0.28,0.14,0.931,0.234,0.59,12.0
0.475,0.394,0.295,0.18,0.9365,0.219,0.605,15.0
0.425,0.393,0.2,0.14,0.8635,0.227,0.575,11.0
0.47,0.3935,0.33,0.165,0.9975,0.242,0.58,10.0
0.525,0.5515,0.35,0.165,1.338,0.3575,0.665,18.0
0.355,0.227,0.125,0.105,0.4795,0.124,0.465,8.0
0.29,0.134,0.09,0.09,0.3275,0.086,0.355,9.0
0.37,0.293,0.14,0.12,0.5795,0.227,0.47,9.0
0.32,0.1335,0.1,0.095,0.303,0.06,0.4,7.0
0.36,0.2595,0.16,0.13,0.5415,0.096,0.485,10.0
0.31,0.173,0.11,0.1,0.385,0.0915,0.405,7.0
0.35,0.192,0.135,0.12,0.4425,0.0955,0.445,8.0
0.385,0.2765,0.17,0.135,0.5895,0.12,0.47,8.0
0.345,0.18,0.135,0.105,0.4115,0.1125,0.45,7.0
0.405,0.305,0.175,0.11,0.625,0.16,0.505,9.0
0.325,0.1705,0.1,0.095,0.3785,0.08,0.425,7.0
0.4,0.234,0.185,0.12,0.58,0.1315,0.52,8.0
0.355,0.234,0.135,0.12,0.48,0.1015,0.475,8.0
0.425,0.264,0.275,0.13,0.7665,0.168,0.555,13.0
0.48,0.474,0.38,0.175,1.185,0.261,0.57,11.0
0.475,0.3625,0.315,0.14,0.944,0.189,0.595,9.0
0.51,0.5105,0.675,0.175,1.615,0.192,0.62,12.0
0.475,0.408,0.58,0.16,1.3175,0.234,0.595,21.0
0.45,0.38,0.36,0.14,1.013,0.216,0.58,14.0
0.465,0.4825,0.4,0.14,1.195,0.205,0.625,13.0
0.44,0.3305,0.26,0.16,0.8645,0.2075,0.56,10.0
0.425,0.341,0.255,0.135,0.8115,0.1675,0.565,15.0
0.44,0.307,0.26,0.15,0.755,0.1525,0.555,12.0
0.465,0.4015,0.39,0.175,1.115,0.254,0.595,13.0
0.56,0.588,0.485,0.19,1.494,0.3425,0.695,15.0
0.535,0.5755,0.48,0.195,1.606,0.388,0.665,14.0
0.435,0.269,0.25,0.15,0.725,0.1385,0.535,9.0
0.375,0.214,0.145,0.13,0.523,0.132,0.47,8.0
0.37,0.201,0.165,0.13,0.5225,0.133,0.47,7.0
0.435,0.328,0.255,0.145,0.843,0.1915,0.55,15.0
0.435,0.316,0.335,0.16,0.883,0.164,0.53,15.0
0.415,0.3105,0.205,0.14,0.724,0.1675,0.53,10.0
0.47,0.4975,0.345,0.16,1.1735,0.2405,0.605,12.0
0.395,0.2375,0.155,0.125,0.5415,0.1345,0.495,9.0
0.36,0.172,0.175,0.105,0.431,0.107,0.465,9.0
0.35,0.13,0.165,0.105,0.393,0.063,0.425,9.0
0.34,0.1305,0.165,0.105,0.402,0.0955,0.44,10.0
0.305,0.1145,0.085,0.085,0.2605,0.0595,0.405,8.0
0.265,0.09,0.07,0.075,0.214,0.051,0.37,6.0
0.535,0.63,0.54,0.16,1.7255,0.2635,0.7,19.0
0.54,0.7665,0.78,0.165,1.959,0.261,0.71,18.0
0.48,0.4835,0.41,0.165,1.262,0.283,0.595,17.0
0.255,0.094,0.063,0.09,0.2005,0.0295,0.345,9.0
0.285,0.096,0.0925,0.095,0.253,0.0575,0.375,9.0
0.52,0.519,0.4465,0.19,1.3445,0.306,0.65,16.0
0.455,0.34,0.2425,0.155,0.797,0.19,0.56,11.0
0.375,0.2075,0.17,0.13,0.5175,0.1165,0.475,10.0
0.35,0.224,0.1565,0.12,0.515,0.108,0.46,10.0
0.475,0.4415,0.325,0.145,1.053,0.262,0.59,15.0
0.405,0.32,0.21,0.13,0.722,0.131,0.515,10.0
0.485,0.546,0.635,0.215,1.514,0.2615,0.645,16.0
0.465,0.4215,0.34,0.165,1.056,0.2475,0.605,13.0
0.485,0.544,0.345,0.175,1.2445,0.297,0.61,12.0
0.57,1.0705,0.725,0.19,2.55,0.483,0.725,14.0
0.56,0.8175,0.76,0.22,1.981,0.3085,0.705,14.0
0.55,0.7125,0.59,0.215,1.9565,0.541,0.695,14.0
0.435,0.486,0.285,0.155,1.065,0.233,0.525,8.0
0.475,0.385,0.35,0.15,0.97,0.2165,0.58,11.0
0.48,0.399,0.295,0.18,0.9395,0.2,0.57,14.0
0.51,0.515,0.57,0.175,1.368,0.266,0.64,21.0
0.49,0.5455,0.355,0.19,1.218,0.2965,0.62,13.0
0.48,0.4845,0.325,0.18,1.1595,0.2165,0.615,13.0
0.485,0.419,0.36,0.17,1.0225,0.2405,0.61,12.0
0.45,0.276,0.36,0.15,0.927,0.1815,0.58,14.0
0.405,0.346,0.245,0.155,0.772,0.1535,0.5,12.0
0.5,0.4445,0.465,0.185,1.3035,0.2635,0.64,16.0
0.45,0.432,0.26,0.16,0.922,0.178,0.56,15.0
0.46,0.3635,0.285,0.185,0.922,0.213,0.585,10.0
0.4,0.254,0.285,0.165,0.825,0.205,0.5,13.0
0.335,0.171,0.12,0.115,0.369,0.071,0.42,8.0
0.25,0.0755,0.06,0.09,0.181,0.0415,0.335,7.0
0.405,0.241,0.205,0.14,0.6155,0.1355,0.5,9.0
0.405,0.244,0.255,0.14,0.8025,0.1635,0.55,10.0
0.35,0.174,0.135,0.13,0.46,0.111,0.45,8.0
0.36,0.1665,0.165,0.135,0.501,0.115,0.47,10.0
0.445,0.336,0.275,0.135,0.836,0.1625,0.555,13.0
0.44,0.31,0.325,0.175,0.9025,0.193,0.565,14.0
0.505,0.496,0.435,0.215,1.4455,0.287,0.625,22.0
0.425,0.3495,0.275,0.16,0.9425,0.2185,0.565,17.0
0.47,0.4205,0.36,0.18,1.1235,0.2805,0.59,13.0
0.495,0.485,0.34,0.165,1.2415,0.2775,0.6,15.0
0.45,0.3835,0.37,0.175,1.011,0.2065,0.56,15.0
0.45,0.3805,0.41,0.185,1.07,0.175,0.56,19.0
0.46,0.341,0.345,0.16,0.8975,0.1655,0.545,10.0
0.42,0.319,0.245,0.165,0.8945,0.239,0.53,11.0
0.2,0.0465,0.04,0.08,0.1205,0.028,0.27,6.0
0.45,0.3615,0.235,0.15,0.895,0.186,0.52,14.0
0.275,0.1225,0.0905,0.11,0.2925,0.0635,0.35,8.0
