shell_weight,shucked_weight,whole_weight,diameter,length,viscera_weight,height,rings
0.15,0.2245,0.514,0.365,0.455,0.101,0.095,15.0
0.07,0.0995,0.2255,0.265,0.35,0.0485,0.09,7.0
0.155,0.2155,0.516,0.365,0.44,0.114,0.125,10.0
0.165,0.2165,0.5095,0.37,0.475,0.1125,0.125,9.0
0.135,0.1675,0.406,0.35,0.43,0.081,0.11,10.0
0.19,0.2175,0.5415,0.38,0.49,0.095,0.135,11.0
0.24,0.258,0.6645,0.4,0.5,0.133,0.13,12.0
0.1,0.097,0.2555,0.295,0.365,0.043,0.08,7.0
0.115,0.1705,0.381,0.32,0.45,0.075,0.1,9.0
0.075,0.0955,0.2455,0.28,0.355,0.062,0.095,11.0
0.28,0.356,0.931,0.445,0.59,0.234,0.14,12.0
0.295,0.394,0.9365,0.475,0.605,0.219,0.18,15.0
0.2,0.393,0.8635,0.425,0.575,0.227,0.14,11.0
0.33,0.3935,0.9975,0.47,0.58,0.242,0.165,10.0
0.35,0.5515,1.338,0.525,0.665,0.3575,0.165,18.0
0.125,0.227,0.4795,0.355,0.465,0.124,0.105,8.0
0.09,0.134,0.3275,0.29,0.355,0.086,0.09,9.0
0.14,0.293,0.5795,0.37,0.47,0.227,0.12,9.0
0.1,0.1335,0.303,0.32,0.4,0.06,0.095,7.0
0.16,0.2595,0.5415,0.36,0.485,0.096,0.13,10.0
0.11,0.173,0.385,0.31,0.405,0.0915,0.1,7.0
0.135,0.192,0.4425,0.35,0.445,0.0955,0.12,8.0
0.17,0.2765,0.5895,0.385,0.47,0.12,0.135,8.0
0.135,0.18,0.4115,0.345,0.45,0.1125,0.105,7.0
0.175,0.305,0.625,0.405,0.505,0.16,0.11,9.0
0.1,0.1705,0.3785,0.325,0.425,0.08,0.095,7.0
0.185,0.234,0.58,0.4,0.52,0.1315,0.12,8.0
0.135,0.234,0.48,0.355,0.475,0.1015,0.12,8.0
0.275,0.264,0.7665,0.425,0.555,0.168,0.13,13.0
0.38,0.474,1.185,0.48,0.57,0.261,0.175,11.0
0.315,0.3625,0.944,0.475,0.595,0.189,0.14,9.0
0.675,0.5105,1.615,0.51,0.62,0.192,0.175,12.0
0.58,0.408,1.3175,0.475,0.595,0.234,0.16,21.0
0.36,0.38,1.013,0.45,0.58,0.216,0.14,14.0
0.4,0.4825,1.195,0.465,0.625,0.205,0.14,13.0
0.26,0.3305,0.8645,0.44,0.56,0.2075,0.16,10.0
0.255,0.341,0.8115,0.425,0.565,0.1675,0.135,15.0
0.26,0.307,0.755,0.44,0.555,0.1525,0.15,12.0
0.39,0.4015,1.115,0.465,0.595,0.254,0.175,13.0
0.485,0.588,1.494,0.56,0.695,0.3425,0.19,15.0
0.48,0.5755,1.606,0.535,0.665,0.388,0.195,14.0
0.25,0.269,0.725,0.435,0.535,0.1385,0.15,9.0
0.145,0.214,0.523,0.375,0.47,0.132,0.13,8.0
0.165,0.201,0.5225,0.37,0.47,0.133,0.13,7.0
0.255,0.328,0.843,0.435,0.55,0.1915,0.145,15.0
0.335,0.316,0.883,0.435,0.53,0.164,0.16,15.0
