curb-weight,peak-rpm,price,num-of-cylinders,stroke,bore,num-of-doors,fuel-type,engine-type_ohc,drive-wheels_fwd,fuel-system_2bbl,body-style_sedan,fuel-system_mpfi,drive-wheels_rwd,aspiration,fuel-system_spdi,fuel-system_idi,engine-type_l,body-style_convertible,fuel-system_spfi,engine-location,engine-type_dohcv,fuel-system_mfi,engine-type_dohc,engine-type_ohcv,body-style_hardtop,drive-wheels_4wd,engine-type_ohcf,body-style_wagon,fuel-system_1bbl,body-style_hatchback,symboling,compression-ratio,city-mpg,highway-mpg,horsepower,length,engine-size,wheel-base,width,height,make
2548,5000,13495,4,2.68,3.47,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,9.0,21,27,111,168.8,130,88.6,64.1,48.8,alfa-romero
2548,5000,16500,4,2.68,3.47,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,9.0,21,27,111,168.8,130,88.6,64.1,48.8,alfa-romero
2823,5000,16500,6,3.47,2.68,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9.0,19,26,154,171.2,152,94.5,65.5,52.4,alfa-romero
2337,5500,13950,4,3.4,3.19,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,24,30,102,176.6,109,99.8,66.2,54.3,audi
2824,5500,17450,5,3.4,3.19,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,8.0,18,22,115,176.6,136,99.4,66.4,54.3,audi
2507,5500,15250,5,3.4,3.19,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,19,25,110,177.3,136,99.8,66.3,53.1,audi
2844,5500,17710,5,3.4,3.19,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,19,25,110,192.7,136,105.8,71.4,55.7,audi
2954,5500,18920,5,3.4,3.19,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.5,19,25,110,192.7,136,105.8,71.4,55.7,audi
3086,5500,23875,5,3.4,3.13,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.3,17,20,140,192.7,131,105.8,71.4,55.9,audi
3053,5500,23875,5,3.4,3.13,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.0,16,22,160,178.2,131,99.5,67.9,52.0,audi
2395,5800,16430,4,2.8,3.5,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.8,23,29,101,176.8,108,101.2,64.8,54.3,bmw
2395,5800,16925,4,2.8,3.5,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,23,29,101,176.8,108,101.2,64.8,54.3,bmw
2710,4250,20970,6,3.19,3.31,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,21,28,121,176.8,164,101.2,64.8,54.3,bmw
2765,4250,21105,6,3.19,3.31,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,21,28,121,176.8,164,101.2,64.8,54.3,bmw
3055,4250,24565,6,3.19,3.31,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,20,25,121,189.0,164,103.5,66.9,55.7,bmw
3230,5400,30760,6,3.39,3.62,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,16,22,182,189.0,209,103.5,66.9,55.7,bmw
3380,5400,41315,6,3.39,3.62,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,16,22,182,193.8,209,103.5,67.9,53.7,bmw
3505,5400,36880,6,3.39,3.62,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,15,20,182,197.0,209,110.0,70.9,56.3,bmw
1488,5100,5151,3,3.03,2.91,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9.5,47,53,48,141.1,61,88.4,60.3,53.2,chevrolet
1874,5400,6295,4,3.11,3.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.6,38,43,70,155.9,90,94.5,63.6,52.0,chevrolet
1909,5400,6575,4,3.11,3.03,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,38,43,70,158.8,90,94.5,63.6,52.0,chevrolet
1876,5500,5572,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.41,37,41,68,157.3,90,93.7,63.8,50.8,dodge
1876,5500,6377,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,31,38,68,157.3,90,93.7,63.8,50.8,dodge
2128,5500,7957,4,3.39,3.03,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.6,24,30,102,157.3,98,93.7,63.8,50.8,dodge
1967,5500,6229,4,3.23,2.97,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,31,38,68,157.3,90,93.7,63.8,50.6,dodge
1989,5500,6692,4,3.23,2.97,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,38,68,157.3,90,93.7,63.8,50.6,dodge
1989,5500,7609,4,3.23,2.97,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,38,68,157.3,90,93.7,63.8,50.6,dodge
2191,5500,8558,4,3.39,3.03,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.6,24,30,102,157.3,98,93.7,63.8,50.6,dodge
