curb-weight,price,peak-rpm,length,engine-size,wheel-base,horsepower,width,height,city-mpg,num-of-cylinders,stroke,bore,num-of-doors,fuel-type,engine-type_ohc,drive-wheels_fwd,fuel-system_2bbl,body-style_sedan,fuel-system_mpfi,drive-wheels_rwd,aspiration,fuel-system_spdi,engine-type_dohc,body-style_convertible,engine-type_ohcv,fuel-system_mfi,engine-type_dohcv,engine-location,fuel-system_spfi,engine-type_l,fuel-system_idi,body-style_hardtop,engine-type_ohcf,drive-wheels_4wd,body-style_wagon,fuel-system_1bbl,body-style_hatchback,symboling,compression-ratio,highway-mpg,make
2548,13495,5000,168.8,130,88.6,111,64.1,48.8,21,4,2.68,3.47,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.0,27,alfa-romero
2548,16500,5000,168.8,130,88.6,111,64.1,48.8,21,4,2.68,3.47,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.0,27,alfa-romero
2823,16500,5000,171.2,152,94.5,154,65.5,52.4,19,6,3.47,2.68,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,26,alfa-romero
2337,13950,5500,176.6,109,99.8,102,66.2,54.3,24,4,3.4,3.19,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,30,audi
2824,17450,5500,176.6,136,99.4,115,66.4,54.3,18,5,3.4,3.19,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.0,22,audi
2507,15250,5500,177.3,136,99.8,110,66.3,53.1,19,5,3.4,3.19,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,25,audi
2844,17710,5500,192.7,136,105.8,110,71.4,55.7,19,5,3.4,3.19,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,25,audi
2954,18920,5500,192.7,136,105.8,110,71.4,55.7,19,5,3.4,3.19,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.5,25,audi
3086,23875,5500,192.7,131,105.8,140,71.4,55.9,17,5,3.4,3.13,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.3,20,audi
3053,23875,5500,178.2,131,99.5,160,67.9,52.0,16,5,3.4,3.13,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.0,22,audi
2395,16430,5800,176.8,108,101.2,101,64.8,54.3,23,4,2.8,3.5,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.8,29,bmw
2395,16925,5800,176.8,108,101.2,101,64.8,54.3,23,4,2.8,3.5,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,29,bmw
2710,20970,4250,176.8,164,101.2,121,64.8,54.3,21,6,3.19,3.31,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,28,bmw
2765,21105,4250,176.8,164,101.2,121,64.8,54.3,21,6,3.19,3.31,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,28,bmw
3055,24565,4250,189.0,164,103.5,121,66.9,55.7,20,6,3.19,3.31,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,25,bmw
3230,30760,5400,189.0,209,103.5,182,66.9,55.7,16,6,3.39,3.62,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,22,bmw
3380,41315,5400,193.8,209,103.5,182,67.9,53.7,16,6,3.39,3.62,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,22,bmw
3505,36880,5400,197.0,209,110.0,182,70.9,56.3,15,6,3.39,3.62,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,20,bmw
1488,5151,5100,141.1,61,88.4,48,60.3,53.2,47,3,3.03,2.91,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,9.5,53,chevrolet
1874,6295,5400,155.9,90,94.5,70,63.6,52.0,38,4,3.11,3.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.6,43,chevrolet
1909,6575,5400,158.8,90,94.5,70,63.6,52.0,38,4,3.11,3.03,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,43,chevrolet
1876,5572,5500,157.3,90,93.7,68,63.8,50.8,37,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.41,41,dodge
1876,6377,5500,157.3,90,93.7,68,63.8,50.8,31,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,38,dodge
2128,7957,5500,157.3,98,93.7,102,63.8,50.8,24,4,3.39,3.03,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.6,30,dodge
1967,6229,5500,157.3,90,93.7,68,63.8,50.6,31,4,3.23,2.97,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,38,dodge
1989,6692,5500,157.3,90,93.7,68,63.8,50.6,31,4,3.23,2.97,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,38,dodge
1989,7609,5500,157.3,90,93.7,68,63.8,50.6,31,4,3.23,2.97,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,38,dodge
2191,8558,5500,157.3,98,93.7,102,63.8,50.6,24,4,3.39,3.03,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.6,30,dodge
2535,8921,5000,174.6,122,103.3,88,64.6,59.8,24,4,3.46,3.34,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,8.5,30,dodge
2811,12964,5000,173.2,156,95.9,145,66.3,50.2,19,4,3.9,3.6,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,7.0,24,dodge
1713,6479,4800,144.6,92,86.6,58,63.9,50.8,49,4,3.41,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9.6,54,honda
1819,6855,6000,144.6,92,86.6,76,63.9,50.8,31,4,3.41,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9.2,38,honda
1837,5399,5500,150.0,79,93.7,60,64.0,52.6,38,4,3.07,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10.1,42,honda
1940,6529,6000,150.0,92,93.7,76,64.0,52.6,30,4,3.41,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9.2,34,honda
1956,7129,6000,150.0,92,93.7,76,64.0,52.6,30,4,3.41,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9.2,34,honda
2010,7295,6000,163.4,92,96.5,76,64.0,54.5,30,4,3.41,2.91,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.2,34,honda
2024,7295,6000,157.1,92,96.5,76,63.9,58.3,30,4,3.41,2.92,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.2,34,honda
2236,7895,5800,167.5,110,96.5,86,65.2,53.3,27,4,3.58,3.15,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.0,33,honda
2289,9095,5800,167.5,110,96.5,86,65.2,53.3,27,4,3.58,3.15,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.0,33,honda
2304,8845,5800,175.4,110,96.5,86,65.2,54.1,27,4,3.58,3.15,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,33,honda
2372,10295,5800,175.4,110,96.5,86,62.5,54.1,27,4,3.58,3.15,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,33,honda
2465,12945,5800,175.4,110,96.5,101,65.2,54.1,24,4,3.58,3.15,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,28,honda
2293,10345,5500,169.1,110,96.5,100,66.0,51.0,25,4,3.58,3.15,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.1,31,honda
2337,6785,4800,170.7,111,94.3,78,61.8,53.5,24,4,3.23,3.31,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,29,isuzu
