price,peak-rpm,curb-weight,length,engine-size,horsepower,wheel-base,width,height,highway-mpg,city-mpg,compression-ratio,num-of-cylinders,bore,stroke,num-of-doors,body-style_sedan,fuel-system_mpfi,drive-wheels_rwd,body-style_wagon,engine-type_ohcf,engine-type_ohcv,engine-type_dohc,body-style_convertible,engine-type_dohcv,fuel-system_spfi,fuel-system_mfi,engine-location,body-style_hardtop,fuel-system_spdi,drive-wheels_4wd,fuel-system_1bbl,engine-type_l,fuel-system_idi,aspiration,body-style_hatchback,fuel-system_2bbl,drive-wheels_fwd,engine-type_ohc,fuel-type,symboling,make
13495,5000,2548,168.8,130,111,88.6,64.1,48.8,27,21,9.0,4,3.47,2.68,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,alfa-romero
16500,5000,2548,168.8,130,111,88.6,64.1,48.8,27,21,9.0,4,3.47,2.68,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,alfa-romero
16500,5000,2823,171.2,152,154,94.5,65.5,52.4,26,19,9.0,6,2.68,3.47,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,alfa-romero
13950,5500,2337,176.6,109,102,99.8,66.2,54.3,30,24,10.0,4,3.19,3.4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,audi
17450,5500,2824,176.6,136,115,99.4,66.4,54.3,22,18,8.0,5,3.19,3.4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,audi
15250,5500,2507,177.3,136,110,99.8,66.3,53.1,25,19,8.5,5,3.19,3.4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,audi
17710,5500,2844,192.7,136,110,105.8,71.4,55.7,25,19,8.5,5,3.19,3.4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,audi
18920,5500,2954,192.7,136,110,105.8,71.4,55.7,25,19,8.5,5,3.19,3.4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,audi
23875,5500,3086,192.7,131,140,105.8,71.4,55.9,20,17,8.3,5,3.13,3.4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,audi
23875,5500,3053,178.2,131,160,99.5,67.9,52.0,22,16,7.0,5,3.13,3.4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,audi
