symboling,curb-weight,price,peak-rpm,length,engine-size,horsepower,wheel-base,width,height,highway-mpg,city-mpg,compression-ratio,num-of-cylinders,bore,stroke,num-of-doors,fuel-type,engine-type_ohc,drive-wheels_fwd,fuel-system_2bbl,body-style_sedan,fuel-system_mpfi,drive-wheels_rwd,aspiration,fuel-system_idi,engine-type_l,body-style_wagon,drive-wheels_4wd,engine-type_ohcf,engine-location,body-style_hardtop,engine-type_ohcv,engine-type_dohc,body-style_convertible,fuel-system_spfi,fuel-system_mfi,engine-type_dohcv,fuel-system_spdi,fuel-system_1bbl,body-style_hatchback,make
3,2548,13495,5000,168.8,130,111,88.6,64.1,48.8,27,21,9.0,4,3.47,2.68,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,alfa-romero
3,2548,16500,5000,168.8,130,111,88.6,64.1,48.8,27,21,9.0,4,3.47,2.68,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,alfa-romero
1,2823,16500,5000,171.2,152,154,94.5,65.5,52.4,26,19,9.0,6,2.68,3.47,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,alfa-romero
2,2337,13950,5500,176.6,109,102,99.8,66.2,54.3,30,24,10.0,4,3.19,3.4,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
2,2824,17450,5500,176.6,136,115,99.4,66.4,54.3,22,18,8.0,5,3.19,3.4,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,audi
2,2507,15250,5500,177.3,136,110,99.8,66.3,53.1,25,19,8.5,5,3.19,3.4,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
1,2844,17710,5500,192.7,136,110,105.8,71.4,55.7,25,19,8.5,5,3.19,3.4,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
1,2954,18920,5500,192.7,136,110,105.8,71.4,55.7,25,19,8.5,5,3.19,3.4,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
1,3086,23875,5500,192.7,131,140,105.8,71.4,55.9,20,17,8.3,5,3.13,3.4,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
0,3053,23875,5500,178.2,131,160,99.5,67.9,52.0,22,16,7.0,5,3.13,3.4,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,audi
2,2395,16430,5800,176.8,108,101,101.2,64.8,54.3,29,23,8.8,4,3.5,2.8,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
0,2395,16925,5800,176.8,108,101,101.2,64.8,54.3,29,23,8.8,4,3.5,2.8,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
0,2710,20970,4250,176.8,164,121,101.2,64.8,54.3,28,21,9.0,6,3.31,3.19,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
0,2765,21105,4250,176.8,164,121,101.2,64.8,54.3,28,21,9.0,6,3.31,3.19,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
1,3055,24565,4250,189.0,164,121,103.5,66.9,55.7,25,20,9.0,6,3.31,3.19,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
0,3230,30760,5400,189.0,209,182,103.5,66.9,55.7,22,16,8.0,6,3.62,3.39,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
0,3380,41315,5400,193.8,209,182,103.5,67.9,53.7,22,16,8.0,6,3.62,3.39,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
0,3505,36880,5400,197.0,209,182,110.0,70.9,56.3,20,15,8.0,6,3.62,3.39,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
2,1488,5151,5100,141.1,61,48,88.4,60.3,53.2,53,47,9.5,3,2.91,3.03,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,chevrolet
1,1874,6295,5400,155.9,90,70,94.5,63.6,52.0,43,38,9.6,4,3.03,3.11,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,chevrolet
0,1909,6575,5400,158.8,90,70,94.5,63.6,52.0,43,38,9.6,4,3.03,3.11,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chevrolet
1,1876,5572,5500,157.3,90,68,93.7,63.8,50.8,41,37,9.41,4,2.97,3.23,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dodge
