price,peak-rpm,curb-weight,length,engine-size,horsepower,wheel-base,height,highway-mpg,compression-ratio,num-of-cylinders,bore,stroke,num-of-doors,symboling,fuel-type,engine-type_ohc,drive-wheels_fwd,body-style_sedan,fuel-system_mpfi,drive-wheels_rwd,body-style_hatchback,body-style_wagon,engine-type_l,engine-type_ohcv,body-style_hardtop,fuel-system_1bbl,engine-type_dohc,fuel-system_idi,engine-type_dohcv,drive-wheels_4wd,engine-location,fuel-system_mfi,fuel-system_spdi,aspiration,fuel-system_spfi,engine-type_ohcf,body-style_convertible,fuel-system_2bbl,city-mpg,width,make
13495,5000,2548,168.8,130,111,88.6,48.8,27,9.0,4,3.47,2.68,2,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21,64.1,alfa-romero
16500,5000,2548,168.8,130,111,88.6,48.8,27,9.0,4,3.47,2.68,2,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21,64.1,alfa-romero
16500,5000,2823,171.2,152,154,94.5,52.4,26,9.0,6,2.68,3.47,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,65.5,alfa-romero
13950,5500,2337,176.6,109,102,99.8,54.3,30,10.0,4,3.19,3.4,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,66.2,audi
17450,5500,2824,176.6,136,115,99.4,54.3,22,8.0,5,3.19,3.4,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,66.4,audi
15250,5500,2507,177.3,136,110,99.8,53.1,25,8.5,5,3.19,3.4,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,66.3,audi
17710,5500,2844,192.7,136,110,105.8,55.7,25,8.5,5,3.19,3.4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,71.4,audi
18920,5500,2954,192.7,136,110,105.8,55.7,25,8.5,5,3.19,3.4,4,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,71.4,audi
23875,5500,3086,192.7,131,140,105.8,55.9,20,8.3,5,3.13,3.4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,71.4,audi
23875,5500,3053,178.2,131,160,99.5,52.0,22,7.0,5,3.13,3.4,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,67.9,audi
16430,5800,2395,176.8,108,101,101.2,54.3,29,8.8,4,3.5,2.8,2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,64.8,bmw
16925,5800,2395,176.8,108,101,101.2,54.3,29,8.8,4,3.5,2.8,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,64.8,bmw
20970,4250,2710,176.8,164,121,101.2,54.3,28,9.0,6,3.31,3.19,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,64.8,bmw
21105,4250,2765,176.8,164,121,101.2,54.3,28,9.0,6,3.31,3.19,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,64.8,bmw
24565,4250,3055,189.0,164,121,103.5,55.7,25,9.0,6,3.31,3.19,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,66.9,bmw
30760,5400,3230,189.0,209,182,103.5,55.7,22,8.0,6,3.62,3.39,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,66.9,bmw
41315,5400,3380,193.8,209,182,103.5,53.7,22,8.0,6,3.62,3.39,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,67.9,bmw
36880,5400,3505,197.0,209,182,110.0,56.3,20,8.0,6,3.62,3.39,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,70.9,bmw
