drive-wheels_fwd,wheel-base,aspiration,length,fuel-system_spdi,fuel-system_1bbl,fuel-system_mpfi,drive-wheels_4wd,compression-ratio,curb-weight,engine-type_dohcv,horsepower,body-style_hatchback,body-style_hardtop,engine-type_ohcv,num-of-doors,width,bore,engine-size,drive-wheels_rwd,num-of-cylinders,fuel-system_spfi,engine-type_ohc,fuel-system_mfi,body-style_sedan,city-mpg,fuel-system_2bbl,price,highway-mpg,height,fuel-system_idi,body-style_convertible,fuel-type,symboling,stroke,engine-type_ohcf,body-style_wagon,peak-rpm,engine-type_dohc,engine-location,engine-type_l,make
0,88.6,0,168.8,0,0,1,0,9.0,2548,0,111,0,0,0,2,64.1,3.47,130,1,4,0,0,0,0,21,0,13495,27,48.8,0,1,1,3,2.68,0,0,5000,1,0,0,alfa-romero
0,88.6,0,168.8,0,0,1,0,9.0,2548,0,111,0,0,0,2,64.1,3.47,130,1,4,0,0,0,0,21,0,16500,27,48.8,0,1,1,3,2.68,0,0,5000,1,0,0,alfa-romero
0,94.5,0,171.2,0,0,1,0,9.0,2823,0,154,1,0,1,2,65.5,2.68,152,1,6,0,0,0,0,19,0,16500,26,52.4,0,0,1,1,3.47,0,0,5000,0,0,0,alfa-romero
1,99.8,0,176.6,0,0,1,0,10.0,2337,0,102,0,0,0,4,66.2,3.19,109,0,4,0,1,0,1,24,0,13950,30,54.3,0,0,1,2,3.4,0,0,5500,0,0,0,audi
0,99.4,0,176.6,0,0,1,1,8.0,2824,0,115,0,0,0,4,66.4,3.19,136,0,5,0,1,0,1,18,0,17450,22,54.3,0,0,1,2,3.4,0,0,5500,0,0,0,audi
1,99.8,0,177.3,0,0,1,0,8.5,2507,0,110,0,0,0,2,66.3,3.19,136,0,5,0,1,0,1,19,0,15250,25,53.1,0,0,1,2,3.4,0,0,5500,0,0,0,audi
1,105.8,0,192.7,0,0,1,0,8.5,2844,0,110,0,0,0,4,71.4,3.19,136,0,5,0,1,0,1,19,0,17710,25,55.7,0,0,1,1,3.4,0,0,5500,0,0,0,audi
1,105.8,0,192.7,0,0,1,0,8.5,2954,0,110,0,0,0,4,71.4,3.19,136,0,5,0,1,0,0,19,0,18920,25,55.7,0,0,1,1,3.4,0,1,5500,0,0,0,audi
1,105.8,1,192.7,0,0,1,0,8.3,3086,0,140,0,0,0,4,71.4,3.13,131,0,5,0,1,0,1,17,0,23875,20,55.9,0,0,1,1,3.4,0,0,5500,0,0,0,audi
0,99.5,1,178.2,0,0,1,1,7.0,3053,0,160,1,0,0,2,67.9,3.13,131,0,5,0,1,0,0,16,0,23875,22,52.0,0,0,1,0,3.4,0,0,5500,0,0,0,audi
