price,peak-rpm,curb-weight,symboling,body-style_hatchback,fuel-system_2bbl,body-style_wagon,engine-type_ohcf,drive-wheels_4wd,body-style_hardtop,engine-location,engine-type_dohcv,fuel-system_mfi,fuel-system_spfi,body-style_convertible,fuel-system_spdi,fuel-system_1bbl,engine-type_dohc,engine-type_ohcv,engine-type_l,fuel-system_idi,aspiration,drive-wheels_rwd,fuel-system_mpfi,body-style_sedan,drive-wheels_fwd,engine-type_ohc,fuel-type,num-of-doors,stroke,bore,num-of-cylinders,compression-ratio,city-mpg,highway-mpg,height,width,wheel-base,horsepower,engine-size,length,make
13495,5000,2548,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2,2.68,3.47,4,9.0,21,27,48.8,64.1,88.6,111,130,168.8,alfa-romero
16500,5000,2548,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2,2.68,3.47,4,9.0,21,27,48.8,64.1,88.6,111,130,168.8,alfa-romero
16500,5000,2823,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3.47,2.68,6,9.0,19,26,52.4,65.5,94.5,154,152,171.2,alfa-romero
13950,5500,2337,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,3.4,3.19,4,10.0,24,30,54.3,66.2,99.8,102,109,176.6,audi
17450,5500,2824,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,3.4,3.19,5,8.0,18,22,54.3,66.4,99.4,115,136,176.6,audi
15250,5500,2507,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3.4,3.19,5,8.5,19,25,53.1,66.3,99.8,110,136,177.3,audi
17710,5500,2844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,3.4,3.19,5,8.5,19,25,55.7,71.4,105.8,110,136,192.7,audi
18920,5500,2954,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,3.4,3.19,5,8.5,19,25,55.7,71.4,105.8,110,136,192.7,audi
23875,5500,3086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,4,3.4,3.13,5,8.3,17,20,55.9,71.4,105.8,140,131,192.7,audi
23875,5500,3053,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,3.4,3.13,5,7.0,16,22,52.0,67.9,99.5,160,131,178.2,audi
16430,5800,2395,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,2.8,3.5,4,8.8,23,29,54.3,64.8,101.2,101,108,176.8,bmw
16925,5800,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,2.8,3.5,4,8.8,23,29,54.3,64.8,101.2,101,108,176.8,bmw
20970,4250,2710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,3.19,3.31,6,9.0,21,28,54.3,64.8,101.2,121,164,176.8,bmw
21105,4250,2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,3.19,3.31,6,9.0,21,28,54.3,64.8,101.2,121,164,176.8,bmw
24565,4250,3055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,3.19,3.31,6,9.0,20,25,55.7,66.9,103.5,121,164,189.0,bmw
30760,5400,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,3.39,3.62,6,8.0,16,22,55.7,66.9,103.5,182,209,189.0,bmw
41315,5400,3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,3.39,3.62,6,8.0,16,22,53.7,67.9,103.5,182,209,193.8,bmw
36880,5400,3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,3.39,3.62,6,8.0,15,20,56.3,70.9,110.0,182,209,197.0,bmw
5151,5100,1488,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3.03,2.91,3,9.5,47,53,53.2,60.3,88.4,48,61,141.1,chevrolet
6295,5400,1874,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.11,3.03,4,9.6,38,43,52.0,63.6,94.5,70,90,155.9,chevrolet
6575,5400,1909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.11,3.03,4,9.6,38,43,52.0,63.6,94.5,70,90,158.8,chevrolet
5572,5500,1876,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.23,2.97,4,9.41,37,41,50.8,63.8,93.7,68,90,157.3,dodge
