fuel-system_spfi,engine-type_l,drive-wheels_rwd,fuel-system_idi,body-style_hatchback,engine-location,engine-size,fuel-system_spdi,fuel-system_1bbl,fuel-system_2bbl,aspiration,curb-weight,length,engine-type_dohcv,peak-rpm,drive-wheels_fwd,city-mpg,fuel-system_mpfi,body-style_hardtop,height,horsepower,engine-type_ohcf,body-style_wagon,num-of-doors,num-of-cylinders,drive-wheels_4wd,width,stroke,highway-mpg,body-style_sedan,fuel-system_mfi,engine-type_ohc,compression-ratio,price,engine-type_dohc,wheel-base,fuel-type,body-style_convertible,bore,symboling,engine-type_ohcv,make
0,0,1,0,0,0,130,0,0,0,0,2548,168.8,0,5000,0,21,1,0,48.8,111,0,0,2,4,0,64.1,2.68,27,0,0,0,9.0,13495,1,88.6,1,1,3.47,3,0,alfa-romero
0,0,1,0,0,0,130,0,0,0,0,2548,168.8,0,5000,0,21,1,0,48.8,111,0,0,2,4,0,64.1,2.68,27,0,0,0,9.0,16500,1,88.6,1,1,3.47,3,0,alfa-romero
0,0,1,0,1,0,152,0,0,0,0,2823,171.2,0,5000,0,19,1,0,52.4,154,0,0,2,6,0,65.5,3.47,26,0,0,0,9.0,16500,0,94.5,1,0,2.68,1,1,alfa-romero
0,0,0,0,0,0,109,0,0,0,0,2337,176.6,0,5500,1,24,1,0,54.3,102,0,0,4,4,0,66.2,3.4,30,1,0,1,10.0,13950,0,99.8,1,0,3.19,2,0,audi
0,0,0,0,0,0,136,0,0,0,0,2824,176.6,0,5500,0,18,1,0,54.3,115,0,0,4,5,1,66.4,3.4,22,1,0,1,8.0,17450,0,99.4,1,0,3.19,2,0,audi
0,0,0,0,0,0,136,0,0,0,0,2507,177.3,0,5500,1,19,1,0,53.1,110,0,0,2,5,0,66.3,3.4,25,1,0,1,8.5,15250,0,99.8,1,0,3.19,2,0,audi
0,0,0,0,0,0,136,0,0,0,0,2844,192.7,0,5500,1,19,1,0,55.7,110,0,0,4,5,0,71.4,3.4,25,1,0,1,8.5,17710,0,105.8,1,0,3.19,1,0,audi
0,0,0,0,0,0,136,0,0,0,0,2954,192.7,0,5500,1,19,1,0,55.7,110,0,1,4,5,0,71.4,3.4,25,0,0,1,8.5,18920,0,105.8,1,0,3.19,1,0,audi
0,0,0,0,0,0,131,0,0,0,1,3086,192.7,0,5500,1,17,1,0,55.9,140,0,0,4,5,0,71.4,3.4,20,1,0,1,8.3,23875,0,105.8,1,0,3.13,1,0,audi
0,0,0,0,1,0,131,0,0,0,1,3053,178.2,0,5500,0,16,1,0,52.0,160,0,0,2,5,1,67.9,3.4,22,0,0,1,7.0,23875,0,99.5,1,0,3.13,0,0,audi
0,0,1,0,0,0,108,0,0,0,0,2395,176.8,0,5800,0,23,1,0,54.3,101,0,0,2,4,0,64.8,2.8,29,1,0,1,8.8,16430,0,101.2,1,0,3.5,2,0,bmw
0,0,1,0,0,0,108,0,0,0,0,2395,176.8,0,5800,0,23,1,0,54.3,101,0,0,4,4,0,64.8,2.8,29,1,0,1,8.8,16925,0,101.2,1,0,3.5,0,0,bmw
0,0,1,0,0,0,164,0,0,0,0,2710,176.8,0,4250,0,21,1,0,54.3,121,0,0,2,6,0,64.8,3.19,28,1,0,1,9.0,20970,0,101.2,1,0,3.31,0,0,bmw
0,0,1,0,0,0,164,0,0,0,0,2765,176.8,0,4250,0,21,1,0,54.3,121,0,0,4,6,0,64.8,3.19,28,1,0,1,9.0,21105,0,101.2,1,0,3.31,0,0,bmw
0,0,1,0,0,0,164,0,0,0,0,3055,189.0,0,4250,0,20,1,0,55.7,121,0,0,4,6,0,66.9,3.19,25,1,0,1,9.0,24565,0,103.5,1,0,3.31,1,0,bmw
0,0,1,0,0,0,209,0,0,0,0,3230,189.0,0,5400,0,16,1,0,55.7,182,0,0,4,6,0,66.9,3.39,22,1,0,1,8.0,30760,0,103.5,1,0,3.62,0,0,bmw
0,0,1,0,0,0,209,0,0,0,0,3380,193.8,0,5400,0,16,1,0,53.7,182,0,0,2,6,0,67.9,3.39,22,1,0,1,8.0,41315,0,103.5,1,0,3.62,0,0,bmw
0,0,1,0,0,0,209,0,0,0,0,3505,197.0,0,5400,0,15,1,0,56.3,182,0,0,4,6,0,70.9,3.39,20,1,0,1,8.0,36880,0,110.0,1,0,3.62,0,0,bmw
0,1,0,0,1,0,61,0,0,1,0,1488,141.1,0,5100,1,47,0,0,53.2,48,0,0,2,3,0,60.3,3.03,53,0,0,0,9.5,5151,0,88.4,1,0,2.91,2,0,chevrolet
0,0,0,0,1,0,90,0,0,1,0,1874,155.9,0,5400,1,38,0,0,52.0,70,0,0,2,4,0,63.6,3.11,43,0,0,1,9.6,6295,0,94.5,1,0,3.03,1,0,chevrolet
