casual,yr,holiday,windspeed,atemp,temp,hum,workingday,weathersit,season,weekday,mnth,hr,cnt,registered
3.0,0.0,0.0,0.0,0.2879,0.24,0.81,0.0,1.0,1.0,6.0,1.0,0.0,16.0,13.0
8.0,0.0,0.0,0.0,0.2727,0.22,0.8,0.0,1.0,1.0,6.0,1.0,1.0,40.0,32.0
5.0,0.0,0.0,0.0,0.2727,0.22,0.8,0.0,1.0,1.0,6.0,1.0,2.0,32.0,27.0
3.0,0.0,0.0,0.0,0.2879,0.24,0.75,0.0,1.0,1.0,6.0,1.0,3.0,13.0,10.0
0.0,0.0,0.0,0.0,0.2879,0.24,0.75,0.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0
0.0,0.0,0.0,0.0896,0.2576,0.24,0.75,0.0,2.0,1.0,6.0,1.0,5.0,1.0,1.0
2.0,0.0,0.0,0.0,0.2727,0.22,0.8,0.0,1.0,1.0,6.0,1.0,6.0,2.0,0.0
1.0,0.0,0.0,0.0,0.2576,0.2,0.86,0.0,1.0,1.0,6.0,1.0,7.0,3.0,2.0
1.0,0.0,0.0,0.0,0.2879,0.24,0.75,0.0,1.0,1.0,6.0,1.0,8.0,8.0,7.0
8.0,0.0,0.0,0.0,0.3485,0.32,0.76,0.0,1.0,1.0,6.0,1.0,9.0,14.0,6.0
12.0,0.0,0.0,0.2537,0.3939,0.38,0.76,0.0,1.0,1.0,6.0,1.0,10.0,36.0,24.0
26.0,0.0,0.0,0.2836,0.3333,0.36,0.81,0.0,1.0,1.0,6.0,1.0,11.0,56.0,30.0
29.0,0.0,0.0,0.2836,0.4242,0.42,0.77,0.0,1.0,1.0,6.0,1.0,12.0,84.0,55.0
47.0,0.0,0.0,0.2985,0.4545,0.46,0.72,0.0,2.0,1.0,6.0,1.0,13.0,94.0,47.0
35.0,0.0,0.0,0.2836,0.4545,0.46,0.72,0.0,2.0,1.0,6.0,1.0,14.0,106.0,71.0
40.0,0.0,0.0,0.2985,0.4394,0.44,0.77,0.0,2.0,1.0,6.0,1.0,15.0,110.0,70.0
41.0,0.0,0.0,0.2985,0.4242,0.42,0.82,0.0,2.0,1.0,6.0,1.0,16.0,93.0,52.0
15.0,0.0,0.0,0.2836,0.4394,0.44,0.82,0.0,2.0,1.0,6.0,1.0,17.0,67.0,52.0
9.0,0.0,0.0,0.2537,0.4242,0.42,0.88,0.0,3.0,1.0,6.0,1.0,18.0,35.0,26.0
6.0,0.0,0.0,0.2537,0.4242,0.42,0.88,0.0,3.0,1.0,6.0,1.0,19.0,37.0,31.0
11.0,0.0,0.0,0.2537,0.4091,0.4,0.87,0.0,2.0,1.0,6.0,1.0,20.0,36.0,25.0
3.0,0.0,0.0,0.194,0.4091,0.4,0.87,0.0,2.0,1.0,6.0,1.0,21.0,34.0,31.0
11.0,0.0,0.0,0.2239,0.4091,0.4,0.94,0.0,2.0,1.0,6.0,1.0,22.0,28.0,17.0
15.0,0.0,0.0,0.2985,0.4545,0.46,0.88,0.0,2.0,1.0,6.0,1.0,23.0,39.0,24.0
4.0,0.0,0.0,0.2985,0.4545,0.46,0.88,0.0,2.0,1.0,0.0,1.0,0.0,17.0,13.0
1.0,0.0,0.0,0.2537,0.4394,0.44,0.94,0.0,2.0,1.0,0.0,1.0,1.0,17.0,16.0
1.0,0.0,0.0,0.2836,0.4242,0.42,1.0,0.0,2.0,1.0,0.0,1.0,2.0,9.0,8.0
2.0,0.0,0.0,0.194,0.4545,0.46,0.94,0.0,2.0,1.0,0.0,1.0,3.0,6.0,4.0
2.0,0.0,0.0,0.194,0.4545,0.46,0.94,0.0,2.0,1.0,0.0,1.0,4.0,3.0,1.0
0.0,0.0,0.0,0.2985,0.4242,0.42,0.77,0.0,3.0,1.0,0.0,1.0,6.0,2.0,2.0
0.0,0.0,0.0,0.194,0.4091,0.4,0.76,0.0,2.0,1.0,0.0,1.0,7.0,1.0,1.0
0.0,0.0,0.0,0.2239,0.4091,0.4,0.71,0.0,3.0,1.0,0.0,1.0,8.0,8.0,8.0
1.0,0.0,0.0,0.2239,0.3939,0.38,0.76,0.0,2.0,1.0,0.0,1.0,9.0,20.0,19.0
7.0,0.0,0.0,0.2239,0.3485,0.36,0.81,0.0,2.0,1.0,0.0,1.0,10.0,53.0,46.0
16.0,0.0,0.0,0.2537,0.3333,0.36,0.71,0.0,2.0,1.0,0.0,1.0,11.0,70.0,54.0
20.0,0.0,0.0,0.2985,0.3333,0.36,0.66,0.0,2.0,1.0,0.0,1.0,12.0,93.0,73.0
11.0,0.0,0.0,0.1343,0.3485,0.36,0.66,0.0,2.0,1.0,0.0,1.0,13.0,75.0,64.0
4.0,0.0,0.0,0.194,0.3485,0.36,0.76,0.0,3.0,1.0,0.0,1.0,14.0,59.0,55.0
19.0,0.0,0.0,0.1642,0.3333,0.34,0.81,0.0,3.0,1.0,0.0,1.0,15.0,74.0,55.0
9.0,0.0,0.0,0.1642,0.3333,0.34,0.71,0.0,3.0,1.0,0.0,1.0,16.0,76.0,67.0
7.0,0.0,0.0,0.194,0.3333,0.34,0.57,0.0,1.0,1.0,0.0,1.0,17.0,65.0,58.0
10.0,0.0,0.0,0.3284,0.3333,0.36,0.46,0.0,2.0,1.0,0.0,1.0,18.0,53.0,43.0
1.0,0.0,0.0,0.4478,0.2879,0.32,0.42,0.0,1.0,1.0,0.0,1.0,19.0,30.0,29.0
5.0,0.0,0.0,0.3582,0.2727,0.3,0.39,0.0,1.0,1.0,0.0,1.0,20.0,22.0,17.0
11.0,0.0,0.0,0.3284,0.2273,0.26,0.44,0.0,1.0,1.0,0.0,1.0,21.0,31.0,20.0
0.0,0.0,0.0,0.2985,0.2121,0.24,0.44,0.0,1.0,1.0,0.0,1.0,22.0,9.0,9.0
0.0,0.0,0.0,0.1642,0.2273,0.22,0.47,0.0,1.0,1.0,0.0,1.0,23.0,8.0,8.0
0.0,0.0,0.0,0.3582,0.197,0.22,0.44,1.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0
0.0,0.0,0.0,0.4179,0.1667,0.2,0.44,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
0.0,0.0,0.0,0.3881,0.1364,0.16,0.47,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
0.0,0.0,0.0,0.2836,0.1364,0.16,0.47,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0
0.0,0.0,0.0,0.3881,0.1061,0.14,0.5,1.0,1.0,1.0,1.0,1.0,6.0,30.0,30.0
1.0,0.0,0.0,0.194,0.1364,0.14,0.5,1.0,1.0,1.0,1.0,1.0,7.0,64.0,63.0
1.0,0.0,0.0,0.2836,0.1212,0.14,0.5,1.0,1.0,1.0,1.0,1.0,8.0,154.0,153.0
7.0,0.0,0.0,0.3881,0.1364,0.16,0.43,1.0,1.0,1.0,1.0,1.0,9.0,88.0,81.0
11.0,0.0,0.0,0.2537,0.1667,0.18,0.43,1.0,1.0,1.0,1.0,1.0,10.0,44.0,33.0
10.0,0.0,0.0,0.3284,0.1818,0.2,0.4,1.0,1.0,1.0,1.0,1.0,11.0,51.0,41.0
13.0,0.0,0.0,0.2985,0.2121,0.22,0.35,1.0,1.0,1.0,1.0,1.0,12.0,61.0,48.0
8.0,0.0,0.0,0.2836,0.2121,0.24,0.35,1.0,1.0,1.0,1.0,1.0,13.0,61.0,53.0
11.0,0.0,0.0,0.2836,0.2424,0.26,0.3,1.0,1.0,1.0,1.0,1.0,14.0,77.0,66.0
14.0,0.0,0.0,0.2537,0.2424,0.26,0.3,1.0,1.0,1.0,1.0,1.0,15.0,72.0,58.0
9.0,0.0,0.0,0.2537,0.2424,0.26,0.3,1.0,1.0,1.0,1.0,1.0,16.0,76.0,67.0
11.0,0.0,0.0,0.2239,0.2273,0.24,0.3,1.0,1.0,1.0,1.0,1.0,17.0,157.0,146.0
9.0,0.0,0.0,0.1045,0.2576,0.24,0.32,1.0,1.0,1.0,1.0,1.0,18.0,157.0,148.0
8.0,0.0,0.0,0.0,0.2576,0.2,0.47,1.0,1.0,1.0,1.0,1.0,19.0,110.0,102.0
3.0,0.0,0.0,0.1045,0.2273,0.2,0.47,1.0,1.0,1.0,1.0,1.0,20.0,52.0,49.0
3.0,0.0,0.0,0.1343,0.197,0.18,0.64,1.0,1.0,1.0,1.0,1.0,21.0,52.0,49.0
0.0,0.0,0.0,0.1343,0.1515,0.14,0.69,1.0,1.0,1.0,1.0,1.0,22.0,20.0,20.0
1.0,0.0,0.0,0.1045,0.2121,0.18,0.55,1.0,1.0,1.0,1.0,1.0,23.0,12.0,11.0
0.0,0.0,0.0,0.1045,0.1818,0.16,0.55,1.0,1.0,1.0,2.0,1.0,0.0,5.0,5.0
0.0,0.0,0.0,0.1045,0.1818,0.16,0.59,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
0.0,0.0,0.0,0.1343,0.1515,0.14,0.63,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,0.0,0.0,0.0896,0.1818,0.14,0.63,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0
0.0,0.0,0.0,0.1045,0.1515,0.12,0.68,1.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0
0.0,0.0,0.0,0.1045,0.1515,0.12,0.74,1.0,1.0,1.0,2.0,1.0,6.0,36.0,36.0
2.0,0.0,0.0,0.1343,0.1515,0.12,0.74,1.0,1.0,1.0,2.0,1.0,7.0,94.0,92.0
2.0,0.0,0.0,0.1642,0.1515,0.14,0.69,1.0,1.0,1.0,2.0,1.0,8.0,179.0,177.0
2.0,0.0,0.0,0.2239,0.1515,0.16,0.64,1.0,1.0,1.0,2.0,1.0,9.0,100.0,98.0
5.0,0.0,0.0,0.3284,0.1364,0.16,0.69,1.0,2.0,1.0,2.0,1.0,10.0,42.0,37.0
7.0,0.0,0.0,0.2985,0.2121,0.22,0.51,1.0,1.0,1.0,2.0,1.0,11.0,57.0,50.0
12.0,0.0,0.0,0.1642,0.2273,0.22,0.51,1.0,1.0,1.0,2.0,1.0,12.0,78.0,66.0
18.0,0.0,0.0,0.194,0.2273,0.24,0.56,1.0,1.0,1.0,2.0,1.0,13.0,97.0,79.0
9.0,0.0,0.0,0.2239,0.2576,0.26,0.52,1.0,1.0,1.0,2.0,1.0,14.0,63.0,54.0
17.0,0.0,0.0,0.2537,0.2727,0.28,0.52,1.0,1.0,1.0,2.0,1.0,15.0,65.0,48.0
15.0,0.0,0.0,0.2537,0.2879,0.3,0.49,1.0,1.0,1.0,2.0,1.0,16.0,83.0,68.0
10.0,0.0,0.0,0.2239,0.2727,0.28,0.48,1.0,1.0,1.0,2.0,1.0,17.0,212.0,202.0
3.0,0.0,0.0,0.194,0.2576,0.26,0.48,1.0,1.0,1.0,2.0,1.0,18.0,182.0,179.0
2.0,0.0,0.0,0.1045,0.2576,0.24,0.48,1.0,1.0,1.0,2.0,1.0,19.0,112.0,110.0
1.0,0.0,0.0,0.1045,0.2576,0.24,0.48,1.0,1.0,1.0,2.0,1.0,20.0,54.0,53.0
0.0,0.0,0.0,0.0,0.2727,0.22,0.64,1.0,1.0,1.0,2.0,1.0,21.0,48.0,48.0
1.0,0.0,0.0,0.0896,0.2576,0.22,0.64,1.0,1.0,1.0,2.0,1.0,22.0,35.0,34.0
2.0,0.0,0.0,0.0896,0.2273,0.2,0.69,1.0,1.0,1.0,2.0,1.0,23.0,11.0,9.0
0.0,0.0,0.0,0.0,0.2576,0.2,0.64,1.0,1.0,1.0,3.0,1.0,0.0,6.0,6.0
0.0,0.0,0.0,0.0896,0.197,0.16,0.74,1.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0
0.0,0.0,0.0,0.0896,0.197,0.16,0.74,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0
0.0,0.0,0.0,0.2239,0.2273,0.24,0.48,1.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0
0.0,0.0,0.0,0.1642,0.2273,0.22,0.47,1.0,1.0,1.0,3.0,1.0,5.0,3.0,3.0
0.0,0.0,0.0,0.2239,0.197,0.2,0.47,1.0,1.0,1.0,3.0,1.0,6.0,33.0,33.0
1.0,0.0,0.0,0.194,0.1818,0.18,0.43,1.0,1.0,1.0,3.0,1.0,7.0,88.0,87.0
3.0,0.0,0.0,0.2985,0.1818,0.2,0.4,1.0,1.0,1.0,3.0,1.0,8.0,195.0,192.0
6.0,0.0,0.0,0.3284,0.197,0.22,0.37,1.0,1.0,1.0,3.0,1.0,9.0,115.0,109.0
4.0,0.0,0.0,0.3284,0.197,0.22,0.37,1.0,1.0,1.0,3.0,1.0,10.0,57.0,53.0
12.0,0.0,0.0,0.3284,0.2273,0.26,0.33,1.0,1.0,1.0,3.0,1.0,11.0,46.0,34.0
5.0,0.0,0.0,0.3284,0.2273,0.26,0.33,1.0,1.0,1.0,3.0,1.0,12.0,79.0,74.0
6.0,0.0,0.0,0.2985,0.2576,0.28,0.3,1.0,1.0,1.0,3.0,1.0,13.0,71.0,65.0
10.0,0.0,0.0,0.194,0.2879,0.3,0.28,1.0,1.0,1.0,3.0,1.0,14.0,62.0,52.0
7.0,0.0,0.0,0.194,0.2879,0.3,0.28,1.0,1.0,1.0,3.0,1.0,15.0,62.0,55.0
4.0,0.0,0.0,0.0896,0.3182,0.3,0.28,1.0,1.0,1.0,3.0,1.0,16.0,89.0,85.0
4.0,0.0,0.0,0.194,0.2273,0.24,0.38,1.0,1.0,1.0,3.0,1.0,17.0,190.0,186.0
3.0,0.0,0.0,0.1343,0.2424,0.24,0.38,1.0,1.0,1.0,3.0,1.0,18.0,169.0,166.0
5.0,0.0,0.0,0.1045,0.2576,0.24,0.38,1.0,1.0,1.0,3.0,1.0,19.0,132.0,127.0
7.0,0.0,0.0,0.1642,0.2273,0.22,0.47,1.0,1.0,1.0,3.0,1.0,20.0,89.0,82.0
3.0,0.0,0.0,0.194,0.197,0.2,0.51,1.0,1.0,1.0,3.0,1.0,21.0,43.0,40.0
1.0,0.0,0.0,0.1343,0.197,0.18,0.55,1.0,1.0,1.0,3.0,1.0,22.0,42.0,41.0
1.0,0.0,0.0,0.0,0.2576,0.2,0.47,1.0,1.0,1.0,3.0,1.0,23.0,19.0,18.0
0.0,0.0,0.0,0.0,0.2424,0.18,0.55,1.0,1.0,1.0,4.0,1.0,0.0,11.0,11.0
0.0,0.0,0.0,0.0,0.2273,0.16,0.64,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0
