season,casual,registered,atemp,weathersit,hr,windspeed,holiday,temp,mnth,hum,weekday,yr,workingday,cnt
1.0,3.0,13.0,0.2879,1.0,0.0,0.0,0.0,0.24,1.0,0.81,6.0,0.0,0.0,16.0
1.0,8.0,32.0,0.2727,1.0,1.0,0.0,0.0,0.22,1.0,0.8,6.0,0.0,0.0,40.0
1.0,5.0,27.0,0.2727,1.0,2.0,0.0,0.0,0.22,1.0,0.8,6.0,0.0,0.0,32.0
1.0,3.0,10.0,0.2879,1.0,3.0,0.0,0.0,0.24,1.0,0.75,6.0,0.0,0.0,13.0
1.0,0.0,1.0,0.2879,1.0,4.0,0.0,0.0,0.24,1.0,0.75,6.0,0.0,0.0,1.0
1.0,0.0,1.0,0.2576,2.0,5.0,0.0896,0.0,0.24,1.0,0.75,6.0,0.0,0.0,1.0
1.0,2.0,0.0,0.2727,1.0,6.0,0.0,0.0,0.22,1.0,0.8,6.0,0.0,0.0,2.0
1.0,1.0,2.0,0.2576,1.0,7.0,0.0,0.0,0.2,1.0,0.86,6.0,0.0,0.0,3.0
1.0,1.0,7.0,0.2879,1.0,8.0,0.0,0.0,0.24,1.0,0.75,6.0,0.0,0.0,8.0
1.0,8.0,6.0,0.3485,1.0,9.0,0.0,0.0,0.32,1.0,0.76,6.0,0.0,0.0,14.0
1.0,12.0,24.0,0.3939,1.0,10.0,0.2537,0.0,0.38,1.0,0.76,6.0,0.0,0.0,36.0
1.0,26.0,30.0,0.3333,1.0,11.0,0.2836,0.0,0.36,1.0,0.81,6.0,0.0,0.0,56.0
1.0,29.0,55.0,0.4242,1.0,12.0,0.2836,0.0,0.42,1.0,0.77,6.0,0.0,0.0,84.0
1.0,47.0,47.0,0.4545,2.0,13.0,0.2985,0.0,0.46,1.0,0.72,6.0,0.0,0.0,94.0
1.0,35.0,71.0,0.4545,2.0,14.0,0.2836,0.0,0.46,1.0,0.72,6.0,0.0,0.0,106.0
1.0,40.0,70.0,0.4394,2.0,15.0,0.2985,0.0,0.44,1.0,0.77,6.0,0.0,0.0,110.0
1.0,41.0,52.0,0.4242,2.0,16.0,0.2985,0.0,0.42,1.0,0.82,6.0,0.0,0.0,93.0
