temp,hum,weekday,yr,cnt,registered,season,hr,workingday,atemp,holiday,casual,weathersit,mnth,windspeed
0.24,0.81,6.0,0.0,16.0,13.0,1.0,0.0,0.0,0.2879,0.0,3.0,1.0,1.0,0.0
0.22,0.8,6.0,0.0,40.0,32.0,1.0,1.0,0.0,0.2727,0.0,8.0,1.0,1.0,0.0
0.22,0.8,6.0,0.0,32.0,27.0,1.0,2.0,0.0,0.2727,0.0,5.0,1.0,1.0,0.0
0.24,0.75,6.0,0.0,13.0,10.0,1.0,3.0,0.0,0.2879,0.0,3.0,1.0,1.0,0.0
0.24,0.75,6.0,0.0,1.0,1.0,1.0,4.0,0.0,0.2879,0.0,0.0,1.0,1.0,0.0
0.24,0.75,6.0,0.0,1.0,1.0,1.0,5.0,0.0,0.2576,0.0,0.0,2.0,1.0,0.0896
0.22,0.8,6.0,0.0,2.0,0.0,1.0,6.0,0.0,0.2727,0.0,2.0,1.0,1.0,0.0
0.2,0.86,6.0,0.0,3.0,2.0,1.0,7.0,0.0,0.2576,0.0,1.0,1.0,1.0,0.0
0.24,0.75,6.0,0.0,8.0,7.0,1.0,8.0,0.0,0.2879,0.0,1.0,1.0,1.0,0.0
0.32,0.76,6.0,0.0,14.0,6.0,1.0,9.0,0.0,0.3485,0.0,8.0,1.0,1.0,0.0
0.38,0.76,6.0,0.0,36.0,24.0,1.0,10.0,0.0,0.3939,0.0,12.0,1.0,1.0,0.2537
0.36,0.81,6.0,0.0,56.0,30.0,1.0,11.0,0.0,0.3333,0.0,26.0,1.0,1.0,0.2836
0.42,0.77,6.0,0.0,84.0,55.0,1.0,12.0,0.0,0.4242,0.0,29.0,1.0,1.0,0.2836
0.46,0.72,6.0,0.0,94.0,47.0,1.0,13.0,0.0,0.4545,0.0,47.0,2.0,1.0,0.2985
0.46,0.72,6.0,0.0,106.0,71.0,1.0,14.0,0.0,0.4545,0.0,35.0,2.0,1.0,0.2836
0.44,0.77,6.0,0.0,110.0,70.0,1.0,15.0,0.0,0.4394,0.0,40.0,2.0,1.0,0.2985
0.42,0.82,6.0,0.0,93.0,52.0,1.0,16.0,0.0,0.4242,0.0,41.0,2.0,1.0,0.2985
0.44,0.82,6.0,0.0,67.0,52.0,1.0,17.0,0.0,0.4394,0.0,15.0,2.0,1.0,0.2836
0.42,0.88,6.0,0.0,35.0,26.0,1.0,18.0,0.0,0.4242,0.0,9.0,3.0,1.0,0.2537
0.42,0.88,6.0,0.0,37.0,31.0,1.0,19.0,0.0,0.4242,0.0,6.0,3.0,1.0,0.2537
