weight,year,mpg,acceleration,origin,cylinders,displacement
3504.0,70.0,18.0,12.0,1.0,8.0,307.0
3693.0,70.0,15.0,11.5,1.0,8.0,350.0
3436.0,70.0,18.0,11.0,1.0,8.0,318.0
3433.0,70.0,16.0,12.0,1.0,8.0,304.0
3449.0,70.0,17.0,10.5,1.0,8.0,302.0
4341.0,70.0,15.0,10.0,1.0,8.0,429.0
4354.0,70.0,14.0,9.0,1.0,8.0,454.0
4312.0,70.0,14.0,8.5,1.0,8.0,440.0
4425.0,70.0,14.0,10.0,1.0,8.0,455.0
3850.0,70.0,15.0,8.5,1.0,8.0,390.0
3563.0,70.0,15.0,10.0,1.0,8.0,383.0
3609.0,70.0,14.0,8.0,1.0,8.0,340.0
3761.0,70.0,15.0,9.5,1.0,8.0,400.0
3086.0,70.0,14.0,10.0,1.0,8.0,455.0
2372.0,70.0,24.0,15.0,3.0,4.0,113.0
2833.0,70.0,22.0,15.5,1.0,6.0,198.0
2774.0,70.0,18.0,15.5,1.0,6.0,199.0
2587.0,70.0,21.0,16.0,1.0,6.0,200.0
2130.0,70.0,27.0,14.5,3.0,4.0,97.0
1835.0,70.0,26.0,20.5,2.0,4.0,97.0
2672.0,70.0,25.0,17.5,2.0,4.0,110.0
2430.0,70.0,24.0,14.5,2.0,4.0,107.0
2375.0,70.0,25.0,17.5,2.0,4.0,104.0
2234.0,70.0,26.0,12.5,2.0,4.0,121.0
2648.0,70.0,21.0,15.0,1.0,6.0,199.0
4615.0,70.0,10.0,14.0,1.0,8.0,360.0
4376.0,70.0,10.0,15.0,1.0,8.0,307.0
4382.0,70.0,11.0,13.5,1.0,8.0,318.0
4732.0,70.0,9.0,18.5,1.0,8.0,304.0
2130.0,71.0,27.0,14.5,3.0,4.0,97.0
2264.0,71.0,28.0,15.5,1.0,4.0,140.0
2228.0,71.0,25.0,14.0,3.0,4.0,113.0
2046.0,71.0,25.0,19.0,1.0,4.0,98.0
2634.0,71.0,19.0,13.0,1.0,6.0,232.0
3439.0,71.0,16.0,15.5,1.0,6.0,225.0
3329.0,71.0,17.0,15.5,1.0,6.0,250.0
3302.0,71.0,19.0,15.5,1.0,6.0,250.0
3288.0,71.0,18.0,15.5,1.0,6.0,232.0
4209.0,71.0,14.0,12.0,1.0,8.0,350.0
4464.0,71.0,14.0,11.5,1.0,8.0,400.0
4154.0,71.0,14.0,13.5,1.0,8.0,351.0
4096.0,71.0,14.0,13.0,1.0,8.0,318.0
4955.0,71.0,12.0,11.5,1.0,8.0,383.0
4746.0,71.0,13.0,12.0,1.0,8.0,400.0
5140.0,71.0,13.0,12.0,1.0,8.0,400.0
2962.0,71.0,18.0,13.5,1.0,6.0,258.0
2408.0,71.0,22.0,19.0,1.0,4.0,140.0
3282.0,71.0,19.0,15.0,1.0,6.0,250.0
3139.0,71.0,18.0,14.5,1.0,6.0,250.0
2220.0,71.0,23.0,14.0,1.0,4.0,122.0
2123.0,71.0,28.0,14.0,2.0,4.0,116.0
2074.0,71.0,30.0,19.5,2.0,4.0,79.0
2065.0,71.0,30.0,14.5,2.0,4.0,88.0
1773.0,71.0,31.0,19.0,3.0,4.0,71.0
1613.0,71.0,35.0,18.0,3.0,4.0,72.0
1834.0,71.0,27.0,19.0,2.0,4.0,97.0
1955.0,71.0,26.0,20.5,1.0,4.0,91.0
2278.0,72.0,24.0,15.5,3.0,4.0,113.0
