origin,acceleration,weight,year,mpg,displacement,cylinders
1.0,12.0,3504.0,70.0,18.0,307.0,8.0
1.0,11.5,3693.0,70.0,15.0,350.0,8.0
1.0,11.0,3436.0,70.0,18.0,318.0,8.0
1.0,12.0,3433.0,70.0,16.0,304.0,8.0
1.0,10.5,3449.0,70.0,17.0,302.0,8.0
1.0,10.0,4341.0,70.0,15.0,429.0,8.0
1.0,9.0,4354.0,70.0,14.0,454.0,8.0
1.0,8.5,4312.0,70.0,14.0,440.0,8.0
1.0,10.0,4425.0,70.0,14.0,455.0,8.0
1.0,8.5,3850.0,70.0,15.0,390.0,8.0
1.0,10.0,3563.0,70.0,15.0,383.0,8.0
1.0,8.0,3609.0,70.0,14.0,340.0,8.0
1.0,9.5,3761.0,70.0,15.0,400.0,8.0
1.0,10.0,3086.0,70.0,14.0,455.0,8.0
3.0,15.0,2372.0,70.0,24.0,113.0,4.0
1.0,15.5,2833.0,70.0,22.0,198.0,6.0
1.0,15.5,2774.0,70.0,18.0,199.0,6.0
1.0,16.0,2587.0,70.0,21.0,200.0,6.0
3.0,14.5,2130.0,70.0,27.0,97.0,4.0
2.0,20.5,1835.0,70.0,26.0,97.0,4.0
2.0,17.5,2672.0,70.0,25.0,110.0,4.0
2.0,14.5,2430.0,70.0,24.0,107.0,4.0
2.0,17.5,2375.0,70.0,25.0,104.0,4.0
2.0,12.5,2234.0,70.0,26.0,121.0,4.0
1.0,15.0,2648.0,70.0,21.0,199.0,6.0
1.0,14.0,4615.0,70.0,10.0,360.0,8.0
1.0,15.0,4376.0,70.0,10.0,307.0,8.0
1.0,13.5,4382.0,70.0,11.0,318.0,8.0
1.0,18.5,4732.0,70.0,9.0,304.0,8.0
3.0,14.5,2130.0,71.0,27.0,97.0,4.0
1.0,15.5,2264.0,71.0,28.0,140.0,4.0
3.0,14.0,2228.0,71.0,25.0,113.0,4.0
1.0,19.0,2046.0,71.0,25.0,98.0,4.0
1.0,13.0,2634.0,71.0,19.0,232.0,6.0
1.0,15.5,3439.0,71.0,16.0,225.0,6.0
1.0,15.5,3329.0,71.0,17.0,250.0,6.0
1.0,15.5,3302.0,71.0,19.0,250.0,6.0
1.0,15.5,3288.0,71.0,18.0,232.0,6.0
1.0,12.0,4209.0,71.0,14.0,350.0,8.0
1.0,11.5,4464.0,71.0,14.0,400.0,8.0
1.0,13.5,4154.0,71.0,14.0,351.0,8.0
1.0,13.0,4096.0,71.0,14.0,318.0,8.0
1.0,11.5,4955.0,71.0,12.0,383.0,8.0
1.0,12.0,4746.0,71.0,13.0,400.0,8.0
1.0,12.0,5140.0,71.0,13.0,400.0,8.0
1.0,13.5,2962.0,71.0,18.0,258.0,6.0
1.0,19.0,2408.0,71.0,22.0,140.0,4.0
1.0,15.0,3282.0,71.0,19.0,250.0,6.0
1.0,14.5,3139.0,71.0,18.0,250.0,6.0
1.0,14.0,2220.0,71.0,23.0,122.0,4.0
2.0,14.0,2123.0,71.0,28.0,116.0,4.0
2.0,19.5,2074.0,71.0,30.0,79.0,4.0
2.0,14.5,2065.0,71.0,30.0,88.0,4.0
3.0,19.0,1773.0,71.0,31.0,71.0,4.0
3.0,18.0,1613.0,71.0,35.0,72.0,4.0
2.0,19.0,1834.0,71.0,27.0,97.0,4.0
1.0,20.5,1955.0,71.0,26.0,91.0,4.0
3.0,15.5,2278.0,72.0,24.0,113.0,4.0
1.0,17.0,2126.0,72.0,25.0,97.5,4.0
2.0,23.5,2254.0,72.0,23.0,97.0,4.0
1.0,19.5,2408.0,72.0,20.0,140.0,4.0
1.0,16.5,2226.0,72.0,21.0,122.0,4.0
1.0,12.0,4274.0,72.0,13.0,350.0,8.0
1.0,12.0,4385.0,72.0,14.0,400.0,8.0
1.0,13.5,4135.0,72.0,15.0,318.0,8.0
1.0,13.0,4129.0,72.0,14.0,351.0,8.0
1.0,11.5,3672.0,72.0,17.0,304.0,8.0
1.0,11.0,4633.0,72.0,11.0,429.0,8.0
1.0,13.5,4502.0,72.0,13.0,350.0,8.0
1.0,13.5,4456.0,72.0,12.0,350.0,8.0
1.0,12.5,4422.0,72.0,13.0,400.0,8.0
3.0,13.5,2330.0,72.0,19.0,70.0,3.0
1.0,12.5,3892.0,72.0,15.0,304.0,8.0
1.0,14.0,4098.0,72.0,13.0,307.0,8.0
1.0,16.0,4294.0,72.0,13.0,302.0,8.0
