weight,origin,cylinders,acceleration,mpg,year,displacement
3504.0,1.0,8.0,12.0,18.0,70.0,307.0
3693.0,1.0,8.0,11.5,15.0,70.0,350.0
3436.0,1.0,8.0,11.0,18.0,70.0,318.0
3433.0,1.0,8.0,12.0,16.0,70.0,304.0
3449.0,1.0,8.0,10.5,17.0,70.0,302.0
4341.0,1.0,8.0,10.0,15.0,70.0,429.0
4354.0,1.0,8.0,9.0,14.0,70.0,454.0
4312.0,1.0,8.0,8.5,14.0,70.0,440.0
4425.0,1.0,8.0,10.0,14.0,70.0,455.0
3850.0,1.0,8.0,8.5,15.0,70.0,390.0
3563.0,1.0,8.0,10.0,15.0,70.0,383.0
3609.0,1.0,8.0,8.0,14.0,70.0,340.0
3761.0,1.0,8.0,9.5,15.0,70.0,400.0
3086.0,1.0,8.0,10.0,14.0,70.0,455.0
2372.0,3.0,4.0,15.0,24.0,70.0,113.0
2833.0,1.0,6.0,15.5,22.0,70.0,198.0
2774.0,1.0,6.0,15.5,18.0,70.0,199.0
2587.0,1.0,6.0,16.0,21.0,70.0,200.0
2130.0,3.0,4.0,14.5,27.0,70.0,97.0
1835.0,2.0,4.0,20.5,26.0,70.0,97.0
2672.0,2.0,4.0,17.5,25.0,70.0,110.0
2430.0,2.0,4.0,14.5,24.0,70.0,107.0
2375.0,2.0,4.0,17.5,25.0,70.0,104.0
2234.0,2.0,4.0,12.5,26.0,70.0,121.0
2648.0,1.0,6.0,15.0,21.0,70.0,199.0
4615.0,1.0,8.0,14.0,10.0,70.0,360.0
4376.0,1.0,8.0,15.0,10.0,70.0,307.0
4382.0,1.0,8.0,13.5,11.0,70.0,318.0
4732.0,1.0,8.0,18.5,9.0,70.0,304.0
2130.0,3.0,4.0,14.5,27.0,71.0,97.0
2264.0,1.0,4.0,15.5,28.0,71.0,140.0
2228.0,3.0,4.0,14.0,25.0,71.0,113.0
2046.0,1.0,4.0,19.0,25.0,71.0,98.0
2634.0,1.0,6.0,13.0,19.0,71.0,232.0
3439.0,1.0,6.0,15.5,16.0,71.0,225.0
3329.0,1.0,6.0,15.5,17.0,71.0,250.0
3302.0,1.0,6.0,15.5,19.0,71.0,250.0
3288.0,1.0,6.0,15.5,18.0,71.0,232.0
4209.0,1.0,8.0,12.0,14.0,71.0,350.0
4464.0,1.0,8.0,11.5,14.0,71.0,400.0
4154.0,1.0,8.0,13.5,14.0,71.0,351.0
4096.0,1.0,8.0,13.0,14.0,71.0,318.0
4955.0,1.0,8.0,11.5,12.0,71.0,383.0
4746.0,1.0,8.0,12.0,13.0,71.0,400.0
5140.0,1.0,8.0,12.0,13.0,71.0,400.0
2962.0,1.0,6.0,13.5,18.0,71.0,258.0
2408.0,1.0,4.0,19.0,22.0,71.0,140.0
3282.0,1.0,6.0,15.0,19.0,71.0,250.0
3139.0,1.0,6.0,14.5,18.0,71.0,250.0
2220.0,1.0,4.0,14.0,23.0,71.0,122.0
2123.0,2.0,4.0,14.0,28.0,71.0,116.0
2074.0,2.0,4.0,19.5,30.0,71.0,79.0
2065.0,2.0,4.0,14.5,30.0,71.0,88.0
1773.0,3.0,4.0,19.0,31.0,71.0,71.0
1613.0,3.0,4.0,18.0,35.0,71.0,72.0
1834.0,2.0,4.0,19.0,27.0,71.0,97.0
1955.0,1.0,4.0,20.5,26.0,71.0,91.0
2278.0,3.0,4.0,15.5,24.0,72.0,113.0
2126.0,1.0,4.0,17.0,25.0,72.0,97.5
2254.0,2.0,4.0,23.5,23.0,72.0,97.0
2408.0,1.0,4.0,19.5,20.0,72.0,140.0
2226.0,1.0,4.0,16.5,21.0,72.0,122.0
4274.0,1.0,8.0,12.0,13.0,72.0,350.0
4385.0,1.0,8.0,12.0,14.0,72.0,400.0
4135.0,1.0,8.0,13.5,15.0,72.0,318.0
4129.0,1.0,8.0,13.0,14.0,72.0,351.0
3672.0,1.0,8.0,11.5,17.0,72.0,304.0
4633.0,1.0,8.0,11.0,11.0,72.0,429.0
4502.0,1.0,8.0,13.5,13.0,72.0,350.0
4456.0,1.0,8.0,13.5,12.0,72.0,350.0
4422.0,1.0,8.0,12.5,13.0,72.0,400.0
2330.0,3.0,3.0,13.5,19.0,72.0,70.0
3892.0,1.0,8.0,12.5,15.0,72.0,304.0
4098.0,1.0,8.0,14.0,13.0,72.0,307.0
4294.0,1.0,8.0,16.0,13.0,72.0,302.0
4077.0,1.0,8.0,14.0,14.0,72.0,318.0
2933.0,2.0,4.0,14.5,18.0,72.0,121.0
2511.0,2.0,4.0,18.0,22.0,72.0,121.0
2979.0,2.0,4.0,19.5,21.0,72.0,120.0
2189.0,2.0,4.0,18.0,26.0,72.0,96.0
2395.0,1.0,4.0,16.0,22.0,72.0,122.0
2288.0,3.0,4.0,17.0,28.0,72.0,97.0
2506.0,3.0,4.0,14.5,23.0,72.0,120.0
2164.0,1.0,4.0,15.0,28.0,72.0,98.0
2100.0,3.0,4.0,16.5,27.0,72.0,97.0
4100.0,1.0,8.0,13.0,13.0,73.0,350.0
3672.0,1.0,8.0,11.5,14.0,73.0,304.0
3988.0,1.0,8.0,13.0,13.0,73.0,350.0
4042.0,1.0,8.0,14.5,14.0,73.0,302.0
3777.0,1.0,8.0,12.5,15.0,73.0,318.0
4952.0,1.0,8.0,11.5,12.0,73.0,429.0
4464.0,1.0,8.0,12.0,13.0,73.0,400.0
4363.0,1.0,8.0,13.0,13.0,73.0,351.0
4237.0,1.0,8.0,14.5,14.0,73.0,318.0
4735.0,1.0,8.0,11.0,13.0,73.0,440.0
4951.0,1.0,8.0,11.0,12.0,73.0,455.0
3821.0,1.0,8.0,11.0,13.0,73.0,360.0
3121.0,1.0,6.0,16.5,18.0,73.0,225.0
3278.0,1.0,6.0,18.0,16.0,73.0,250.0
2945.0,1.0,6.0,16.0,18.0,73.0,232.0
3021.0,1.0,6.0,16.5,18.0,73.0,250.0
2904.0,1.0,6.0,16.0,23.0,73.0,198.0
1950.0,2.0,4.0,21.0,26.0,73.0,97.0
4997.0,1.0,8.0,14.0,11.0,73.0,400.0
4906.0,1.0,8.0,12.5,12.0,73.0,400.0
4654.0,1.0,8.0,13.0,13.0,73.0,360.0
4499.0,1.0,8.0,12.5,12.0,73.0,350.0
2789.0,1.0,6.0,15.0,18.0,73.0,232.0
2279.0,3.0,4.0,19.0,20.0,73.0,97.0
2401.0,1.0,4.0,19.5,21.0,73.0,140.0
2379.0,3.0,4.0,16.5,22.0,73.0,108.0
2124.0,3.0,3.0,13.5,18.0,73.0,70.0
2310.0,1.0,4.0,18.5,19.0,73.0,122.0
