displacement,acceleration,weight,year,cylinders,origin,mpg
307.0,12.0,3504.0,70.0,8.0,1.0,18.0
350.0,11.5,3693.0,70.0,8.0,1.0,15.0
318.0,11.0,3436.0,70.0,8.0,1.0,18.0
304.0,12.0,3433.0,70.0,8.0,1.0,16.0
302.0,10.5,3449.0,70.0,8.0,1.0,17.0
429.0,10.0,4341.0,70.0,8.0,1.0,15.0
454.0,9.0,4354.0,70.0,8.0,1.0,14.0
440.0,8.5,4312.0,70.0,8.0,1.0,14.0
455.0,10.0,4425.0,70.0,8.0,1.0,14.0
390.0,8.5,3850.0,70.0,8.0,1.0,15.0
383.0,10.0,3563.0,70.0,8.0,1.0,15.0
340.0,8.0,3609.0,70.0,8.0,1.0,14.0
400.0,9.5,3761.0,70.0,8.0,1.0,15.0
455.0,10.0,3086.0,70.0,8.0,1.0,14.0
113.0,15.0,2372.0,70.0,4.0,3.0,24.0
198.0,15.5,2833.0,70.0,6.0,1.0,22.0
199.0,15.5,2774.0,70.0,6.0,1.0,18.0
200.0,16.0,2587.0,70.0,6.0,1.0,21.0
97.0,14.5,2130.0,70.0,4.0,3.0,27.0
97.0,20.5,1835.0,70.0,4.0,2.0,26.0
110.0,17.5,2672.0,70.0,4.0,2.0,25.0
107.0,14.5,2430.0,70.0,4.0,2.0,24.0
104.0,17.5,2375.0,70.0,4.0,2.0,25.0
121.0,12.5,2234.0,70.0,4.0,2.0,26.0
199.0,15.0,2648.0,70.0,6.0,1.0,21.0
360.0,14.0,4615.0,70.0,8.0,1.0,10.0
307.0,15.0,4376.0,70.0,8.0,1.0,10.0
318.0,13.5,4382.0,70.0,8.0,1.0,11.0
304.0,18.5,4732.0,70.0,8.0,1.0,9.0
97.0,14.5,2130.0,71.0,4.0,3.0,27.0
140.0,15.5,2264.0,71.0,4.0,1.0,28.0
113.0,14.0,2228.0,71.0,4.0,3.0,25.0
98.0,19.0,2046.0,71.0,4.0,1.0,25.0
232.0,13.0,2634.0,71.0,6.0,1.0,19.0
225.0,15.5,3439.0,71.0,6.0,1.0,16.0
250.0,15.5,3329.0,71.0,6.0,1.0,17.0
250.0,15.5,3302.0,71.0,6.0,1.0,19.0
232.0,15.5,3288.0,71.0,6.0,1.0,18.0
350.0,12.0,4209.0,71.0,8.0,1.0,14.0
400.0,11.5,4464.0,71.0,8.0,1.0,14.0
351.0,13.5,4154.0,71.0,8.0,1.0,14.0
318.0,13.0,4096.0,71.0,8.0,1.0,14.0
383.0,11.5,4955.0,71.0,8.0,1.0,12.0
400.0,12.0,4746.0,71.0,8.0,1.0,13.0
400.0,12.0,5140.0,71.0,8.0,1.0,13.0
