dividends_from_stocks,capital_losses,age,weeks_worked_in_year,detailed_industry_recode,detailed_occupation_recode,detailed_household_and_family_stat,education,major_industry_code,major_occupation_code,country_of_birth_father,country_of_birth_mother,country_of_birth_self,hispanic_origin,race,detailed_household_summary_in_household,tax_filer_stat,veterans_benefits,marital_stat,citizenship,live_in_this_house_1_year_ago,own_business_or_self_employed,income,sex,year,full_or_part_time_employment_stat,num_persons_worked_for_employer,class_of_worker,migration_code-change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,family_members_under_18,enroll_in_edu_inst_last_wk,fill_inc_questionnaire_for_veteran's_admin,reason_for_unemployment,member_of_a_labor_union,migration_prev_res_in_sunbelt,region_of_previous_residence,state_of_previous_residence,wage_per_hour,capital_gains,instance_weight
0.0,0.0,73.0,0.0,0.0,0.0,31.0,10.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1700.09
0.0,0.0,58.0,52.0,4.0,34.0,11.0,11.0,15.0,9.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,2.0,2.0,16.0,0.0,0.0,1053.55
0.0,0.0,18.0,0.0,0.0,0.0,23.0,7.0,1.0,-3.0,24.0,24.0,24.0,5.0,3.0,8.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,991.95
0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1758.14
0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1069.16
0.0,0.0,48.0,52.0,40.0,10.0,10.0,11.0,2.0,2.0,12.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,1200.0,0.0,162.61
0.0,0.0,42.0,52.0,34.0,3.0,11.0,14.0,11.0,13.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,5178.0,1535.86
0.0,0.0,28.0,30.0,4.0,40.0,6.0,10.0,15.0,8.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,2.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,898.83
0.0,0.0,47.0,52.0,43.0,26.0,10.0,11.0,5.0,6.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,7.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,876.0,0.0,1661.53
0.0,0.0,34.0,52.0,4.0,37.0,11.0,11.0,15.0,11.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1146.79
