migration_prev_res_in_sunbelt,country_of_birth_mother,dividends_from_stocks,country_of_birth_father,instance_weight,migration_code-move_within_reg,full_or_part_time_employment_stat,migration_code-change_in_reg,migration_code-change_in_msa,marital_stat,member_of_a_labor_union,num_persons_worked_for_employer,race,citizenship,major_occupation_code,major_industry_code,detailed_occupation_recode,family_members_under_18,age,state_of_previous_residence,reason_for_unemployment,region_of_previous_residence,country_of_birth_self,year,class_of_worker,detailed_industry_recode,education,income,live_in_this_house_1_year_ago,detailed_household_summary_in_household,capital_gains,veterans_benefits,own_business_or_self_employed,weeks_worked_in_year,capital_losses,tax_filer_stat,hispanic_origin,sex,fill_inc_questionnaire_for_veteran's_admin,enroll_in_edu_inst_last_wk,wage_per_hour,detailed_household_and_family_stat
-3.0,2.0,0.0,2.0,1700.09,-3.0,4.0,-3.0,-3.0,6.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,73.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,10.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,31.0
2.0,2.0,0.0,2.0,1053.55,3.0,1.0,3.0,3.0,5.0,-3.0,1.0,5.0,1.0,9.0,15.0,34.0,-3.0,58.0,16.0,-3.0,2.0,2.0,1.0,4.0,4.0,11.0,1.0,3.0,5.0,0.0,3.0,1.0,52.0,0.0,5.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,24.0,0.0,24.0,991.95,-3.0,4.0,-3.0,-3.0,1.0,-3.0,0.0,3.0,2.0,-3.0,1.0,0.0,-3.0,18.0,-3.0,-3.0,-3.0,24.0,2.0,-3.0,0.0,7.0,1.0,1.0,8.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,1.0,0.0,23.0
-3.0,2.0,0.0,2.0,1758.14,2.0,1.0,2.0,2.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,9.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,2.0,1069.16,2.0,1.0,2.0,2.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,10.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,12.0,162.61,-3.0,2.0,-3.0,-3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,10.0,-3.0,48.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,40.0,11.0,1.0,1.0,4.0,0.0,3.0,3.0,52.0,0.0,3.0,5.0,1.0,-3.0,-3.0,1200.0,10.0
-3.0,2.0,0.0,2.0,1535.86,2.0,1.0,2.0,2.0,2.0,-3.0,6.0,5.0,1.0,13.0,11.0,3.0,-3.0,42.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,34.0,14.0,1.0,2.0,5.0,5178.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,898.83,-3.0,5.0,-3.0,-3.0,1.0,-3.0,4.0,5.0,1.0,8.0,15.0,40.0,-3.0,28.0,-3.0,2.0,-3.0,2.0,2.0,3.0,4.0,10.0,1.0,1.0,3.0,0.0,3.0,1.0,30.0,0.0,4.0,5.0,1.0,-3.0,-3.0,0.0,6.0
-3.0,2.0,0.0,2.0,1661.53,-3.0,2.0,-3.0,-3.0,2.0,1.0,5.0,5.0,1.0,6.0,5.0,26.0,-3.0,47.0,-3.0,-3.0,-3.0,2.0,2.0,7.0,43.0,11.0,1.0,1.0,4.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,1.0,-3.0,-3.0,876.0,10.0
-3.0,2.0,0.0,2.0,1146.79,2.0,1.0,2.0,2.0,2.0,-3.0,6.0,5.0,1.0,11.0,15.0,37.0,-3.0,34.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,4.0,11.0,1.0,2.0,5.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,2466.24,2.0,1.0,2.0,2.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,8.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,1.0
-3.0,-3.0,0.0,-3.0,2021.27,-3.0,4.0,-3.0,-3.0,1.0,-3.0,0.0,4.0,2.0,-3.0,1.0,0.0,-3.0,32.0,-3.0,-3.0,-3.0,-3.0,2.0,-3.0,0.0,10.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,26.0
-3.0,2.0,0.0,2.0,2441.22,2.0,1.0,2.0,2.0,2.0,-3.0,3.0,5.0,1.0,9.0,15.0,34.0,-3.0,51.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,4.0,11.0,1.0,2.0,5.0,0.0,3.0,1.0,52.0,0.0,3.0,9.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,14.0,0.0,14.0,978.16,2.0,1.0,2.0,2.0,5.0,-3.0,6.0,5.0,2.0,3.0,13.0,31.0,-3.0,46.0,-3.0,-3.0,-3.0,14.0,1.0,3.0,37.0,10.0,1.0,2.0,5.0,0.0,3.0,1.0,52.0,1590.0,4.0,4.0,1.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,2604.91,-3.0,2.0,-3.0,-3.0,1.0,-3.0,6.0,5.0,1.0,2.0,8.0,12.0,-3.0,26.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,24.0,14.0,1.0,1.0,5.0,0.0,3.0,1.0,52.0,0.0,4.0,5.0,1.0,-3.0,-3.0,0.0,18.0
-3.0,2.0,0.0,2.0,1520.08,2.0,1.0,2.0,2.0,1.0,-3.0,0.0,4.0,1.0,-3.0,1.0,0.0,1.0,13.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,20.0,404.9,-3.0,2.0,-3.0,-3.0,1.0,-3.0,6.0,5.0,1.0,11.0,14.0,36.0,-3.0,47.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,39.0,14.0,1.0,1.0,5.0,0.0,3.0,1.0,52.0,0.0,4.0,5.0,1.0,-3.0,-3.0,0.0,18.0
-3.0,1.0,0.0,1.0,1274.04,2.0,1.0,2.0,2.0,2.0,-3.0,0.0,5.0,2.0,-3.0,1.0,0.0,-3.0,39.0,-3.0,-3.0,-3.0,1.0,1.0,-3.0,0.0,7.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,15.0,0.0,2.0,1555.29,-3.0,4.0,-3.0,-3.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,16.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,7.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,-3.0,1.0,0.0,1.0
-3.0,2.0,6000.0,2.0,1790.75,-3.0,2.0,-3.0,-3.0,2.0,-3.0,4.0,5.0,1.0,8.0,7.0,41.0,-3.0,35.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,12.0,10.0,1.0,1.0,5.0,0.0,3.0,1.0,49.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
2.0,2.0,0.0,2.0,455.02,8.0,1.0,7.0,3.0,1.0,-3.0,0.0,1.0,1.0,-3.0,1.0,0.0,1.0,12.0,2.0,-3.0,2.0,2.0,1.0,-3.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,2.0,1004.69,2.0,1.0,2.0,2.0,2.0,-3.0,6.0,5.0,1.0,9.0,15.0,34.0,-3.0,27.0,-3.0,-3.0,-3.0,2.0,1.0,4.0,4.0,11.0,1.0,2.0,5.0,0.0,3.0,2.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,1500.08,-3.0,2.0,-3.0,-3.0,2.0,1.0,2.0,5.0,1.0,6.0,11.0,22.0,-3.0,56.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,35.0,11.0,1.0,1.0,4.0,0.0,3.0,3.0,32.0,0.0,3.0,5.0,1.0,-3.0,-3.0,500.0,10.0
-3.0,2.0,100.0,2.0,999.46,2.0,1.0,2.0,2.0,2.0,-3.0,1.0,5.0,1.0,2.0,17.0,12.0,-3.0,46.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,45.0,16.0,1.0,2.0,5.0,0.0,3.0,1.0,52.0,1977.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
