age,class_of_worker,detailed_industry_recode,detailed_occupation_recode,education,wage_per_hour,enroll_in_edu_inst_last_wk,marital_stat,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_a_labor_union,reason_for_unemployment,full_or_part_time_employment_stat,capital_gains,capital_losses,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,state_of_previous_residence,detailed_household_and_family_stat,detailed_household_summary_in_household,instance_weight,migration_code-change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,live_in_this_house_1_year_ago,migration_prev_res_in_sunbelt,num_persons_worked_for_employer,family_members_under_18,country_of_birth_father,country_of_birth_mother,country_of_birth_self,citizenship,own_business_or_self_employed,fill_inc_questionnaire_for_veteran's_admin,veterans_benefits,weeks_worked_in_year,year,income
73,-3,0,0,10,0,-3,6,1,-3,5,5,1,-3,-3,4,0,0,0,1,-3,-3,31,2,1700.09,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
58,4,4,34,11,0,-3,5,15,9,5,5,2,-3,-3,1,0,0,0,5,2,16,11,5,1053.55,3,3,3,3,2,1,-3,2,2,2,1,1,-3,3,52,1,1
18,-3,0,0,7,0,1,1,1,-3,3,5,1,-3,-3,4,0,0,0,1,-3,-3,23,8,991.95,-3,-3,-3,1,-3,0,-3,24,24,24,2,1,-3,3,0,2,1
9,-3,0,0,1,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,1758.14,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
10,-3,0,0,1,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,1069.16,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
48,3,40,10,11,1200,-3,2,2,2,2,5,1,1,-3,2,0,0,0,3,-3,-3,10,4,162.61,-3,-3,-3,1,-3,1,-3,12,2,2,1,3,-3,3,52,2,1
42,3,34,3,14,0,-3,2,11,13,5,5,2,-3,-3,1,5178,0,0,3,-3,-3,11,5,1535.86,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
28,3,4,40,10,0,-3,1,15,8,5,5,1,-3,2,5,0,0,0,4,-3,-3,6,3,898.83,-3,-3,-3,1,-3,4,-3,2,2,2,1,1,-3,3,30,2,1
47,7,43,26,11,876,-3,2,5,6,5,5,1,1,-3,2,0,0,0,3,-3,-3,10,4,1661.53,-3,-3,-3,1,-3,5,-3,2,2,2,1,1,-3,3,52,2,1
34,3,4,37,11,0,-3,2,15,11,5,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,1146.79,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
8,-3,0,0,1,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,2466.24,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
32,-3,0,0,10,0,-3,1,1,-3,4,5,1,-3,-3,4,0,0,0,1,-3,-3,26,2,2021.27,-3,-3,-3,1,-3,0,-3,-3,-3,-3,2,1,-3,3,0,2,1
51,3,4,34,11,0,-3,2,15,9,5,9,2,-3,-3,1,0,0,0,3,-3,-3,11,5,2441.22,2,2,2,2,-3,3,-3,2,2,2,1,1,-3,3,52,1,1
46,3,37,31,10,0,-3,5,13,3,5,4,1,-3,-3,1,0,1590,0,4,-3,-3,11,5,978.16,2,2,2,2,-3,6,-3,14,14,14,2,1,-3,3,52,1,1
26,3,24,12,14,0,-3,1,8,2,5,5,1,-3,-3,2,0,0,0,4,-3,-3,18,5,2604.91,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
13,-3,0,0,1,0,-3,1,1,-3,4,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,1520.08,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
47,3,39,36,14,0,-3,1,14,11,5,5,1,-3,-3,2,0,0,0,4,-3,-3,18,5,404.9,-3,-3,-3,1,-3,6,-3,20,2,2,1,1,-3,3,52,2,1
39,-3,0,0,7,0,-3,2,1,-3,5,1,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1274.04,2,2,2,2,-3,0,-3,1,1,1,2,1,-3,3,0,1,1
16,-3,0,0,7,0,1,1,1,-3,5,2,1,-3,-3,4,0,0,0,1,-3,-3,1,1,1555.29,-3,-3,-3,1,-3,0,1,2,15,2,1,1,-3,3,0,2,1
35,3,12,41,10,0,-3,2,7,8,5,5,2,-3,-3,2,0,0,6000,3,-3,-3,11,5,1790.75,-3,-3,-3,1,-3,4,-3,2,2,2,1,1,-3,3,49,2,1
12,-3,0,0,1,0,-3,1,1,-3,1,2,2,-3,-3,1,0,0,0,1,2,2,1,1,455.02,3,7,8,3,2,0,1,2,2,2,1,1,-3,1,0,1,1
27,4,4,34,11,0,-3,2,15,9,5,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,1004.69,2,2,2,2,-3,6,-3,2,2,2,1,2,-3,3,52,1,1
56,3,35,22,11,500,-3,2,11,6,5,5,1,1,-3,2,0,0,0,3,-3,-3,10,4,1500.08,-3,-3,-3,1,-3,2,-3,2,2,2,1,3,-3,3,32,2,1
46,3,45,12,16,0,-3,2,17,2,5,5,2,-3,-3,1,0,1977,100,3,-3,-3,11,5,999.46,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,52,1,1
55,-3,0,0,11,0,-3,2,1,-3,3,5,1,-3,-3,1,0,0,0,3,-3,-3,11,5,1483.69,2,2,2,2,-3,0,-3,16,2,2,1,1,-3,3,0,1,1
2,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1660.53,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
1,-3,0,0,1,0,-3,1,1,-3,1,4,1,-3,-3,1,0,0,0,1,3,3,1,1,848.25,3,4,4,3,1,0,3,-3,-3,2,1,1,-3,1,0,1,1
37,3,3,34,11,0,-3,2,20,9,5,5,2,-3,-3,2,0,0,0,3,-3,-3,10,4,2671.99,-3,-3,-3,1,-3,3,-3,2,2,2,1,1,-3,3,52,2,1
4,-3,0,0,1,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,1188.42,-3,-3,-3,1,-3,0,1,2,2,2,1,1,-3,1,0,2,1
37,3,4,2,14,0,-3,1,15,13,5,5,2,-3,-3,1,0,1669,700,4,-3,-3,6,3,1331.35,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
63,3,19,35,2,0,-3,2,8,9,1,1,2,-3,2,5,0,0,0,3,-3,-3,11,5,711.15,-3,-3,-3,1,-3,6,-3,1,1,1,2,1,-3,3,15,2,1
34,8,29,25,11,0,-3,2,18,6,5,5,1,-3,-3,3,0,0,0,3,-3,-3,10,4,1578.65,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
46,4,4,34,11,0,-3,2,15,9,5,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,1629.02,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,52,1,1
25,3,45,23,10,0,-3,1,17,6,5,5,1,-3,-3,1,0,0,0,4,-3,-3,23,8,1998.03,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,52,1,1
81,-3,0,0,14,0,-3,6,1,-3,5,5,1,-3,-3,1,991,0,0,4,-3,-3,18,5,463.55,2,2,2,2,-3,0,-3,-3,2,2,1,1,-3,3,0,1,1
46,3,32,42,10,0,-3,4,9,8,5,4,1,-3,-3,1,0,0,0,4,-3,-3,11,5,2492.74,2,2,2,2,-3,3,-3,9,9,9,2,1,-3,3,52,1,1
39,3,34,2,14,0,-3,2,11,13,5,5,2,-3,-3,1,0,0,1000,3,-3,-3,11,5,980.1,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
42,8,48,8,13,0,-3,2,6,2,5,5,2,-3,-3,6,0,0,49,3,-3,-3,11,5,1539.4,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
2,-3,0,0,1,0,-3,1,1,-3,4,5,2,-3,-3,1,0,0,0,1,-3,-3,5,2,2621.94,-3,-3,-3,1,-3,0,2,2,2,2,1,1,-3,1,0,2,1
11,-3,0,0,1,0,-3,1,1,-3,5,2,1,-3,-3,1,0,0,0,1,-3,-3,1,1,498.25,2,2,2,2,-3,0,3,1,1,2,1,1,-3,1,0,1,1
30,-3,0,0,10,0,-3,1,1,-3,4,5,1,-3,-3,1,0,0,0,1,5,29,11,5,1773.08,3,3,3,3,1,0,-3,2,2,2,1,1,-3,3,0,1,1
7,-3,0,0,1,0,-3,1,1,-3,5,6,2,-3,-3,1,0,0,0,1,-3,-3,1,1,885.84,2,2,2,2,-3,0,1,4,3,2,1,1,-3,1,0,1,1
66,4,33,19,5,0,-3,2,10,5,5,5,1,-3,-3,1,0,0,0,6,-3,-3,10,4,4183.26,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,38,1,1
26,-3,0,0,10,0,-3,2,1,-3,5,2,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1040.15,2,2,2,2,-3,0,-3,1,1,1,2,1,-3,3,0,1,1
84,-3,0,0,10,0,-3,2,1,-3,5,5,1,-3,-3,4,0,0,0,6,-3,-3,10,4,3494.72,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
32,3,33,29,10,0,-3,1,10,3,5,5,1,-3,-3,2,0,0,59,5,-3,-3,11,5,1130.25,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
52,-3,0,0,10,0,-3,2,1,-3,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1407.39,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
5,-3,0,0,1,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,4,23,1,1,235.92,3,3,3,3,1,0,3,2,2,2,1,1,-3,1,0,1,1
35,-3,0,0,10,0,-3,2,1,-3,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1669.47,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
66,3,37,36,11,400,-3,2,13,11,5,5,2,1,-3,2,0,0,0,6,-3,-3,11,5,1212.48,-3,-3,-3,1,-3,2,-3,2,2,2,1,1,-3,3,52,2,1
47,-3,0,0,10,0,-3,2,1,-3,5,5,2,-3,-3,4,0,0,0,3,-3,-3,11,5,3745.71,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
36,3,33,34,10,0,-3,2,10,9,5,5,2,1,-3,1,0,0,0,3,5,44,11,5,1812.0,4,3,3,3,1,3,-3,2,2,2,1,1,-3,3,48,1,1
37,3,23,26,10,0,-3,2,8,6,5,5,2,-3,-3,2,2829,0,0,3,-3,-3,11,5,1027.68,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
42,3,44,10,14,0,-3,2,3,2,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,2635.89,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
42,-3,0,0,10,0,-3,2,1,-3,5,3,1,-3,-3,4,0,0,0,3,-3,-3,10,4,1293.12,-3,-3,-3,1,-3,0,-3,-3,-3,2,1,1,-3,3,0,2,1
1,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,4,2,1558.21,2,2,2,2,-3,0,3,2,2,2,1,1,-3,1,0,1,1
72,-3,0,0,14,0,-3,2,1,-3,5,5,1,-3,-3,1,0,0,50,6,-3,-3,10,4,1841.65,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
42,5,37,2,11,0,-3,2,13,13,5,5,2,-3,-3,2,0,0,0,3,-3,-3,11,5,949.12,-3,-3,-3,1,-3,2,-3,2,2,2,1,1,-3,3,52,2,2
61,3,36,27,10,0,-3,4,12,14,2,5,1,-3,-3,2,0,0,0,4,-3,-3,18,5,869.67,-3,-3,-3,1,-3,1,-3,2,2,2,1,1,1,2,9,2,1
41,3,12,35,13,0,-3,2,7,9,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1095.21,2,2,2,2,-3,1,-3,2,2,2,1,3,-3,3,24,1,1
90,-3,0,0,5,0,-3,6,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,11,5,3666.39,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
39,3,32,16,14,0,-3,2,9,5,5,5,2,-3,-3,1,3464,0,0,3,-3,-3,11,5,1322.1,2,2,2,2,-3,4,-3,2,2,2,1,1,-3,3,52,1,1
49,5,24,2,14,0,-3,5,8,13,5,5,1,-3,-3,2,0,1719,0,4,-3,-3,18,5,946.47,-3,-3,-3,1,-3,1,-3,2,2,2,1,1,-3,3,50,2,1
25,3,4,34,10,0,-3,3,15,9,5,5,2,-3,-3,2,0,0,0,4,-3,-3,32,8,3504.66,-3,-3,-3,1,-3,2,-3,2,2,2,1,1,-3,3,10,2,1
47,3,31,33,9,0,-3,2,19,9,5,5,2,-3,-3,2,0,0,0,3,-3,-3,11,5,1274.84,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,2
6,-3,0,0,1,0,-3,1,1,-3,3,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,1508.23,-3,-3,-3,1,-3,0,1,31,2,2,1,1,-3,1,0,2,1
0,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1475.95,-3,-3,-3,1,-3,0,1,2,2,2,1,1,-3,1,0,1,1
36,5,33,2,11,0,-3,2,10,13,5,5,2,-3,-3,2,5178,0,0,3,-3,-3,11,5,771.46,-3,-3,-3,1,-3,1,-3,2,2,2,1,2,-3,3,52,2,1
