dividends_from_stocks,sex,instance_weight,detailed_occupation_recode,country_of_birth_mother,tax_filer_stat,marital_stat,class_of_worker,wage_per_hour,major_industry_code,enroll_in_edu_inst_last_wk,age,major_occupation_code,detailed_industry_recode,full_or_part_time_employment_stat,detailed_household_summary_in_household,migration_code-change_in_msa,migration_code-move_within_reg,reason_for_unemployment,own_business_or_self_employed,weeks_worked_in_year,hispanic_origin,state_of_previous_residence,migration_code-change_in_reg,year,migration_prev_res_in_sunbelt,family_members_under_18,country_of_birth_self,region_of_previous_residence,detailed_household_and_family_stat,citizenship,income,member_of_a_labor_union,veterans_benefits,fill_inc_questionnaire_for_veteran's_admin,live_in_this_house_1_year_ago,capital_gains,capital_losses,num_persons_worked_for_employer,race,country_of_birth_father,education
0.0,1.0,1700.09,0.0,2.0,1.0,6.0,-3.0,0.0,1.0,-3.0,73.0,-3.0,0.0,4.0,2.0,-3.0,-3.0,-3.0,1.0,0.0,5.0,-3.0,-3.0,2.0,-3.0,-3.0,2.0,-3.0,31.0,1.0,1.0,-3.0,3.0,-3.0,1.0,0.0,0.0,0.0,5.0,2.0,10.0
0.0,2.0,1053.55,34.0,2.0,5.0,5.0,4.0,0.0,15.0,-3.0,58.0,9.0,4.0,1.0,5.0,3.0,3.0,-3.0,1.0,52.0,5.0,16.0,3.0,1.0,2.0,-3.0,2.0,2.0,11.0,1.0,1.0,-3.0,3.0,-3.0,3.0,0.0,0.0,1.0,5.0,2.0,11.0
0.0,1.0,991.95,0.0,24.0,1.0,1.0,-3.0,0.0,1.0,1.0,18.0,-3.0,0.0,4.0,8.0,-3.0,-3.0,-3.0,1.0,0.0,5.0,-3.0,-3.0,2.0,-3.0,-3.0,24.0,-3.0,23.0,2.0,1.0,-3.0,3.0,-3.0,1.0,0.0,0.0,0.0,3.0,24.0,7.0
0.0,1.0,1758.14,0.0,2.0,1.0,1.0,-3.0,0.0,1.0,-3.0,9.0,-3.0,0.0,1.0,1.0,2.0,2.0,-3.0,1.0,0.0,5.0,-3.0,2.0,1.0,-3.0,1.0,2.0,-3.0,1.0,1.0,1.0,-3.0,1.0,-3.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0
0.0,1.0,1069.16,0.0,2.0,1.0,1.0,-3.0,0.0,1.0,-3.0,10.0,-3.0,0.0,1.0,1.0,2.0,2.0,-3.0,1.0,0.0,5.0,-3.0,2.0,1.0,-3.0,1.0,2.0,-3.0,1.0,1.0,1.0,-3.0,1.0,-3.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0
0.0,1.0,162.61,10.0,2.0,3.0,2.0,3.0,1200.0,2.0,-3.0,48.0,2.0,40.0,2.0,4.0,-3.0,-3.0,-3.0,3.0,52.0,5.0,-3.0,-3.0,2.0,-3.0,-3.0,2.0,-3.0,10.0,1.0,1.0,1.0,3.0,-3.0,1.0,0.0,0.0,1.0,2.0,12.0,11.0
0.0,2.0,1535.86,3.0,2.0,3.0,2.0,3.0,0.0,11.0,-3.0,42.0,13.0,34.0,1.0,5.0,2.0,2.0,-3.0,1.0,52.0,5.0,-3.0,2.0,1.0,-3.0,-3.0,2.0,-3.0,11.0,1.0,1.0,-3.0,3.0,-3.0,2.0,5178.0,0.0,6.0,5.0,2.0,14.0
0.0,1.0,898.83,40.0,2.0,4.0,1.0,3.0,0.0,15.0,-3.0,28.0,8.0,4.0,5.0,3.0,-3.0,-3.0,2.0,1.0,30.0,5.0,-3.0,-3.0,2.0,-3.0,-3.0,2.0,-3.0,6.0,1.0,1.0,-3.0,3.0,-3.0,1.0,0.0,0.0,4.0,5.0,2.0,10.0
0.0,1.0,1661.53,26.0,2.0,3.0,2.0,7.0,876.0,5.0,-3.0,47.0,6.0,43.0,2.0,4.0,-3.0,-3.0,-3.0,1.0,52.0,5.0,-3.0,-3.0,2.0,-3.0,-3.0,2.0,-3.0,10.0,1.0,1.0,1.0,3.0,-3.0,1.0,0.0,0.0,5.0,5.0,2.0,11.0
0.0,2.0,1146.79,37.0,2.0,3.0,2.0,3.0,0.0,15.0,-3.0,34.0,11.0,4.0,1.0,5.0,2.0,2.0,-3.0,1.0,52.0,5.0,-3.0,2.0,1.0,-3.0,-3.0,2.0,-3.0,11.0,1.0,1.0,-3.0,3.0,-3.0,2.0,0.0,0.0,6.0,5.0,2.0,11.0
