fDist,fLength,fAlpha,fWidth,fM3Trans,fConc1,fConc,fSize,fAsym,fM3Long,class
81.8828,28.7967,40.092,16.0021,-8.2027,0.1982,0.3918,2.6449,27.7004,22.011,g
205.261,31.6036,6.3609,11.7235,-9.9574,0.3773,0.5303,2.5185,26.2722,23.8238,g
256.788,162.052,76.96,136.031,-45.216,0.0187,0.0374,4.0612,116.741,-64.858,g
116.737,23.8172,10.449,9.5728,-7.1513,0.3922,0.6147,2.3385,27.2107,-6.4633,g
356.462,75.1362,4.648,30.9205,21.8393,0.1832,0.3168,3.1611,-5.5277,28.5525,g
238.098,51.624,3.613,21.1502,9.8145,0.134,0.242,2.9085,50.8761,43.1887,g
219.087,48.2468,4.792,17.3565,10.5868,0.1515,0.2529,3.0332,8.573,38.0957,g
237.134,26.7897,0.812,13.7595,-2.9292,0.2174,0.4236,2.5521,29.6339,20.456,g
248.226,96.2327,4.854,46.5165,43.1844,0.039,0.0779,4.154,110.355,85.0486,g
102.251,46.7619,7.875,15.1993,-6.6812,0.1913,0.3377,2.5786,24.7548,43.8771,g
323.094,62.7766,9.9144,29.9104,23.771,0.1261,0.2475,3.3331,-33.9065,57.5848,g
162.848,18.8562,11.461,16.46,-16.9327,0.2933,0.5282,2.4385,25.1269,-6.5401,g
178.255,45.6321,0.3822,22.71,-14.3164,0.1215,0.2213,3.0441,-18.3986,-20.6427,g
41.3816,33.1818,41.929,12.4655,-8.1803,0.2412,0.4696,2.4955,-17.0341,-22.0762,g
372.568,60.458,8.292,33.1061,28.8315,0.2464,0.4679,3.1944,14.3,-33.8765,g
214.126,29.4741,48.0364,22.4581,13.1673,0.174,0.3077,2.6258,18.1242,22.7035,g
191.455,36.1741,0.254,17.6865,11.3256,0.1591,0.2865,2.946,-4.7746,-18.9697,g
75.5234,46.2915,38.707,16.0328,-12.7979,0.192,0.3403,2.7756,49.9706,33.3653,g
180.783,46.0588,8.686,18.787,10.7955,0.1504,0.2431,3.2217,49.2704,34.1066,g
221.806,44.7394,3.251,15.6364,12.4183,0.1715,0.3107,2.638,14.043,37.2246,g
285.414,91.6423,16.622,71.8818,60.019,0.043,0.078,3.8484,-56.7107,72.3016,g
302.553,86.0486,2.005,21.8287,-18.8093,0.1662,0.2369,3.3587,-58.7854,57.8212,g
272.038,90.5299,2.039,17.8721,14.9662,0.108,0.2122,3.033,-57.417,84.6189,g
66.1667,20.3836,43.0032,9.0462,-2.0403,0.3894,0.6359,2.3365,22.27,12.9487,g
342.504,87.2384,4.4265,27.935,-11.3438,0.1806,0.3155,2.8848,-18.2102,66.6867,g
293.781,107.338,3.312,29.1356,-20.0479,0.0683,0.1315,3.5265,-47.1175,89.5136,g
104.283,27.2304,77.5379,19.2817,9.7216,0.2039,0.371,2.6375,23.0406,23.3428,g
63.7637,26.7065,26.881,18.907,-11.6888,0.2214,0.4281,2.6781,9.1616,18.6858,g
185.189,23.5647,26.5328,9.9926,-8.26,0.3364,0.5679,2.2095,30.0056,-13.8665,g
109.445,34.7486,1.521,19.2286,14.3186,0.1984,0.3666,2.5629,30.3637,-16.3092,g
141.601,50.4829,22.471,25.9699,-18.1839,0.1133,0.1941,3.3194,32.1193,39.0162,g
371.79,87.4217,0.3647,26.7866,-24.0948,0.1761,0.2809,3.4231,10.4779,68.3446,g
154.712,34.9205,9.59,15.9621,11.9768,0.1762,0.3267,2.8457,15.8025,11.8249,g
199.059,28.6609,20.7574,19.1223,11.4633,0.1894,0.3402,2.8609,-10.3243,-23.1846,g
282.915,75.2057,1.5926,31.6833,10.3219,0.0997,0.192,3.1334,-58.1243,43.08,g
258.597,84.61,17.575,36.4657,16.1472,0.0714,0.1393,3.6809,54.4505,86.0228,g
165.582,45.6094,4.25,20.8103,-9.2036,0.1162,0.226,3.0438,-0.5056,37.7755,g
131.601,37.742,24.216,24.3346,13.7756,0.1508,0.2478,3.0404,5.998,34.4104,g
177.008,38.1817,2.572,15.9235,-3.1071,0.1662,0.3262,2.6906,10.1326,26.1095,g
372.317,73.6263,4.471,35.582,-26.2742,0.1333,0.2493,3.4533,-48.0377,42.6119,g
291.553,63.3453,0.64,24.3855,16.9773,0.1375,0.2339,3.4233,-48.6381,-19.4147,g
169.688,16.7608,62.618,11.3962,-5.7427,0.3291,0.5829,2.2989,-0.8645,5.0177,g
223.241,27.6746,19.3719,18.9149,15.143,0.2224,0.3759,2.5422,30.937,20.242,g
107.851,13.2617,68.604,10.7145,-11.8517,0.4096,0.7823,2.1319,14.7178,2.4666,g
234.581,61.6463,4.2131,21.171,-18.9858,0.1086,0.2112,3.4303,54.8329,52.4882,g
55.7509,18.6533,4.7998,15.1674,8.0971,0.337,0.523,2.4338,-4.2971,16.0316,g
188.124,38.1627,5.5119,25.1091,16.227,0.1279,0.247,3.1041,37.2749,22.8564,g
168.245,12.974,42.2408,10.9058,-6.5973,0.4704,0.7431,2.1021,13.7506,-6.2434,g
302.897,63.2886,0.9753,26.427,19.7834,0.1273,0.2342,3.4434,-27.3566,54.6506,g
174.003,24.999,9.862,14.6867,-10.3623,0.2332,0.432,2.5434,5.8044,19.2386,g
175.99,35.9913,0.2425,19.4494,-6.3628,0.1801,0.3297,2.7466,-34.0069,-25.3956,g
210.596,44.0846,16.119,23.0143,19.3011,0.0994,0.1963,2.8974,25.9525,-35.1309,g
272.68,65.3574,4.874,22.3483,-19.7587,0.1601,0.2855,2.7376,-89.2907,-31.2444,g
273.837,43.7724,16.25,20.353,11.1037,0.141,0.2743,2.8982,32.9358,38.4208,g
169.066,33.4858,12.9506,15.0766,-6.8774,0.1891,0.3623,2.7969,33.3189,19.1818,g
304.585,92.8723,7.7301,25.685,-19.0013,0.1619,0.242,3.1553,-25.5033,51.797,g
118.341,19.6562,63.03,9.7376,-2.8001,0.3266,0.578,2.238,-24.0292,-9.836,g
340.996,96.8578,3.8107,39.4755,-26.431,0.0679,0.1204,3.9903,-59.0369,66.0291,g
260.879,95.5207,0.084,34.5134,-15.3593,0.0543,0.1005,4.1295,21.1988,88.912,g
110.258,22.7945,6.7835,14.8676,12.765,0.294,0.5203,2.567,-8.7481,-20.3785,g
223.912,66.7336,9.941,24.94,-7.3935,0.0889,0.1683,3.4357,27.3604,67.0539,g
178.647,45.0172,8.718,18.4512,-13.6786,0.167,0.284,2.699,-10.746,-37.5851,g
57.7231,99.6416,74.5664,13.5477,7.7025,0.1996,0.3846,2.4362,48.7119,92.2613,g
235.951,20.8112,85.103,7.1717,-6.0245,0.3558,0.7041,2.1255,-1.5465,8.9641,g
307.321,96.3755,9.782,31.3902,20.5479,0.1376,0.2179,3.359,-34.801,61.0636,g
74.5242,30.3331,0.9075,14.9817,-5.1006,0.2416,0.4762,2.4526,-32.2094,-20.1641,g
146.512,20.9491,40.656,7.0366,6.0883,0.3935,0.7292,2.1414,-22.9802,-12.1656,g
150.761,49.6143,0.67,28.1482,22.939,0.089,0.1769,3.2641,44.0893,26.0127,g
197.338,26.9766,3.675,9.7238,1.6476,0.2395,0.4593,2.3064,-12.3167,16.287,g
222.184,29.817,15.9328,19.8364,15.0702,0.239,0.3718,2.7372,10.0066,23.9409,g
210.819,23.0242,33.4008,13.2275,5.5499,0.2326,0.4471,2.2188,-25.6063,-10.429,g
160.519,66.1331,11.5159,25.9259,-12.7104,0.075,0.1495,3.1984,42.2957,50.5528,g
