fLength,fWidth,fAlpha,fSize,fConc,fConc1,fM3Trans,fM3Long,fAsym,fDist,class
28.7967,16.0021,40.092,2.6449,0.3918,0.1982,-8.2027,22.011,27.7004,81.8828,g
31.6036,11.7235,6.3609,2.5185,0.5303,0.3773,-9.9574,23.8238,26.2722,205.261,g
162.052,136.031,76.96,4.0612,0.0374,0.0187,-45.216,-64.858,116.741,256.788,g
23.8172,9.5728,10.449,2.3385,0.6147,0.3922,-7.1513,-6.4633,27.2107,116.737,g
75.1362,30.9205,4.648,3.1611,0.3168,0.1832,21.8393,28.5525,-5.5277,356.462,g
51.624,21.1502,3.613,2.9085,0.242,0.134,9.8145,43.1887,50.8761,238.098,g
48.2468,17.3565,4.792,3.0332,0.2529,0.1515,10.5868,38.0957,8.573,219.087,g
26.7897,13.7595,0.812,2.5521,0.4236,0.2174,-2.9292,20.456,29.6339,237.134,g
96.2327,46.5165,4.854,4.154,0.0779,0.039,43.1844,85.0486,110.355,248.226,g
46.7619,15.1993,7.875,2.5786,0.3377,0.1913,-6.6812,43.8771,24.7548,102.251,g
62.7766,29.9104,9.9144,3.3331,0.2475,0.1261,23.771,57.5848,-33.9065,323.094,g
18.8562,16.46,11.461,2.4385,0.5282,0.2933,-16.9327,-6.5401,25.1269,162.848,g
45.6321,22.71,0.3822,3.0441,0.2213,0.1215,-14.3164,-20.6427,-18.3986,178.255,g
33.1818,12.4655,41.929,2.4955,0.4696,0.2412,-8.1803,-22.0762,-17.0341,41.3816,g
60.458,33.1061,8.292,3.1944,0.4679,0.2464,28.8315,-33.8765,14.3,372.568,g
29.4741,22.4581,48.0364,2.6258,0.3077,0.174,13.1673,22.7035,18.1242,214.126,g
36.1741,17.6865,0.254,2.946,0.2865,0.1591,11.3256,-18.9697,-4.7746,191.455,g
46.2915,16.0328,38.707,2.7756,0.3403,0.192,-12.7979,33.3653,49.9706,75.5234,g
46.0588,18.787,8.686,3.2217,0.2431,0.1504,10.7955,34.1066,49.2704,180.783,g
44.7394,15.6364,3.251,2.638,0.3107,0.1715,12.4183,37.2246,14.043,221.806,g
91.6423,71.8818,16.622,3.8484,0.078,0.043,60.019,72.3016,-56.7107,285.414,g
86.0486,21.8287,2.005,3.3587,0.2369,0.1662,-18.8093,57.8212,-58.7854,302.553,g
90.5299,17.8721,2.039,3.033,0.2122,0.108,14.9662,84.6189,-57.417,272.038,g
20.3836,9.0462,43.0032,2.3365,0.6359,0.3894,-2.0403,12.9487,22.27,66.1667,g
87.2384,27.935,4.4265,2.8848,0.3155,0.1806,-11.3438,66.6867,-18.2102,342.504,g
107.338,29.1356,3.312,3.5265,0.1315,0.0683,-20.0479,89.5136,-47.1175,293.781,g
27.2304,19.2817,77.5379,2.6375,0.371,0.2039,9.7216,23.3428,23.0406,104.283,g
26.7065,18.907,26.881,2.6781,0.4281,0.2214,-11.6888,18.6858,9.1616,63.7637,g
23.5647,9.9926,26.5328,2.2095,0.5679,0.3364,-8.26,-13.8665,30.0056,185.189,g
34.7486,19.2286,1.521,2.5629,0.3666,0.1984,14.3186,-16.3092,30.3637,109.445,g
50.4829,25.9699,22.471,3.3194,0.1941,0.1133,-18.1839,39.0162,32.1193,141.601,g
87.4217,26.7866,0.3647,3.4231,0.2809,0.1761,-24.0948,68.3446,10.4779,371.79,g
34.9205,15.9621,9.59,2.8457,0.3267,0.1762,11.9768,11.8249,15.8025,154.712,g
28.6609,19.1223,20.7574,2.8609,0.3402,0.1894,11.4633,-23.1846,-10.3243,199.059,g
75.2057,31.6833,1.5926,3.1334,0.192,0.0997,10.3219,43.08,-58.1243,282.915,g
84.61,36.4657,17.575,3.6809,0.1393,0.0714,16.1472,86.0228,54.4505,258.597,g
45.6094,20.8103,4.25,3.0438,0.226,0.1162,-9.2036,37.7755,-0.5056,165.582,g
37.742,24.3346,24.216,3.0404,0.2478,0.1508,13.7756,34.4104,5.998,131.601,g
38.1817,15.9235,2.572,2.6906,0.3262,0.1662,-3.1071,26.1095,10.1326,177.008,g
73.6263,35.582,4.471,3.4533,0.2493,0.1333,-26.2742,42.6119,-48.0377,372.317,g
63.3453,24.3855,0.64,3.4233,0.2339,0.1375,16.9773,-19.4147,-48.6381,291.553,g
16.7608,11.3962,62.618,2.2989,0.5829,0.3291,-5.7427,5.0177,-0.8645,169.688,g
27.6746,18.9149,19.3719,2.5422,0.3759,0.2224,15.143,20.242,30.937,223.241,g
13.2617,10.7145,68.604,2.1319,0.7823,0.4096,-11.8517,2.4666,14.7178,107.851,g
61.6463,21.171,4.2131,3.4303,0.2112,0.1086,-18.9858,52.4882,54.8329,234.581,g
18.6533,15.1674,4.7998,2.4338,0.523,0.337,8.0971,16.0316,-4.2971,55.7509,g
38.1627,25.1091,5.5119,3.1041,0.247,0.1279,16.227,22.8564,37.2749,188.124,g
12.974,10.9058,42.2408,2.1021,0.7431,0.4704,-6.5973,-6.2434,13.7506,168.245,g
63.2886,26.427,0.9753,3.4434,0.2342,0.1273,19.7834,54.6506,-27.3566,302.897,g
24.999,14.6867,9.862,2.5434,0.432,0.2332,-10.3623,19.2386,5.8044,174.003,g
35.9913,19.4494,0.2425,2.7466,0.3297,0.1801,-6.3628,-25.3956,-34.0069,175.99,g
44.0846,23.0143,16.119,2.8974,0.1963,0.0994,19.3011,-35.1309,25.9525,210.596,g
65.3574,22.3483,4.874,2.7376,0.2855,0.1601,-19.7587,-31.2444,-89.2907,272.68,g
43.7724,20.353,16.25,2.8982,0.2743,0.141,11.1037,38.4208,32.9358,273.837,g
33.4858,15.0766,12.9506,2.7969,0.3623,0.1891,-6.8774,19.1818,33.3189,169.066,g
92.8723,25.685,7.7301,3.1553,0.242,0.1619,-19.0013,51.797,-25.5033,304.585,g
19.6562,9.7376,63.03,2.238,0.578,0.3266,-2.8001,-9.836,-24.0292,118.341,g
96.8578,39.4755,3.8107,3.9903,0.1204,0.0679,-26.431,66.0291,-59.0369,340.996,g
95.5207,34.5134,0.084,4.1295,0.1005,0.0543,-15.3593,88.912,21.1988,260.879,g
22.7945,14.8676,6.7835,2.567,0.5203,0.294,12.765,-20.3785,-8.7481,110.258,g
66.7336,24.94,9.941,3.4357,0.1683,0.0889,-7.3935,67.0539,27.3604,223.912,g
45.0172,18.4512,8.718,2.699,0.284,0.167,-13.6786,-37.5851,-10.746,178.647,g
99.6416,13.5477,74.5664,2.4362,0.3846,0.1996,7.7025,92.2613,48.7119,57.7231,g
20.8112,7.1717,85.103,2.1255,0.7041,0.3558,-6.0245,8.9641,-1.5465,235.951,g
96.3755,31.3902,9.782,3.359,0.2179,0.1376,20.5479,61.0636,-34.801,307.321,g
30.3331,14.9817,0.9075,2.4526,0.4762,0.2416,-5.1006,-20.1641,-32.2094,74.5242,g
20.9491,7.0366,40.656,2.1414,0.7292,0.3935,6.0883,-12.1656,-22.9802,146.512,g
49.6143,28.1482,0.67,3.2641,0.1769,0.089,22.939,26.0127,44.0893,150.761,g
26.9766,9.7238,3.675,2.3064,0.4593,0.2395,1.6476,16.287,-12.3167,197.338,g
29.817,19.8364,15.9328,2.7372,0.3718,0.239,15.0702,23.9409,10.0066,222.184,g
23.0242,13.2275,33.4008,2.2188,0.4471,0.2326,5.5499,-10.429,-25.6063,210.819,g
66.1331,25.9259,11.5159,3.1984,0.1495,0.075,-12.7104,50.5528,42.2957,160.519,g
34.9502,16.0121,17.6684,3.0663,0.297,0.1644,-7.5776,11.1413,-12.5192,201.404,g
23.6353,11.4736,43.565,2.4661,0.6291,0.4085,-9.9017,-18.8315,-15.6487,194.384,g
20.4754,15.7636,13.8089,2.4425,0.4116,0.2148,-3.923,-10.4986,2.48,55.4986,g
59.7337,17.0227,5.094,2.7997,0.2966,0.1895,-14.0979,54.5868,51.0255,217.856,g
22.6397,10.2608,14.3756,2.1492,0.5603,0.3156,-10.8294,18.6537,23.4366,251.28,g
92.937,22.1354,3.497,3.0885,0.3108,0.1937,14.2821,48.5227,18.6509,358.99,g
86.5636,36.8235,2.643,3.8026,0.1508,0.0809,26.1668,60.9768,-24.0564,306.55,g
39.3737,12.0817,3.7449,2.7763,0.3213,0.1615,6.5266,13.6391,18.1724,201.01,g
41.2629,20.9786,7.6147,3.1361,0.2807,0.1626,12.715,43.3331,23.2559,219.077,g
89.8648,33.6384,3.689,3.8899,0.1487,0.0805,14.069,98.5182,22.0971,158.618,g
24.999,17.775,81.8671,2.5993,0.4327,0.2453,14.8483,-25.5307,-16.3719,120.263,g
19.5793,14.6976,13.17,2.2934,0.514,0.2824,-4.9889,17.3916,-6.8054,130.918,g
21.8344,6.832,35.4993,2.1804,0.7063,0.3531,6.6103,-0.1704,25.981,95.7374,g
87.5837,33.3742,2.428,3.9208,0.125,0.0667,-14.3854,75.0174,99.2131,255.315,g
53.7339,15.4395,1.886,2.4298,0.4572,0.2955,-9.3853,-40.3603,-45.8108,32.6827,g
34.889,19.6402,8.376,2.8429,0.3747,0.2534,12.4846,29.1531,29.9825,227.336,g
41.0677,16.2578,17.671,2.7308,0.3532,0.1812,16.1237,37.9125,47.4405,213.317,g
60.0261,12.245,1.3841,2.8052,0.26,0.1433,8.5485,55.2047,3.5656,230.089,g
70.0322,30.2255,2.936,3.1573,0.1775,0.0929,-24.9966,48.4611,-66.4032,294.746,g
74.5714,23.0735,4.029,2.9914,0.3182,0.1627,-12.2594,63.076,-36.5281,363.489,g
77.9219,31.8209,0.2442,3.7043,0.2059,0.1232,-14.371,58.1668,-2.4392,327.992,g
39.1755,26.3821,6.4974,2.7966,0.345,0.2005,17.0574,25.4219,-38.1241,299.173,g
18.1607,10.4502,43.3661,2.2718,0.6043,0.3289,-6.3001,-7.66,1.7266,147.236,g
25.4762,12.0898,24.847,2.4048,0.4134,0.2303,6.2085,15.7982,7.0323,193.349,g
23.4494,16.2843,83.8081,2.5605,0.4539,0.2655,10.389,-15.9867,-8.8017,235.203,g
32.0586,15.6976,12.1807,2.5072,0.3826,0.2037,-11.3244,-17.7455,-2.3114,193.794,g
18.4475,11.7563,69.2291,2.4074,0.5714,0.4051,11.397,-6.5384,-0.0948,219.394,g
41.4001,25.658,0.6344,3.0414,0.2036,0.1023,-23.3496,30.5051,39.265,91.228,g
92.5854,11.2825,2.5099,3.0071,0.3119,0.1923,6.7814,-48.92,-68.649,293.081,g
29.3424,16.1814,39.189,2.5496,0.3272,0.165,7.7365,23.7665,-51.8263,168.084,g
47.8275,18.509,4.798,2.747,0.2775,0.1603,-7.859,-29.0817,28.7838,159.704,g
73.2547,19.5552,23.149,2.5545,0.357,0.1939,16.6915,34.5939,-44.1258,282.616,g
26.0862,12.5473,4.1527,2.4099,0.4397,0.2354,5.6343,14.9018,16.3451,183.852,g
94.2369,17.6341,1.854,2.7727,0.297,0.1612,-14.982,50.552,-97.071,302.219,g
38.1089,15.08,13.741,2.3927,0.3887,0.2126,13.3864,-29.3931,-21.4336,154.264,g
33.5874,17.46,25.657,2.5821,0.3979,0.2134,5.127,-7.6514,-49.0296,166.95,g
50.8293,20.0939,3.6565,3.3959,0.2162,0.1236,9.3292,41.463,38.7703,189.155,g
25.0275,12.8142,65.2451,2.5391,0.4884,0.3078,12.3285,-8.9993,-12.5331,72.7386,g
26.8928,17.7678,23.821,2.8439,0.3782,0.2357,-15.8111,-8.159,-1.6706,109.02,g
28.0883,6.8084,27.549,2.2504,0.5899,0.3174,-2.8594,-17.4113,-7.7092,146.596,g
35.8144,12.3164,23.123,2.57,0.393,0.214,-6.2792,20.673,17.8018,142.372,g
29.3108,14.6309,24.109,2.6464,0.4402,0.2223,11.3697,-19.1932,6.1452,69.2467,g
19.6419,0.0,34.817,2.2,0.795,0.571,0.0,5.2697,-0.5678,182.016,g
23.6924,8.8987,27.014,2.3181,0.6683,0.4543,-7.0892,14.1032,23.9812,128.707,g
27.4888,18.5665,23.5868,2.8639,0.3078,0.1854,-10.0668,6.1522,2.8405,188.636,g
117.749,33.2446,2.582,3.1921,0.1606,0.0806,-17.914,129.932,98.9071,188.983,g
26.8971,19.2128,41.065,2.7657,0.319,0.1655,8.1139,4.6154,-12.9068,152.596,g
13.1994,10.8032,54.0277,2.224,0.7761,0.4209,-11.7029,1.8356,-14.5262,181.817,g
25.1576,12.8638,47.777,2.4564,0.4615,0.236,7.8713,11.1073,-24.1639,149.657,g
18.2028,15.8708,2.5957,2.4526,0.5115,0.2945,5.3072,18.329,18.9639,48.9988,g
70.6584,19.8319,0.45,3.1041,0.2541,0.1334,-12.6086,52.5046,-96.9809,288.263,g
101.703,39.5491,4.0677,3.9457,0.1462,0.077,22.1504,70.4115,-157.872,327.251,g
58.1232,23.5601,20.194,2.8837,0.1791,0.0922,11.5684,-33.4621,-49.22,94.0063,g
20.7445,17.3249,25.7775,2.5916,0.4686,0.2446,-12.0534,17.0726,11.7553,91.6373,g
56.2418,16.5703,1.574,2.8943,0.2092,0.1103,10.7621,39.648,71.8585,250.91,g
70.2768,24.5132,2.9261,3.3917,0.1294,0.0651,-12.3834,48.9676,83.3498,233.617,g
81.2317,32.2546,4.155,3.7262,0.1694,0.0893,12.8892,66.9446,35.5667,295.38,g
32.7059,17.1981,40.3711,2.5804,0.4074,0.2142,15.3472,13.1053,46.6935,99.7447,g
42.3725,20.2021,0.6925,3.2909,0.2533,0.1343,-11.1395,26.362,-4.4911,182.477,g
80.3994,14.9183,5.066,2.8445,0.3004,0.1581,-10.599,76.0508,36.0787,272.617,g
25.5688,19.0735,74.308,2.2911,0.7161,0.422,-14.8757,25.194,16.7068,316.47,g
16.9286,11.2814,18.5125,2.4116,0.5736,0.3314,6.0007,5.8021,-1.2345,190.039,g
18.8734,17.772,17.1286,2.5821,0.4686,0.2579,-14.4939,-16.9343,-14.6576,114.938,g
34.1619,21.2966,11.6079,2.9974,0.2907,0.1554,11.8667,-11.6112,-4.6579,163.722,g
30.0005,21.6966,27.943,2.934,0.3062,0.1857,-18.5123,17.6318,23.3297,151.522,g
41.3848,32.4617,9.628,2.7938,0.3521,0.1889,28.1989,28.2927,-20.4985,308.373,g
25.2228,13.6075,66.649,2.3738,0.4989,0.2939,11.3032,-12.8844,-12.181,78.9436,g
21.6891,10.3849,1.5485,2.316,0.5604,0.2923,10.2235,-17.6826,5.8526,232.154,g
20.5839,12.8876,26.586,2.4191,0.4724,0.2648,-8.1001,12.7741,12.5054,199.96,g
25.2091,10.6551,41.563,2.3701,0.4989,0.3006,3.9151,21.1038,10.6071,147.489,g
35.7062,13.2892,1.2543,2.3664,0.5204,0.329,7.0429,-25.7479,-32.1031,201.751,g
62.6886,22.612,3.121,3.2496,0.2077,0.1084,16.5613,-25.4533,-100.913,229.768,g
19.7366,7.3095,24.7838,2.1383,0.7636,0.4109,-4.8598,10.3719,-3.5091,173.073,g
48.4695,18.1279,6.955,2.9917,0.2345,0.1177,-10.5913,46.8981,19.6222,203.072,g
22.5702,0.0,80.3449,2.1629,0.7904,0.4021,0.0,-15.2145,5.3609,210.833,g
18.249,10.4383,15.8259,2.2529,0.6034,0.3156,5.3027,10.1469,22.8063,159.544,g
28.4148,13.01,13.6965,2.4778,0.5923,0.4409,10.6797,20.1871,28.2765,136.651,g
47.6,13.413,2.608,2.8092,0.2762,0.1497,8.2134,33.8544,41.1158,178.462,g
33.3528,17.6866,8.709,2.7551,0.3796,0.275,-8.487,27.6711,15.898,196.918,g
97.794,26.8347,3.2128,3.5327,0.1516,0.077,12.0158,95.3544,29.7042,256.435,g
13.1155,10.1083,58.845,2.1973,0.8,0.5238,10.0776,7.4928,12.3051,166.287,g
52.8479,21.5505,6.087,2.9462,0.3667,0.2054,-20.7681,27.9502,-53.2694,309.622,g
40.6097,20.5874,0.774,2.9117,0.2304,0.1219,-10.1794,16.0028,-5.5945,233.346,g
65.6069,33.6033,0.7567,3.8528,0.1433,0.073,-23.9483,43.5019,-84.0021,246.341,g
63.8128,26.2233,1.919,3.5143,0.1958,0.1088,18.3607,46.5522,44.5465,284.652,g
22.5539,9.7776,9.215,2.2068,0.559,0.2888,10.4839,16.5945,-4.0544,236.65,g
59.817,14.838,5.235,2.8808,0.3132,0.1678,12.1712,53.9825,-110.45,289.536,g
27.1044,9.7779,29.844,2.4241,0.5198,0.3145,-11.7431,-14.8614,-12.2606,225.566,g
21.776,12.7202,22.3655,2.356,0.6344,0.3722,-9.1862,15.5208,8.4346,120.076,g
