fAsym,fM3Trans,fLength,fConc1,fWidth,fDist,fConc,fM3Long,fAlpha,fSize,class
27.7004,-8.2027,28.7967,0.1982,16.0021,81.8828,0.3918,22.011,40.092,2.6449,g
26.2722,-9.9574,31.6036,0.3773,11.7235,205.261,0.5303,23.8238,6.3609,2.5185,g
116.741,-45.216,162.052,0.0187,136.031,256.788,0.0374,-64.858,76.96,4.0612,g
27.2107,-7.1513,23.8172,0.3922,9.5728,116.737,0.6147,-6.4633,10.449,2.3385,g
-5.5277,21.8393,75.1362,0.1832,30.9205,356.462,0.3168,28.5525,4.648,3.1611,g
50.8761,9.8145,51.624,0.134,21.1502,238.098,0.242,43.1887,3.613,2.9085,g
8.573,10.5868,48.2468,0.1515,17.3565,219.087,0.2529,38.0957,4.792,3.0332,g
29.6339,-2.9292,26.7897,0.2174,13.7595,237.134,0.4236,20.456,0.812,2.5521,g
110.355,43.1844,96.2327,0.039,46.5165,248.226,0.0779,85.0486,4.854,4.154,g
24.7548,-6.6812,46.7619,0.1913,15.1993,102.251,0.3377,43.8771,7.875,2.5786,g
-33.9065,23.771,62.7766,0.1261,29.9104,323.094,0.2475,57.5848,9.9144,3.3331,g
25.1269,-16.9327,18.8562,0.2933,16.46,162.848,0.5282,-6.5401,11.461,2.4385,g
-18.3986,-14.3164,45.6321,0.1215,22.71,178.255,0.2213,-20.6427,0.3822,3.0441,g
-17.0341,-8.1803,33.1818,0.2412,12.4655,41.3816,0.4696,-22.0762,41.929,2.4955,g
14.3,28.8315,60.458,0.2464,33.1061,372.568,0.4679,-33.8765,8.292,3.1944,g
18.1242,13.1673,29.4741,0.174,22.4581,214.126,0.3077,22.7035,48.0364,2.6258,g
-4.7746,11.3256,36.1741,0.1591,17.6865,191.455,0.2865,-18.9697,0.254,2.946,g
49.9706,-12.7979,46.2915,0.192,16.0328,75.5234,0.3403,33.3653,38.707,2.7756,g
49.2704,10.7955,46.0588,0.1504,18.787,180.783,0.2431,34.1066,8.686,3.2217,g
14.043,12.4183,44.7394,0.1715,15.6364,221.806,0.3107,37.2246,3.251,2.638,g
-56.7107,60.019,91.6423,0.043,71.8818,285.414,0.078,72.3016,16.622,3.8484,g
-58.7854,-18.8093,86.0486,0.1662,21.8287,302.553,0.2369,57.8212,2.005,3.3587,g
-57.417,14.9662,90.5299,0.108,17.8721,272.038,0.2122,84.6189,2.039,3.033,g
22.27,-2.0403,20.3836,0.3894,9.0462,66.1667,0.6359,12.9487,43.0032,2.3365,g
-18.2102,-11.3438,87.2384,0.1806,27.935,342.504,0.3155,66.6867,4.4265,2.8848,g
-47.1175,-20.0479,107.338,0.0683,29.1356,293.781,0.1315,89.5136,3.312,3.5265,g
23.0406,9.7216,27.2304,0.2039,19.2817,104.283,0.371,23.3428,77.5379,2.6375,g
9.1616,-11.6888,26.7065,0.2214,18.907,63.7637,0.4281,18.6858,26.881,2.6781,g
30.0056,-8.26,23.5647,0.3364,9.9926,185.189,0.5679,-13.8665,26.5328,2.2095,g
30.3637,14.3186,34.7486,0.1984,19.2286,109.445,0.3666,-16.3092,1.521,2.5629,g
32.1193,-18.1839,50.4829,0.1133,25.9699,141.601,0.1941,39.0162,22.471,3.3194,g
10.4779,-24.0948,87.4217,0.1761,26.7866,371.79,0.2809,68.3446,0.3647,3.4231,g
15.8025,11.9768,34.9205,0.1762,15.9621,154.712,0.3267,11.8249,9.59,2.8457,g
-10.3243,11.4633,28.6609,0.1894,19.1223,199.059,0.3402,-23.1846,20.7574,2.8609,g
-58.1243,10.3219,75.2057,0.0997,31.6833,282.915,0.192,43.08,1.5926,3.1334,g
54.4505,16.1472,84.61,0.0714,36.4657,258.597,0.1393,86.0228,17.575,3.6809,g
-0.5056,-9.2036,45.6094,0.1162,20.8103,165.582,0.226,37.7755,4.25,3.0438,g
5.998,13.7756,37.742,0.1508,24.3346,131.601,0.2478,34.4104,24.216,3.0404,g
10.1326,-3.1071,38.1817,0.1662,15.9235,177.008,0.3262,26.1095,2.572,2.6906,g
-48.0377,-26.2742,73.6263,0.1333,35.582,372.317,0.2493,42.6119,4.471,3.4533,g
-48.6381,16.9773,63.3453,0.1375,24.3855,291.553,0.2339,-19.4147,0.64,3.4233,g
-0.8645,-5.7427,16.7608,0.3291,11.3962,169.688,0.5829,5.0177,62.618,2.2989,g
