fDist,fLength,fWidth,fAlpha,fSize,fConc,fConc1,fM3Trans,fAsym,fM3Long,class
81.8828,28.7967,16.0021,40.092,2.6449,0.3918,0.1982,-8.2027,27.7004,22.011,g
205.261,31.6036,11.7235,6.3609,2.5185,0.5303,0.3773,-9.9574,26.2722,23.8238,g
256.788,162.052,136.031,76.96,4.0612,0.0374,0.0187,-45.216,116.741,-64.858,g
116.737,23.8172,9.5728,10.449,2.3385,0.6147,0.3922,-7.1513,27.2107,-6.4633,g
356.462,75.1362,30.9205,4.648,3.1611,0.3168,0.1832,21.8393,-5.5277,28.5525,g
238.098,51.624,21.1502,3.613,2.9085,0.242,0.134,9.8145,50.8761,43.1887,g
219.087,48.2468,17.3565,4.792,3.0332,0.2529,0.1515,10.5868,8.573,38.0957,g
237.134,26.7897,13.7595,0.812,2.5521,0.4236,0.2174,-2.9292,29.6339,20.456,g
248.226,96.2327,46.5165,4.854,4.154,0.0779,0.039,43.1844,110.355,85.0486,g
102.251,46.7619,15.1993,7.875,2.5786,0.3377,0.1913,-6.6812,24.7548,43.8771,g
323.094,62.7766,29.9104,9.9144,3.3331,0.2475,0.1261,23.771,-33.9065,57.5848,g
162.848,18.8562,16.46,11.461,2.4385,0.5282,0.2933,-16.9327,25.1269,-6.5401,g
178.255,45.6321,22.71,0.3822,3.0441,0.2213,0.1215,-14.3164,-18.3986,-20.6427,g
41.3816,33.1818,12.4655,41.929,2.4955,0.4696,0.2412,-8.1803,-17.0341,-22.0762,g
372.568,60.458,33.1061,8.292,3.1944,0.4679,0.2464,28.8315,14.3,-33.8765,g
214.126,29.4741,22.4581,48.0364,2.6258,0.3077,0.174,13.1673,18.1242,22.7035,g
191.455,36.1741,17.6865,0.254,2.946,0.2865,0.1591,11.3256,-4.7746,-18.9697,g
75.5234,46.2915,16.0328,38.707,2.7756,0.3403,0.192,-12.7979,49.9706,33.3653,g
180.783,46.0588,18.787,8.686,3.2217,0.2431,0.1504,10.7955,49.2704,34.1066,g
