fWidth,fM3Long,fSize,fDist,fConc1,fAsym,fAlpha,fM3Trans,fLength,fConc,class
16.0021,22.011,2.6449,81.8828,0.1982,27.7004,40.092,-8.2027,28.7967,0.3918,g
11.7235,23.8238,2.5185,205.261,0.3773,26.2722,6.3609,-9.9574,31.6036,0.5303,g
136.031,-64.858,4.0612,256.788,0.0187,116.741,76.96,-45.216,162.052,0.0374,g
9.5728,-6.4633,2.3385,116.737,0.3922,27.2107,10.449,-7.1513,23.8172,0.6147,g
30.9205,28.5525,3.1611,356.462,0.1832,-5.5277,4.648,21.8393,75.1362,0.3168,g
21.1502,43.1887,2.9085,238.098,0.134,50.8761,3.613,9.8145,51.624,0.242,g
17.3565,38.0957,3.0332,219.087,0.1515,8.573,4.792,10.5868,48.2468,0.2529,g
13.7595,20.456,2.5521,237.134,0.2174,29.6339,0.812,-2.9292,26.7897,0.4236,g
46.5165,85.0486,4.154,248.226,0.039,110.355,4.854,43.1844,96.2327,0.0779,g
15.1993,43.8771,2.5786,102.251,0.1913,24.7548,7.875,-6.6812,46.7619,0.3377,g
29.9104,57.5848,3.3331,323.094,0.1261,-33.9065,9.9144,23.771,62.7766,0.2475,g
16.46,-6.5401,2.4385,162.848,0.2933,25.1269,11.461,-16.9327,18.8562,0.5282,g
22.71,-20.6427,3.0441,178.255,0.1215,-18.3986,0.3822,-14.3164,45.6321,0.2213,g
12.4655,-22.0762,2.4955,41.3816,0.2412,-17.0341,41.929,-8.1803,33.1818,0.4696,g
33.1061,-33.8765,3.1944,372.568,0.2464,14.3,8.292,28.8315,60.458,0.4679,g
22.4581,22.7035,2.6258,214.126,0.174,18.1242,48.0364,13.1673,29.4741,0.3077,g
17.6865,-18.9697,2.946,191.455,0.1591,-4.7746,0.254,11.3256,36.1741,0.2865,g
16.0328,33.3653,2.7756,75.5234,0.192,49.9706,38.707,-12.7979,46.2915,0.3403,g
18.787,34.1066,3.2217,180.783,0.1504,49.2704,8.686,10.7955,46.0588,0.2431,g
15.6364,37.2246,2.638,221.806,0.1715,14.043,3.251,12.4183,44.7394,0.3107,g
