arachidic,linolenic,palmitic,oleic,stearic,eicosenoic,palmitoleic,linoleic,region
56.3,47.2,41.3,72.2,33.2,48.2,22.6,21.9,NorthApulia
56.3,55.6,62.7,47.3,35.0,53.6,46.8,37.6,Calabria
42.7,34.7,75.0,35.9,19.7,30.4,63.4,55.4,SouthApulia
65.0,47.2,54.4,53.3,33.6,58.9,44.5,36.8,Sicily
93.2,56.9,46.1,46.1,31.4,0.0,39.6,65.0,InlandSardinia
57.3,25.0,46.7,38.9,44.4,0.0,31.3,84.7,CoastalSardinia
95.1,94.4,60.4,59.2,48.4,0.0,17.0,21.7,EastLiguria
7.8,0.0,51.6,49.3,61.9,0.0,50.9,56.0,WestLiguria
46.6,25.0,42.2,78.4,12.6,0.0,20.8,15.4,Umbria
57.3,40.3,42.5,66.8,32.3,48.2,21.9,32.6,NorthApulia
59.2,40.3,26.8,85.9,42.2,48.2,14.7,9.9,NorthApulia
73.8,66.7,31.6,78.3,39.5,58.9,15.8,16.7,NorthApulia
75.7,66.7,39.2,69.7,48.0,78.6,19.6,21.9,NorthApulia
66.0,68.1,26.8,77.0,52.0,75.0,12.8,22.5,NorthApulia
52.4,65.3,27.7,80.1,50.2,48.2,19.2,16.6,NorthApulia
60.2,51.4,43.6,67.7,37.2,58.9,17.4,28.0,NorthApulia
78.6,61.1,42.0,68.5,39.0,55.4,17.0,25.5,NorthApulia
48.5,33.3,38.0,77.9,27.4,50.0,15.1,18.1,NorthApulia
61.2,26.4,39.2,79.5,30.0,39.3,7.5,15.4,NorthApulia
58.3,38.9,37.9,74.3,37.2,75.0,16.6,20.8,NorthApulia
74.8,66.7,41.2,67.7,27.8,55.4,20.8,29.3,NorthApulia
74.8,54.2,23.6,81.4,40.8,53.6,14.0,20.3,NorthApulia
70.9,66.7,30.4,70.9,45.7,69.6,12.8,32.5,NorthApulia
56.3,41.7,48.4,61.9,22.0,48.2,31.3,36.0,NorthApulia
70.9,55.6,29.6,73.0,13.9,51.8,29.8,33.3,NorthApulia
66.0,59.7,59.4,49.5,23.8,46.4,20.4,49.8,NorthApulia
70.9,61.1,31.2,78.6,19.3,50.0,20.8,28.8,NorthApulia
