arachidic,linoleic,palmitic,oleic,eicosenoic,stearic,palmitoleic,linolenic,region
56.3,21.9,41.3,72.2,48.2,33.2,22.6,47.2,NorthApulia
56.3,37.6,62.7,47.3,53.6,35.0,46.8,55.6,Calabria
42.7,55.4,75.0,35.9,30.4,19.7,63.4,34.7,SouthApulia
65.0,36.8,54.4,53.3,58.9,33.6,44.5,47.2,Sicily
93.2,65.0,46.1,46.1,0.0,31.4,39.6,56.9,InlandSardinia
57.3,84.7,46.7,38.9,0.0,44.4,31.3,25.0,CoastalSardinia
95.1,21.7,60.4,59.2,0.0,48.4,17.0,94.4,EastLiguria
7.8,56.0,51.6,49.3,0.0,61.9,50.9,0.0,WestLiguria
46.6,15.4,42.2,78.4,0.0,12.6,20.8,25.0,Umbria
57.3,32.6,42.5,66.8,48.2,32.3,21.9,40.3,NorthApulia
59.2,9.9,26.8,85.9,48.2,42.2,14.7,40.3,NorthApulia
73.8,16.7,31.6,78.3,58.9,39.5,15.8,66.7,NorthApulia
75.7,21.9,39.2,69.7,78.6,48.0,19.6,66.7,NorthApulia
66.0,22.5,26.8,77.0,75.0,52.0,12.8,68.1,NorthApulia
52.4,16.6,27.7,80.1,48.2,50.2,19.2,65.3,NorthApulia
60.2,28.0,43.6,67.7,58.9,37.2,17.4,51.4,NorthApulia
78.6,25.5,42.0,68.5,55.4,39.0,17.0,61.1,NorthApulia
48.5,18.1,38.0,77.9,50.0,27.4,15.1,33.3,NorthApulia
61.2,15.4,39.2,79.5,39.3,30.0,7.5,26.4,NorthApulia
58.3,20.8,37.9,74.3,75.0,37.2,16.6,38.9,NorthApulia
74.8,29.3,41.2,67.7,55.4,27.8,20.8,66.7,NorthApulia
74.8,20.3,23.6,81.4,53.6,40.8,14.0,54.2,NorthApulia
70.9,32.5,30.4,70.9,69.6,45.7,12.8,66.7,NorthApulia
56.3,36.0,48.4,61.9,48.2,22.0,31.3,41.7,NorthApulia
70.9,33.3,29.6,73.0,51.8,13.9,29.8,55.6,NorthApulia
66.0,49.8,59.4,49.5,46.4,23.8,20.4,59.7,NorthApulia
70.9,28.8,31.2,78.6,50.0,19.3,20.8,61.1,NorthApulia
73.8,28.2,30.4,72.0,55.4,47.5,23.4,56.9,NorthApulia
78.6,26.2,41.2,66.0,76.8,37.7,19.6,75.0,NorthApulia
81.6,22.6,34.2,71.4,67.9,61.0,11.7,75.0,NorthApulia
84.5,24.7,39.6,66.5,87.5,42.6,14.3,72.2,NorthApulia
69.9,25.0,40.4,74.7,42.9,36.8,9.1,55.6,NorthApulia
77.7,24.3,40.4,70.1,64.3,41.7,11.3,62.5,NorthApulia
59.2,49.1,63.2,41.4,50.0,29.1,45.7,56.9,Calabria
59.2,41.7,66.6,44.3,28.6,42.2,37.7,59.7,Calabria
60.2,48.1,68.3,39.2,37.5,53.8,36.2,61.1,Calabria
58.3,44.5,60.9,45.2,64.3,41.7,35.5,56.9,Calabria
64.1,43.4,59.1,46.7,69.6,28.3,40.0,52.8,Calabria
66.0,45.7,64.5,37.1,64.3,74.4,39.6,66.7,Calabria
68.0,41.3,62.1,45.4,58.9,39.9,40.4,61.1,Calabria
68.0,36.4,64.9,49.1,33.9,16.6,37.4,63.9,Calabria
65.0,36.7,61.2,47.8,44.6,45.3,38.1,52.8,Calabria
66.0,34.2,54.3,54.1,46.4,30.9,34.7,72.2,Calabria
63.1,37.3,56.4,51.9,46.4,58.7,21.5,58.3,Calabria
61.2,36.3,60.0,48.5,60.7,41.3,43.0,76.4,Calabria
62.1,38.4,56.7,47.3,55.4,72.2,34.7,61.1,Calabria
70.9,40.9,66.3,43.1,60.7,37.7,34.3,63.9,Calabria
60.2,41.3,57.8,50.0,46.4,34.1,32.8,65.3,Calabria
61.2,42.0,57.9,44.5,41.1,71.7,40.0,62.5,Calabria
57.3,47.0,61.7,40.8,62.5,57.0,41.1,63.9,Calabria
61.2,43.9,65.2,39.3,69.6,60.5,38.5,68.1,Calabria
50.5,30.2,63.4,49.8,42.9,66.4,30.6,62.5,Calabria
57.3,38.3,60.6,49.8,53.6,28.3,38.5,63.9,Calabria
67.0,33.1,57.2,51.8,39.3,41.3,38.9,61.1,Calabria
65.0,48.0,62.4,41.1,32.1,48.0,43.8,54.2,Calabria
61.2,46.7,53.6,45.5,51.8,66.8,35.5,62.5,Calabria
52.4,32.5,66.6,45.6,25.0,89.2,31.3,54.2,Calabria
65.0,28.9,58.3,53.8,48.2,49.8,30.9,59.7,Calabria
63.1,33.2,61.2,47.9,37.5,71.3,31.7,59.7,Calabria
68.0,41.5,58.8,45.4,44.6,57.0,38.1,56.9,Calabria
49.5,31.6,59.4,51.1,39.3,80.7,27.2,58.3,Calabria
53.4,36.3,51.0,51.7,46.4,71.3,36.6,63.9,Calabria
56.3,37.2,68.6,44.6,50.0,52.0,35.8,51.4,Calabria
47.6,16.6,50.9,60.7,37.5,62.8,49.4,50.0,Calabria
66.0,36.2,57.9,50.0,42.9,30.0,52.1,69.4,Calabria
51.5,18.1,52.3,63.5,30.4,39.0,45.7,34.7,Calabria
45.6,16.4,54.7,64.4,42.9,35.9,44.9,47.2,Calabria
65.0,46.5,64.8,42.2,41.1,25.1,57.0,52.8,Calabria
56.3,18.6,46.4,63.6,51.8,39.5,53.6,59.7,Calabria
66.0,15.8,68.5,51.4,41.1,41.7,63.4,62.5,Calabria
53.4,30.4,71.0,45.4,25.0,47.1,42.6,56.9,Calabria
64.1,41.2,61.9,45.2,39.3,43.9,42.3,62.5,Calabria
64.1,24.9,67.7,50.0,46.4,43.9,39.6,58.3,Calabria
56.3,39.8,64.5,47.1,28.6,40.4,37.0,50.0,Calabria
68.0,40.0,70.3,40.9,60.7,38.6,51.3,59.7,Calabria
58.3,36.7,69.3,44.4,69.6,36.8,39.2,52.8,Calabria
51.5,49.0,73.1,34.5,41.1,57.8,51.7,51.4,Calabria
64.1,33.5,71.3,41.8,46.4,65.5,41.1,59.7,Calabria
66.0,32.8,67.2,42.5,57.1,62.3,49.8,68.1,Calabria
64.1,28.4,68.7,46.5,48.2,54.3,38.9,59.7,Calabria
61.2,30.8,59.8,52.1,46.4,49.8,32.8,72.2,Calabria
47.6,32.5,61.0,51.2,28.6,48.4,45.7,63.9,Calabria
40.8,37.0,60.2,49.4,37.5,60.5,35.1,58.3,Calabria
56.3,35.4,65.9,44.0,35.7,64.6,54.3,47.2,Calabria
65.0,25.5,56.1,56.8,60.7,52.0,30.9,69.4,Calabria
61.2,44.0,58.4,44.1,57.1,66.4,32.5,100.0,Calabria
62.1,40.4,55.6,48.4,60.7,44.8,46.4,72.2,Calabria
52.4,39.1,57.3,51.9,50.0,31.8,33.2,62.5,Calabria
86.4,66.1,91.5,10.0,53.6,80.3,59.2,61.1,Sicily
78.6,73.0,65.3,23.7,62.5,53.8,44.5,63.9,Sicily
83.5,59.9,64.8,25.5,73.2,55.2,58.5,61.1,Sicily
90.3,43.2,51.9,46.3,69.6,49.8,45.3,58.3,Sicily
65.0,0.0,44.6,69.7,76.8,100.0,20.0,69.4,Sicily
63.1,11.5,54.4,61.8,73.2,79.4,20.8,63.9,Sicily
61.2,20.8,46.8,62.4,53.6,84.8,21.5,65.3,Sicily
61.2,32.9,28.1,71.8,41.1,56.1,9.8,59.7,Sicily
64.1,8.2,44.0,67.0,62.5,99.1,20.4,68.1,Sicily
60.2,30.8,44.4,60.5,60.7,68.6,24.2,59.7,Sicily
72.8,43.5,59.9,44.3,78.6,50.7,29.4,56.9,Sicily
55.3,48.7,45.3,52.9,60.7,56.1,20.4,55.6,Sicily
60.2,24.1,27.2,74.4,100.0,57.8,14.0,55.6,Sicily
67.0,35.6,26.2,68.6,96.4,61.0,12.8,65.3,Sicily
69.9,47.7,53.0,48.8,71.4,60.5,15.1,58.3,Sicily
79.6,40.6,75.3,34.1,62.5,51.6,63.0,54.2,Sicily
82.5,36.7,63.7,48.7,58.9,18.4,47.2,47.2,Sicily
81.6,58.8,61.6,35.3,67.9,44.4,32.1,52.8,Sicily
73.8,56.7,74.1,27.3,53.6,48.0,60.4,44.4,Sicily
68.0,40.1,79.6,31.4,44.6,33.2,86.0,38.9,Sicily
72.8,58.0,72.8,29.2,67.9,31.8,55.5,48.6,Sicily
92.2,47.0,78.3,32.9,64.3,26.5,55.5,48.6,Sicily
88.3,41.3,69.6,42.1,67.9,26.5,42.6,50.0,Sicily
96.1,46.5,70.6,38.4,73.2,26.0,44.9,52.8,Sicily
84.5,39.9,54.4,50.9,76.8,27.8,43.4,50.0,Sicily
60.2,25.1,48.3,61.3,53.6,73.5,22.3,55.6,Sicily
65.0,27.4,49.7,59.4,53.6,69.5,23.0,56.9,Sicily
66.0,32.0,67.5,50.9,23.2,38.1,33.6,51.4,Sicily
58.3,31.8,34.0,68.4,75.0,51.6,16.2,54.2,Sicily
65.0,35.9,32.9,67.3,80.4,45.7,14.3,58.3,Sicily
59.2,37.7,31.7,66.0,80.4,54.3,15.1,59.7,Sicily
71.8,27.4,46.0,58.2,64.3,90.6,21.9,58.3,Sicily
68.9,35.8,51.4,54.3,71.4,54.3,26.4,58.3,Sicily
66.0,35.6,57.5,52.4,58.9,42.6,30.2,56.9,Sicily
67.0,25.0,58.0,55.5,51.8,66.8,27.5,56.9,Sicily
85.4,65.4,38.4,51.0,0.0,26.0,45.3,45.8,InlandSardinia
89.3,62.3,43.8,51.2,0.0,26.0,30.6,41.7,InlandSardinia
89.3,69.1,45.2,46.4,0.0,30.9,30.9,45.8,InlandSardinia
87.4,66.3,39.3,51.6,0.0,28.3,30.2,40.3,InlandSardinia
62.1,70.5,45.0,46.9,0.0,35.4,32.8,33.3,InlandSardinia
62.1,63.9,44.3,48.3,0.0,35.4,44.2,25.0,InlandSardinia
58.3,61.3,46.1,51.5,0.0,26.9,35.1,36.1,InlandSardinia
58.3,66.3,42.2,51.4,0.0,31.8,28.7,36.1,InlandSardinia
57.3,68.4,43.9,48.4,0.0,36.3,33.2,34.7,InlandSardinia
63.1,67.7,43.4,49.2,0.0,26.9,27.5,36.1,InlandSardinia
58.3,64.8,44.3,50.6,0.0,35.4,29.1,37.5,InlandSardinia
