oleic,arachidic,linoleic,palmitoleic,palmitic,linolenic,stearic,eicosenoic,region
72.2,56.3,21.9,22.6,41.3,47.2,33.2,48.2,NorthApulia
47.3,56.3,37.6,46.8,62.7,55.6,35.0,53.6,Calabria
35.9,42.7,55.4,63.4,75.0,34.7,19.7,30.4,SouthApulia
53.3,65.0,36.8,44.5,54.4,47.2,33.6,58.9,Sicily
46.1,93.2,65.0,39.6,46.1,56.9,31.4,0.0,InlandSardinia
38.9,57.3,84.7,31.3,46.7,25.0,44.4,0.0,CoastalSardinia
59.2,95.1,21.7,17.0,60.4,94.4,48.4,0.0,EastLiguria
49.3,7.8,56.0,50.9,51.6,0.0,61.9,0.0,WestLiguria
78.4,46.6,15.4,20.8,42.2,25.0,12.6,0.0,Umbria
66.8,57.3,32.6,21.9,42.5,40.3,32.3,48.2,NorthApulia
85.9,59.2,9.9,14.7,26.8,40.3,42.2,48.2,NorthApulia
78.3,73.8,16.7,15.8,31.6,66.7,39.5,58.9,NorthApulia
69.7,75.7,21.9,19.6,39.2,66.7,48.0,78.6,NorthApulia
77.0,66.0,22.5,12.8,26.8,68.1,52.0,75.0,NorthApulia
80.1,52.4,16.6,19.2,27.7,65.3,50.2,48.2,NorthApulia
67.7,60.2,28.0,17.4,43.6,51.4,37.2,58.9,NorthApulia
68.5,78.6,25.5,17.0,42.0,61.1,39.0,55.4,NorthApulia
77.9,48.5,18.1,15.1,38.0,33.3,27.4,50.0,NorthApulia
79.5,61.2,15.4,7.5,39.2,26.4,30.0,39.3,NorthApulia
74.3,58.3,20.8,16.6,37.9,38.9,37.2,75.0,NorthApulia
67.7,74.8,29.3,20.8,41.2,66.7,27.8,55.4,NorthApulia
81.4,74.8,20.3,14.0,23.6,54.2,40.8,53.6,NorthApulia
70.9,70.9,32.5,12.8,30.4,66.7,45.7,69.6,NorthApulia
61.9,56.3,36.0,31.3,48.4,41.7,22.0,48.2,NorthApulia
73.0,70.9,33.3,29.8,29.6,55.6,13.9,51.8,NorthApulia
49.5,66.0,49.8,20.4,59.4,59.7,23.8,46.4,NorthApulia
78.6,70.9,28.8,20.8,31.2,61.1,19.3,50.0,NorthApulia
72.0,73.8,28.2,23.4,30.4,56.9,47.5,55.4,NorthApulia
66.0,78.6,26.2,19.6,41.2,75.0,37.7,76.8,NorthApulia
71.4,81.6,22.6,11.7,34.2,75.0,61.0,67.9,NorthApulia
66.5,84.5,24.7,14.3,39.6,72.2,42.6,87.5,NorthApulia
74.7,69.9,25.0,9.1,40.4,55.6,36.8,42.9,NorthApulia
70.1,77.7,24.3,11.3,40.4,62.5,41.7,64.3,NorthApulia
41.4,59.2,49.1,45.7,63.2,56.9,29.1,50.0,Calabria
44.3,59.2,41.7,37.7,66.6,59.7,42.2,28.6,Calabria
39.2,60.2,48.1,36.2,68.3,61.1,53.8,37.5,Calabria
45.2,58.3,44.5,35.5,60.9,56.9,41.7,64.3,Calabria
46.7,64.1,43.4,40.0,59.1,52.8,28.3,69.6,Calabria
37.1,66.0,45.7,39.6,64.5,66.7,74.4,64.3,Calabria
45.4,68.0,41.3,40.4,62.1,61.1,39.9,58.9,Calabria
49.1,68.0,36.4,37.4,64.9,63.9,16.6,33.9,Calabria
47.8,65.0,36.7,38.1,61.2,52.8,45.3,44.6,Calabria
54.1,66.0,34.2,34.7,54.3,72.2,30.9,46.4,Calabria
51.9,63.1,37.3,21.5,56.4,58.3,58.7,46.4,Calabria
48.5,61.2,36.3,43.0,60.0,76.4,41.3,60.7,Calabria
47.3,62.1,38.4,34.7,56.7,61.1,72.2,55.4,Calabria
43.1,70.9,40.9,34.3,66.3,63.9,37.7,60.7,Calabria
50.0,60.2,41.3,32.8,57.8,65.3,34.1,46.4,Calabria
44.5,61.2,42.0,40.0,57.9,62.5,71.7,41.1,Calabria
40.8,57.3,47.0,41.1,61.7,63.9,57.0,62.5,Calabria
39.3,61.2,43.9,38.5,65.2,68.1,60.5,69.6,Calabria
49.8,50.5,30.2,30.6,63.4,62.5,66.4,42.9,Calabria
49.8,57.3,38.3,38.5,60.6,63.9,28.3,53.6,Calabria
51.8,67.0,33.1,38.9,57.2,61.1,41.3,39.3,Calabria
41.1,65.0,48.0,43.8,62.4,54.2,48.0,32.1,Calabria
45.5,61.2,46.7,35.5,53.6,62.5,66.8,51.8,Calabria
45.6,52.4,32.5,31.3,66.6,54.2,89.2,25.0,Calabria
53.8,65.0,28.9,30.9,58.3,59.7,49.8,48.2,Calabria
47.9,63.1,33.2,31.7,61.2,59.7,71.3,37.5,Calabria
45.4,68.0,41.5,38.1,58.8,56.9,57.0,44.6,Calabria
51.1,49.5,31.6,27.2,59.4,58.3,80.7,39.3,Calabria
