palmitic,palmitoleic,linoleic,arachidic,linolenic,eicosenoic,stearic,oleic,region
41.3,22.6,21.9,56.3,47.2,48.2,33.2,72.2,NorthApulia
62.7,46.8,37.6,56.3,55.6,53.6,35.0,47.3,Calabria
75.0,63.4,55.4,42.7,34.7,30.4,19.7,35.9,SouthApulia
54.4,44.5,36.8,65.0,47.2,58.9,33.6,53.3,Sicily
46.1,39.6,65.0,93.2,56.9,0.0,31.4,46.1,InlandSardinia
46.7,31.3,84.7,57.3,25.0,0.0,44.4,38.9,CoastalSardinia
60.4,17.0,21.7,95.1,94.4,0.0,48.4,59.2,EastLiguria
51.6,50.9,56.0,7.8,0.0,0.0,61.9,49.3,WestLiguria
42.2,20.8,15.4,46.6,25.0,0.0,12.6,78.4,Umbria
42.5,21.9,32.6,57.3,40.3,48.2,32.3,66.8,NorthApulia
26.8,14.7,9.9,59.2,40.3,48.2,42.2,85.9,NorthApulia
31.6,15.8,16.7,73.8,66.7,58.9,39.5,78.3,NorthApulia
39.2,19.6,21.9,75.7,66.7,78.6,48.0,69.7,NorthApulia
26.8,12.8,22.5,66.0,68.1,75.0,52.0,77.0,NorthApulia
27.7,19.2,16.6,52.4,65.3,48.2,50.2,80.1,NorthApulia
43.6,17.4,28.0,60.2,51.4,58.9,37.2,67.7,NorthApulia
42.0,17.0,25.5,78.6,61.1,55.4,39.0,68.5,NorthApulia
38.0,15.1,18.1,48.5,33.3,50.0,27.4,77.9,NorthApulia
39.2,7.5,15.4,61.2,26.4,39.3,30.0,79.5,NorthApulia
37.9,16.6,20.8,58.3,38.9,75.0,37.2,74.3,NorthApulia
41.2,20.8,29.3,74.8,66.7,55.4,27.8,67.7,NorthApulia
23.6,14.0,20.3,74.8,54.2,53.6,40.8,81.4,NorthApulia
30.4,12.8,32.5,70.9,66.7,69.6,45.7,70.9,NorthApulia
48.4,31.3,36.0,56.3,41.7,48.2,22.0,61.9,NorthApulia
29.6,29.8,33.3,70.9,55.6,51.8,13.9,73.0,NorthApulia
59.4,20.4,49.8,66.0,59.7,46.4,23.8,49.5,NorthApulia
31.2,20.8,28.8,70.9,61.1,50.0,19.3,78.6,NorthApulia
30.4,23.4,28.2,73.8,56.9,55.4,47.5,72.0,NorthApulia
41.2,19.6,26.2,78.6,75.0,76.8,37.7,66.0,NorthApulia
34.2,11.7,22.6,81.6,75.0,67.9,61.0,71.4,NorthApulia
39.6,14.3,24.7,84.5,72.2,87.5,42.6,66.5,NorthApulia
40.4,9.1,25.0,69.9,55.6,42.9,36.8,74.7,NorthApulia
40.4,11.3,24.3,77.7,62.5,64.3,41.7,70.1,NorthApulia
63.2,45.7,49.1,59.2,56.9,50.0,29.1,41.4,Calabria
66.6,37.7,41.7,59.2,59.7,28.6,42.2,44.3,Calabria
68.3,36.2,48.1,60.2,61.1,37.5,53.8,39.2,Calabria
60.9,35.5,44.5,58.3,56.9,64.3,41.7,45.2,Calabria
59.1,40.0,43.4,64.1,52.8,69.6,28.3,46.7,Calabria
64.5,39.6,45.7,66.0,66.7,64.3,74.4,37.1,Calabria
62.1,40.4,41.3,68.0,61.1,58.9,39.9,45.4,Calabria
64.9,37.4,36.4,68.0,63.9,33.9,16.6,49.1,Calabria
61.2,38.1,36.7,65.0,52.8,44.6,45.3,47.8,Calabria
54.3,34.7,34.2,66.0,72.2,46.4,30.9,54.1,Calabria
56.4,21.5,37.3,63.1,58.3,46.4,58.7,51.9,Calabria
60.0,43.0,36.3,61.2,76.4,60.7,41.3,48.5,Calabria
56.7,34.7,38.4,62.1,61.1,55.4,72.2,47.3,Calabria
66.3,34.3,40.9,70.9,63.9,60.7,37.7,43.1,Calabria
57.8,32.8,41.3,60.2,65.3,46.4,34.1,50.0,Calabria
57.9,40.0,42.0,61.2,62.5,41.1,71.7,44.5,Calabria
61.7,41.1,47.0,57.3,63.9,62.5,57.0,40.8,Calabria
65.2,38.5,43.9,61.2,68.1,69.6,60.5,39.3,Calabria
63.4,30.6,30.2,50.5,62.5,42.9,66.4,49.8,Calabria
60.6,38.5,38.3,57.3,63.9,53.6,28.3,49.8,Calabria
57.2,38.9,33.1,67.0,61.1,39.3,41.3,51.8,Calabria
62.4,43.8,48.0,65.0,54.2,32.1,48.0,41.1,Calabria
53.6,35.5,46.7,61.2,62.5,51.8,66.8,45.5,Calabria
66.6,31.3,32.5,52.4,54.2,25.0,89.2,45.6,Calabria
58.3,30.9,28.9,65.0,59.7,48.2,49.8,53.8,Calabria
61.2,31.7,33.2,63.1,59.7,37.5,71.3,47.9,Calabria
58.8,38.1,41.5,68.0,56.9,44.6,57.0,45.4,Calabria
59.4,27.2,31.6,49.5,58.3,39.3,80.7,51.1,Calabria
51.0,36.6,36.3,53.4,63.9,46.4,71.3,51.7,Calabria
68.6,35.8,37.2,56.3,51.4,50.0,52.0,44.6,Calabria
50.9,49.4,16.6,47.6,50.0,37.5,62.8,60.7,Calabria
57.9,52.1,36.2,66.0,69.4,42.9,30.0,50.0,Calabria
52.3,45.7,18.1,51.5,34.7,30.4,39.0,63.5,Calabria
54.7,44.9,16.4,45.6,47.2,42.9,35.9,64.4,Calabria
64.8,57.0,46.5,65.0,52.8,41.1,25.1,42.2,Calabria
46.4,53.6,18.6,56.3,59.7,51.8,39.5,63.6,Calabria
68.5,63.4,15.8,66.0,62.5,41.1,41.7,51.4,Calabria
71.0,42.6,30.4,53.4,56.9,25.0,47.1,45.4,Calabria
61.9,42.3,41.2,64.1,62.5,39.3,43.9,45.2,Calabria
67.7,39.6,24.9,64.1,58.3,46.4,43.9,50.0,Calabria
64.5,37.0,39.8,56.3,50.0,28.6,40.4,47.1,Calabria
70.3,51.3,40.0,68.0,59.7,60.7,38.6,40.9,Calabria
69.3,39.2,36.7,58.3,52.8,69.6,36.8,44.4,Calabria
73.1,51.7,49.0,51.5,51.4,41.1,57.8,34.5,Calabria
71.3,41.1,33.5,64.1,59.7,46.4,65.5,41.8,Calabria
67.2,49.8,32.8,66.0,68.1,57.1,62.3,42.5,Calabria
68.7,38.9,28.4,64.1,59.7,48.2,54.3,46.5,Calabria
59.8,32.8,30.8,61.2,72.2,46.4,49.8,52.1,Calabria
61.0,45.7,32.5,47.6,63.9,28.6,48.4,51.2,Calabria
60.2,35.1,37.0,40.8,58.3,37.5,60.5,49.4,Calabria
65.9,54.3,35.4,56.3,47.2,35.7,64.6,44.0,Calabria
56.1,30.9,25.5,65.0,69.4,60.7,52.0,56.8,Calabria
58.4,32.5,44.0,61.2,100.0,57.1,66.4,44.1,Calabria
55.6,46.4,40.4,62.1,72.2,60.7,44.8,48.4,Calabria
57.3,33.2,39.1,52.4,62.5,50.0,31.8,51.9,Calabria
91.5,59.2,66.1,86.4,61.1,53.6,80.3,10.0,Sicily
65.3,44.5,73.0,78.6,63.9,62.5,53.8,23.7,Sicily
64.8,58.5,59.9,83.5,61.1,73.2,55.2,25.5,Sicily
51.9,45.3,43.2,90.3,58.3,69.6,49.8,46.3,Sicily
44.6,20.0,0.0,65.0,69.4,76.8,100.0,69.7,Sicily
54.4,20.8,11.5,63.1,63.9,73.2,79.4,61.8,Sicily
46.8,21.5,20.8,61.2,65.3,53.6,84.8,62.4,Sicily
28.1,9.8,32.9,61.2,59.7,41.1,56.1,71.8,Sicily
44.0,20.4,8.2,64.1,68.1,62.5,99.1,67.0,Sicily
44.4,24.2,30.8,60.2,59.7,60.7,68.6,60.5,Sicily
59.9,29.4,43.5,72.8,56.9,78.6,50.7,44.3,Sicily
45.3,20.4,48.7,55.3,55.6,60.7,56.1,52.9,Sicily
27.2,14.0,24.1,60.2,55.6,100.0,57.8,74.4,Sicily
26.2,12.8,35.6,67.0,65.3,96.4,61.0,68.6,Sicily
53.0,15.1,47.7,69.9,58.3,71.4,60.5,48.8,Sicily
75.3,63.0,40.6,79.6,54.2,62.5,51.6,34.1,Sicily
63.7,47.2,36.7,82.5,47.2,58.9,18.4,48.7,Sicily
61.6,32.1,58.8,81.6,52.8,67.9,44.4,35.3,Sicily
74.1,60.4,56.7,73.8,44.4,53.6,48.0,27.3,Sicily
79.6,86.0,40.1,68.0,38.9,44.6,33.2,31.4,Sicily
72.8,55.5,58.0,72.8,48.6,67.9,31.8,29.2,Sicily
78.3,55.5,47.0,92.2,48.6,64.3,26.5,32.9,Sicily
69.6,42.6,41.3,88.3,50.0,67.9,26.5,42.1,Sicily
70.6,44.9,46.5,96.1,52.8,73.2,26.0,38.4,Sicily
54.4,43.4,39.9,84.5,50.0,76.8,27.8,50.9,Sicily
48.3,22.3,25.1,60.2,55.6,53.6,73.5,61.3,Sicily
49.7,23.0,27.4,65.0,56.9,53.6,69.5,59.4,Sicily
67.5,33.6,32.0,66.0,51.4,23.2,38.1,50.9,Sicily
34.0,16.2,31.8,58.3,54.2,75.0,51.6,68.4,Sicily
32.9,14.3,35.9,65.0,58.3,80.4,45.7,67.3,Sicily
31.7,15.1,37.7,59.2,59.7,80.4,54.3,66.0,Sicily
46.0,21.9,27.4,71.8,58.3,64.3,90.6,58.2,Sicily
51.4,26.4,35.8,68.9,58.3,71.4,54.3,54.3,Sicily
57.5,30.2,35.6,66.0,56.9,58.9,42.6,52.4,Sicily
58.0,27.5,25.0,67.0,56.9,51.8,66.8,55.5,Sicily
38.4,45.3,65.4,85.4,45.8,0.0,26.0,51.0,InlandSardinia
43.8,30.6,62.3,89.3,41.7,0.0,26.0,51.2,InlandSardinia
45.2,30.9,69.1,89.3,45.8,0.0,30.9,46.4,InlandSardinia
39.3,30.2,66.3,87.4,40.3,0.0,28.3,51.6,InlandSardinia
45.0,32.8,70.5,62.1,33.3,0.0,35.4,46.9,InlandSardinia
44.3,44.2,63.9,62.1,25.0,0.0,35.4,48.3,InlandSardinia
46.1,35.1,61.3,58.3,36.1,0.0,26.9,51.5,InlandSardinia
42.2,28.7,66.3,58.3,36.1,0.0,31.8,51.4,InlandSardinia
43.9,33.2,68.4,57.3,34.7,0.0,36.3,48.4,InlandSardinia
43.4,27.5,67.7,63.1,36.1,0.0,26.9,49.2,InlandSardinia
44.3,29.1,64.8,58.3,37.5,0.0,35.4,50.6,InlandSardinia
41.3,33.2,63.4,64.1,41.7,0.0,24.7,52.7,InlandSardinia
39.9,30.6,66.5,68.0,31.9,0.0,34.1,51.5,InlandSardinia
50.3,29.1,59.6,77.7,45.8,0.0,24.7,49.6,InlandSardinia
48.8,31.3,64.6,60.2,50.0,0.0,27.4,48.3,InlandSardinia
46.4,24.5,63.3,63.1,34.7,0.0,22.0,52.0,InlandSardinia
44.2,22.6,63.4,85.4,37.5,0.0,30.5,52.1,InlandSardinia
42.8,33.6,66.3,54.4,36.1,0.0,36.8,50.0,InlandSardinia
45.2,24.9,59.6,76.7,43.1,0.0,30.0,52.6,InlandSardinia
44.1,29.4,64.2,64.1,45.8,0.0,26.9,51.2,InlandSardinia
38.8,32.5,65.8,84.5,36.1,0.0,38.6,51.4,InlandSardinia
49.3,31.7,63.9,63.1,27.8,0.0,27.8,48.9,InlandSardinia
48.7,26.0,66.0,72.8,37.5,0.0,22.0,48.7,InlandSardinia
43.1,27.5,63.1,73.8,48.6,0.0,22.9,52.8,InlandSardinia
50.3,22.6,64.5,69.9,43.1,0.0,23.8,51.9,InlandSardinia
43.8,35.5,67.7,55.3,36.1,0.0,30.5,49.1,InlandSardinia
44.6,29.1,66.2,68.9,41.7,0.0,25.6,50.0,InlandSardinia
42.8,29.4,65.1,49.5,25.0,0.0,31.4,51.0,InlandSardinia
41.8,31.3,66.2,73.8,43.1,0.0,30.0,50.8,InlandSardinia
39.2,35.1,65.2,62.1,38.9,0.0,33.6,52.3,InlandSardinia
43.2,26.0,62.9,67.0,38.9,0.0,26.5,52.8,InlandSardinia
47.3,30.9,63.9,61.2,36.1,0.0,32.7,49.3,InlandSardinia
38.8,30.6,64.5,75.7,41.7,0.0,37.7,52.1,InlandSardinia
44.8,26.8,65.4,78.6,40.3,0.0,26.0,50.2,InlandSardinia
47.1,29.4,63.6,69.9,29.2,0.0,39.9,48.5,InlandSardinia
41.3,28.7,64.5,75.7,47.2,0.0,21.5,52.6,InlandSardinia
42.8,34.3,66.2,72.8,43.1,0.0,30.0,53.4,InlandSardinia
41.4,30.2,66.7,74.8,34.7,0.0,23.3,52.5,InlandSardinia
50.5,27.9,63.7,82.5,44.4,0.0,22.0,51.2,InlandSardinia
43.1,33.6,64.9,52.4,56.9,0.0,31.8,50.6,InlandSardinia
39.2,23.8,68.3,77.7,38.9,0.0,26.5,53.1,InlandSardinia
38.9,24.2,66.7,57.3,36.1,0.0,27.4,54.0,InlandSardinia
40.1,26.8,64.0,74.8,37.5,0.0,30.5,53.1,InlandSardinia
