arachidic,linolenic,palmitic,linoleic,oleic,stearic,palmitoleic,eicosenoic,region
56.3,47.2,41.3,21.9,72.2,33.2,22.6,48.2,NorthApulia
56.3,55.6,62.7,37.6,47.3,35.0,46.8,53.6,Calabria
42.7,34.7,75.0,55.4,35.9,19.7,63.4,30.4,SouthApulia
65.0,47.2,54.4,36.8,53.3,33.6,44.5,58.9,Sicily
93.2,56.9,46.1,65.0,46.1,31.4,39.6,0.0,InlandSardinia
57.3,25.0,46.7,84.7,38.9,44.4,31.3,0.0,CoastalSardinia
95.1,94.4,60.4,21.7,59.2,48.4,17.0,0.0,EastLiguria
7.8,0.0,51.6,56.0,49.3,61.9,50.9,0.0,WestLiguria
46.6,25.0,42.2,15.4,78.4,12.6,20.8,0.0,Umbria
57.3,40.3,42.5,32.6,66.8,32.3,21.9,48.2,NorthApulia
59.2,40.3,26.8,9.9,85.9,42.2,14.7,48.2,NorthApulia
73.8,66.7,31.6,16.7,78.3,39.5,15.8,58.9,NorthApulia
75.7,66.7,39.2,21.9,69.7,48.0,19.6,78.6,NorthApulia
66.0,68.1,26.8,22.5,77.0,52.0,12.8,75.0,NorthApulia
52.4,65.3,27.7,16.6,80.1,50.2,19.2,48.2,NorthApulia
60.2,51.4,43.6,28.0,67.7,37.2,17.4,58.9,NorthApulia
78.6,61.1,42.0,25.5,68.5,39.0,17.0,55.4,NorthApulia
48.5,33.3,38.0,18.1,77.9,27.4,15.1,50.0,NorthApulia
61.2,26.4,39.2,15.4,79.5,30.0,7.5,39.3,NorthApulia
58.3,38.9,37.9,20.8,74.3,37.2,16.6,75.0,NorthApulia
74.8,66.7,41.2,29.3,67.7,27.8,20.8,55.4,NorthApulia
74.8,54.2,23.6,20.3,81.4,40.8,14.0,53.6,NorthApulia
70.9,66.7,30.4,32.5,70.9,45.7,12.8,69.6,NorthApulia
56.3,41.7,48.4,36.0,61.9,22.0,31.3,48.2,NorthApulia
70.9,55.6,29.6,33.3,73.0,13.9,29.8,51.8,NorthApulia
66.0,59.7,59.4,49.8,49.5,23.8,20.4,46.4,NorthApulia
70.9,61.1,31.2,28.8,78.6,19.3,20.8,50.0,NorthApulia
73.8,56.9,30.4,28.2,72.0,47.5,23.4,55.4,NorthApulia
78.6,75.0,41.2,26.2,66.0,37.7,19.6,76.8,NorthApulia
81.6,75.0,34.2,22.6,71.4,61.0,11.7,67.9,NorthApulia
84.5,72.2,39.6,24.7,66.5,42.6,14.3,87.5,NorthApulia
69.9,55.6,40.4,25.0,74.7,36.8,9.1,42.9,NorthApulia
77.7,62.5,40.4,24.3,70.1,41.7,11.3,64.3,NorthApulia
59.2,56.9,63.2,49.1,41.4,29.1,45.7,50.0,Calabria
59.2,59.7,66.6,41.7,44.3,42.2,37.7,28.6,Calabria
60.2,61.1,68.3,48.1,39.2,53.8,36.2,37.5,Calabria
58.3,56.9,60.9,44.5,45.2,41.7,35.5,64.3,Calabria
64.1,52.8,59.1,43.4,46.7,28.3,40.0,69.6,Calabria
66.0,66.7,64.5,45.7,37.1,74.4,39.6,64.3,Calabria
68.0,61.1,62.1,41.3,45.4,39.9,40.4,58.9,Calabria
68.0,63.9,64.9,36.4,49.1,16.6,37.4,33.9,Calabria
65.0,52.8,61.2,36.7,47.8,45.3,38.1,44.6,Calabria
66.0,72.2,54.3,34.2,54.1,30.9,34.7,46.4,Calabria
63.1,58.3,56.4,37.3,51.9,58.7,21.5,46.4,Calabria
61.2,76.4,60.0,36.3,48.5,41.3,43.0,60.7,Calabria
62.1,61.1,56.7,38.4,47.3,72.2,34.7,55.4,Calabria
70.9,63.9,66.3,40.9,43.1,37.7,34.3,60.7,Calabria
60.2,65.3,57.8,41.3,50.0,34.1,32.8,46.4,Calabria
61.2,62.5,57.9,42.0,44.5,71.7,40.0,41.1,Calabria
57.3,63.9,61.7,47.0,40.8,57.0,41.1,62.5,Calabria
61.2,68.1,65.2,43.9,39.3,60.5,38.5,69.6,Calabria
50.5,62.5,63.4,30.2,49.8,66.4,30.6,42.9,Calabria
57.3,63.9,60.6,38.3,49.8,28.3,38.5,53.6,Calabria
67.0,61.1,57.2,33.1,51.8,41.3,38.9,39.3,Calabria
65.0,54.2,62.4,48.0,41.1,48.0,43.8,32.1,Calabria
61.2,62.5,53.6,46.7,45.5,66.8,35.5,51.8,Calabria
52.4,54.2,66.6,32.5,45.6,89.2,31.3,25.0,Calabria
65.0,59.7,58.3,28.9,53.8,49.8,30.9,48.2,Calabria
63.1,59.7,61.2,33.2,47.9,71.3,31.7,37.5,Calabria
68.0,56.9,58.8,41.5,45.4,57.0,38.1,44.6,Calabria
49.5,58.3,59.4,31.6,51.1,80.7,27.2,39.3,Calabria
53.4,63.9,51.0,36.3,51.7,71.3,36.6,46.4,Calabria
56.3,51.4,68.6,37.2,44.6,52.0,35.8,50.0,Calabria
47.6,50.0,50.9,16.6,60.7,62.8,49.4,37.5,Calabria
66.0,69.4,57.9,36.2,50.0,30.0,52.1,42.9,Calabria
51.5,34.7,52.3,18.1,63.5,39.0,45.7,30.4,Calabria
45.6,47.2,54.7,16.4,64.4,35.9,44.9,42.9,Calabria
65.0,52.8,64.8,46.5,42.2,25.1,57.0,41.1,Calabria
56.3,59.7,46.4,18.6,63.6,39.5,53.6,51.8,Calabria
66.0,62.5,68.5,15.8,51.4,41.7,63.4,41.1,Calabria
53.4,56.9,71.0,30.4,45.4,47.1,42.6,25.0,Calabria
64.1,62.5,61.9,41.2,45.2,43.9,42.3,39.3,Calabria
64.1,58.3,67.7,24.9,50.0,43.9,39.6,46.4,Calabria
56.3,50.0,64.5,39.8,47.1,40.4,37.0,28.6,Calabria
68.0,59.7,70.3,40.0,40.9,38.6,51.3,60.7,Calabria
58.3,52.8,69.3,36.7,44.4,36.8,39.2,69.6,Calabria
51.5,51.4,73.1,49.0,34.5,57.8,51.7,41.1,Calabria
64.1,59.7,71.3,33.5,41.8,65.5,41.1,46.4,Calabria
66.0,68.1,67.2,32.8,42.5,62.3,49.8,57.1,Calabria
64.1,59.7,68.7,28.4,46.5,54.3,38.9,48.2,Calabria
61.2,72.2,59.8,30.8,52.1,49.8,32.8,46.4,Calabria
