palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,region
91.5,59.2,80.3,10.0,66.1,61.1,86.4,53.6,Sicily
26.2,12.8,61.0,68.6,35.6,65.3,67.0,96.4,Sicily
39.6,14.3,42.6,66.5,24.7,72.2,84.5,87.5,NorthApulia
32.9,28.3,79.8,58.8,57.9,0.0,0.0,0.0,WestLiguria
36.4,28.3,88.8,62.6,46.2,11.1,0.0,0.0,WestLiguria
40.0,28.3,70.9,73.5,23.7,0.0,0.0,0.0,WestLiguria
35.6,28.3,88.8,55.9,58.9,11.1,7.8,0.0,WestLiguria
64.8,58.5,55.2,25.5,59.9,61.1,83.5,73.2,Sicily
79.9,73.2,47.1,16.4,77.5,55.6,58.3,50.0,SouthApulia
31.1,28.3,21.5,71.6,48.1,0.0,0.0,0.0,WestLiguria
44.9,5.7,32.7,78.4,14.9,73.6,12.6,0.0,Umbria
32.0,28.3,30.5,66.4,56.0,0.0,0.0,0.0,WestLiguria
36.4,28.3,48.4,62.6,55.0,0.0,0.0,0.0,WestLiguria
33.8,28.3,26.0,70.1,47.2,0.0,0.0,0.0,WestLiguria
37.3,35.8,26.0,71.6,38.4,0.0,0.0,0.0,WestLiguria
35.6,28.3,26.0,67.3,51.1,0.0,0.0,0.0,WestLiguria
37.3,35.8,30.5,69.2,52.1,0.0,0.0,0.0,WestLiguria
36.4,32.1,30.5,58.3,56.9,0.0,0.0,0.0,WestLiguria
40.0,39.6,26.0,61.6,55.0,0.0,0.0,0.0,WestLiguria
44.4,43.4,26.0,59.2,54.0,0.0,0.0,0.0,WestLiguria
37.3,32.1,35.0,68.2,44.2,0.0,0.0,0.0,WestLiguria
42.7,28.3,61.9,66.8,34.4,11.1,0.0,0.0,WestLiguria
36.4,32.1,61.9,62.6,50.1,0.0,7.8,0.0,WestLiguria
60.4,17.0,48.4,59.2,21.7,94.4,95.1,0.0,EastLiguria
44.4,0.0,26.0,80.1,11.9,66.7,17.5,0.0,Umbria
44.0,5.7,20.6,80.3,11.9,69.4,17.5,0.0,Umbria
42.7,24.5,39.5,72.0,30.5,11.1,0.0,0.0,WestLiguria
44.4,28.3,35.0,71.6,29.5,0.0,7.8,0.0,WestLiguria
47.1,13.2,21.5,80.1,12.9,11.1,17.5,0.0,EastLiguria
37.3,32.1,43.9,66.8,44.2,0.0,7.8,0.0,WestLiguria
48.0,28.3,43.9,67.3,35.4,0.0,7.8,0.0,WestLiguria
40.9,39.6,26.0,61.6,53.0,0.0,7.8,0.0,WestLiguria
47.1,62.3,30.5,62.1,39.3,11.1,7.8,0.0,WestLiguria
56.0,50.9,43.9,62.1,27.6,11.1,7.8,0.0,WestLiguria
40.0,32.1,52.9,68.2,35.4,11.1,7.8,0.0,WestLiguria
33.8,39.6,43.9,68.7,41.3,11.1,7.8,0.0,WestLiguria
38.2,28.3,43.9,71.6,35.4,11.1,7.8,0.0,WestLiguria
40.0,47.2,39.5,65.9,39.3,11.1,7.8,0.0,WestLiguria
40.9,32.1,30.5,67.8,41.3,11.1,7.8,0.0,WestLiguria
31.1,24.5,39.5,78.2,28.6,11.1,17.5,0.0,WestLiguria
44.0,15.1,23.8,78.9,14.9,31.9,17.5,0.0,Umbria
50.7,24.5,43.9,74.4,12.9,11.1,27.2,0.0,EastLiguria
41.8,18.9,16.6,78.7,15.1,45.8,17.5,0.0,Umbria
39.1,32.1,43.9,77.3,17.8,11.1,27.2,0.0,EastLiguria
32.9,14.3,45.7,67.3,35.9,58.3,65.0,80.4,Sicily
56.0,28.3,30.5,72.0,13.9,11.1,27.2,0.0,EastLiguria
30.4,12.8,45.7,70.9,32.5,66.7,70.9,69.6,NorthApulia
34.0,16.2,51.6,68.4,31.8,54.2,58.3,75.0,Sicily
26.8,14.7,42.2,85.9,9.9,40.3,59.2,48.2,NorthApulia
41.3,20.8,17.0,79.4,15.4,36.1,24.3,0.0,Umbria
23.6,14.0,40.8,81.4,20.3,54.2,74.8,53.6,NorthApulia
40.4,11.3,41.7,70.1,24.3,62.5,77.7,64.3,NorthApulia
62.3,57.0,8.1,28.5,84.5,54.2,65.0,46.4,SouthApulia
43.1,16.2,20.6,78.2,15.1,45.8,29.1,0.0,Umbria
44.4,22.6,30.5,76.5,6.1,73.6,61.2,0.0,Umbria
43.1,13.2,26.0,78.1,14.9,31.9,32.0,0.0,Umbria
43.1,16.2,20.6,78.0,14.9,45.8,31.1,0.0,Umbria
42.8,8.3,26.0,78.4,14.9,52.8,36.9,0.0,Umbria
39.6,17.0,10.3,79.9,16.8,59.7,46.6,0.0,Umbria
39.1,23.8,10.3,80.1,15.9,22.2,55.3,0.0,Umbria
42.2,20.8,12.6,78.4,15.4,25.0,46.6,0.0,Umbria
40.9,22.6,16.1,79.6,15.1,27.8,41.7,0.0,Umbria
40.0,22.6,10.3,79.4,15.9,25.0,51.5,0.0,Umbria
42.7,16.2,17.9,78.2,14.9,45.8,36.9,0.0,Umbria
41.3,18.9,14.8,79.6,15.7,45.8,38.8,0.0,Umbria
42.7,17.0,19.3,78.4,14.9,36.1,38.8,0.0,Umbria
42.7,16.2,19.3,77.7,14.9,45.8,38.8,0.0,Umbria
42.7,17.0,17.0,78.2,14.9,36.1,43.7,0.0,Umbria
40.4,18.9,11.7,78.9,15.4,27.8,61.2,0.0,Umbria
51.6,24.5,52.9,65.9,26.6,11.1,36.9,0.0,EastLiguria
44.4,24.5,28.3,76.3,7.5,66.7,56.3,0.0,Umbria
42.2,17.0,16.1,78.4,15.1,38.9,46.6,0.0,Umbria
42.2,20.8,14.8,78.4,14.9,31.9,51.5,0.0,Umbria
42.7,17.0,30.5,75.4,21.7,11.1,56.3,0.0,EastLiguria
42.2,17.0,17.0,78.4,15.1,38.9,49.5,0.0,Umbria
43.6,15.1,20.6,76.1,14.9,45.8,46.6,0.0,Umbria
44.4,13.2,23.8,75.8,14.4,52.8,48.5,0.0,Umbria
44.0,15.1,21.5,75.8,14.9,48.6,51.5,0.0,Umbria
40.0,47.2,39.5,65.4,37.4,11.1,36.9,0.0,WestLiguria
54.2,24.5,30.5,58.8,31.5,80.6,95.1,0.0,EastLiguria
48.9,20.8,26.0,74.4,12.9,38.9,75.7,0.0,EastLiguria
54.4,43.4,27.8,50.9,39.9,50.0,84.5,76.8,Sicily
53.0,15.1,60.5,48.8,47.7,58.3,69.9,71.4,Sicily
50.7,24.5,39.5,69.2,21.7,25.0,46.6,0.0,EastLiguria
62.2,62.3,13.9,35.7,73.8,33.3,29.1,17.9,SouthApulia
41.2,20.8,27.8,67.7,29.3,66.7,74.8,55.4,NorthApulia
42.7,28.3,52.9,70.1,23.7,38.9,46.6,0.0,EastLiguria
43.6,24.5,39.5,72.0,21.7,25.0,66.0,0.0,EastLiguria
50.9,49.4,62.8,60.7,16.6,50.0,47.6,37.5,Calabria
41.3,22.6,33.2,72.2,21.9,47.2,56.3,48.2,NorthApulia
46.2,24.5,43.9,70.1,19.8,52.8,56.3,0.0,EastLiguria
48.0,24.5,39.5,71.1,17.8,38.9,66.0,0.0,EastLiguria
36.4,32.1,52.9,69.7,25.6,52.8,85.4,0.0,EastLiguria
49.8,35.8,39.5,67.8,17.8,38.9,85.4,0.0,EastLiguria
41.8,24.5,39.5,72.5,21.7,38.9,66.0,0.0,EastLiguria
50.7,32.1,17.0,57.8,36.4,66.7,95.1,0.0,EastLiguria
54.7,44.9,35.9,64.4,16.4,47.2,45.6,42.9,Calabria
67.2,49.8,62.3,42.5,32.8,68.1,66.0,57.1,Calabria
58.0,27.5,66.8,55.5,25.0,56.9,67.0,51.8,Sicily
45.3,32.1,48.4,67.3,22.7,38.9,75.7,0.0,EastLiguria
41.8,32.1,48.4,66.8,29.5,25.0,66.0,0.0,EastLiguria
45.3,32.1,35.0,67.3,27.6,25.0,66.0,0.0,EastLiguria
49.8,35.8,43.9,62.6,28.6,25.0,85.4,0.0,EastLiguria
48.9,20.8,43.9,64.0,29.5,38.9,85.4,0.0,EastLiguria
