eicosenoic,palmitic,linoleic,linolenic,stearic,arachidic,oleic,palmitoleic,region
48.2,41.3,21.9,47.2,33.2,56.3,72.2,22.6,NorthApulia
53.6,62.7,37.6,55.6,35.0,56.3,47.3,46.8,Calabria
30.4,75.0,55.4,34.7,19.7,42.7,35.9,63.4,SouthApulia
58.9,54.4,36.8,47.2,33.6,65.0,53.3,44.5,Sicily
0.0,46.1,65.0,56.9,31.4,93.2,46.1,39.6,InlandSardinia
0.0,46.7,84.7,25.0,44.4,57.3,38.9,31.3,CoastalSardinia
0.0,60.4,21.7,94.4,48.4,95.1,59.2,17.0,EastLiguria
0.0,51.6,56.0,0.0,61.9,7.8,49.3,50.9,WestLiguria
0.0,42.2,15.4,25.0,12.6,46.6,78.4,20.8,Umbria
48.2,42.5,32.6,40.3,32.3,57.3,66.8,21.9,NorthApulia
48.2,26.8,9.9,40.3,42.2,59.2,85.9,14.7,NorthApulia
58.9,31.6,16.7,66.7,39.5,73.8,78.3,15.8,NorthApulia
78.6,39.2,21.9,66.7,48.0,75.7,69.7,19.6,NorthApulia
75.0,26.8,22.5,68.1,52.0,66.0,77.0,12.8,NorthApulia
48.2,27.7,16.6,65.3,50.2,52.4,80.1,19.2,NorthApulia
58.9,43.6,28.0,51.4,37.2,60.2,67.7,17.4,NorthApulia
55.4,42.0,25.5,61.1,39.0,78.6,68.5,17.0,NorthApulia
50.0,38.0,18.1,33.3,27.4,48.5,77.9,15.1,NorthApulia
39.3,39.2,15.4,26.4,30.0,61.2,79.5,7.5,NorthApulia
75.0,37.9,20.8,38.9,37.2,58.3,74.3,16.6,NorthApulia
55.4,41.2,29.3,66.7,27.8,74.8,67.7,20.8,NorthApulia
53.6,23.6,20.3,54.2,40.8,74.8,81.4,14.0,NorthApulia
69.6,30.4,32.5,66.7,45.7,70.9,70.9,12.8,NorthApulia
48.2,48.4,36.0,41.7,22.0,56.3,61.9,31.3,NorthApulia
51.8,29.6,33.3,55.6,13.9,70.9,73.0,29.8,NorthApulia
46.4,59.4,49.8,59.7,23.8,66.0,49.5,20.4,NorthApulia
50.0,31.2,28.8,61.1,19.3,70.9,78.6,20.8,NorthApulia
55.4,30.4,28.2,56.9,47.5,73.8,72.0,23.4,NorthApulia
76.8,41.2,26.2,75.0,37.7,78.6,66.0,19.6,NorthApulia
67.9,34.2,22.6,75.0,61.0,81.6,71.4,11.7,NorthApulia
87.5,39.6,24.7,72.2,42.6,84.5,66.5,14.3,NorthApulia
42.9,40.4,25.0,55.6,36.8,69.9,74.7,9.1,NorthApulia
64.3,40.4,24.3,62.5,41.7,77.7,70.1,11.3,NorthApulia
50.0,63.2,49.1,56.9,29.1,59.2,41.4,45.7,Calabria
28.6,66.6,41.7,59.7,42.2,59.2,44.3,37.7,Calabria
37.5,68.3,48.1,61.1,53.8,60.2,39.2,36.2,Calabria
64.3,60.9,44.5,56.9,41.7,58.3,45.2,35.5,Calabria
69.6,59.1,43.4,52.8,28.3,64.1,46.7,40.0,Calabria
64.3,64.5,45.7,66.7,74.4,66.0,37.1,39.6,Calabria
58.9,62.1,41.3,61.1,39.9,68.0,45.4,40.4,Calabria
33.9,64.9,36.4,63.9,16.6,68.0,49.1,37.4,Calabria
44.6,61.2,36.7,52.8,45.3,65.0,47.8,38.1,Calabria
46.4,54.3,34.2,72.2,30.9,66.0,54.1,34.7,Calabria
46.4,56.4,37.3,58.3,58.7,63.1,51.9,21.5,Calabria
60.7,60.0,36.3,76.4,41.3,61.2,48.5,43.0,Calabria
55.4,56.7,38.4,61.1,72.2,62.1,47.3,34.7,Calabria
60.7,66.3,40.9,63.9,37.7,70.9,43.1,34.3,Calabria
46.4,57.8,41.3,65.3,34.1,60.2,50.0,32.8,Calabria
41.1,57.9,42.0,62.5,71.7,61.2,44.5,40.0,Calabria
62.5,61.7,47.0,63.9,57.0,57.3,40.8,41.1,Calabria
69.6,65.2,43.9,68.1,60.5,61.2,39.3,38.5,Calabria
42.9,63.4,30.2,62.5,66.4,50.5,49.8,30.6,Calabria
53.6,60.6,38.3,63.9,28.3,57.3,49.8,38.5,Calabria
39.3,57.2,33.1,61.1,41.3,67.0,51.8,38.9,Calabria
32.1,62.4,48.0,54.2,48.0,65.0,41.1,43.8,Calabria
51.8,53.6,46.7,62.5,66.8,61.2,45.5,35.5,Calabria
25.0,66.6,32.5,54.2,89.2,52.4,45.6,31.3,Calabria
48.2,58.3,28.9,59.7,49.8,65.0,53.8,30.9,Calabria
37.5,61.2,33.2,59.7,71.3,63.1,47.9,31.7,Calabria
44.6,58.8,41.5,56.9,57.0,68.0,45.4,38.1,Calabria
39.3,59.4,31.6,58.3,80.7,49.5,51.1,27.2,Calabria
46.4,51.0,36.3,63.9,71.3,53.4,51.7,36.6,Calabria
50.0,68.6,37.2,51.4,52.0,56.3,44.6,35.8,Calabria
37.5,50.9,16.6,50.0,62.8,47.6,60.7,49.4,Calabria
42.9,57.9,36.2,69.4,30.0,66.0,50.0,52.1,Calabria
30.4,52.3,18.1,34.7,39.0,51.5,63.5,45.7,Calabria
42.9,54.7,16.4,47.2,35.9,45.6,64.4,44.9,Calabria
41.1,64.8,46.5,52.8,25.1,65.0,42.2,57.0,Calabria
51.8,46.4,18.6,59.7,39.5,56.3,63.6,53.6,Calabria
41.1,68.5,15.8,62.5,41.7,66.0,51.4,63.4,Calabria
25.0,71.0,30.4,56.9,47.1,53.4,45.4,42.6,Calabria
39.3,61.9,41.2,62.5,43.9,64.1,45.2,42.3,Calabria
46.4,67.7,24.9,58.3,43.9,64.1,50.0,39.6,Calabria
28.6,64.5,39.8,50.0,40.4,56.3,47.1,37.0,Calabria
60.7,70.3,40.0,59.7,38.6,68.0,40.9,51.3,Calabria
69.6,69.3,36.7,52.8,36.8,58.3,44.4,39.2,Calabria
41.1,73.1,49.0,51.4,57.8,51.5,34.5,51.7,Calabria
46.4,71.3,33.5,59.7,65.5,64.1,41.8,41.1,Calabria
57.1,67.2,32.8,68.1,62.3,66.0,42.5,49.8,Calabria
48.2,68.7,28.4,59.7,54.3,64.1,46.5,38.9,Calabria
46.4,59.8,30.8,72.2,49.8,61.2,52.1,32.8,Calabria
28.6,61.0,32.5,63.9,48.4,47.6,51.2,45.7,Calabria
37.5,60.2,37.0,58.3,60.5,40.8,49.4,35.1,Calabria
35.7,65.9,35.4,47.2,64.6,56.3,44.0,54.3,Calabria
60.7,56.1,25.5,69.4,52.0,65.0,56.8,30.9,Calabria
57.1,58.4,44.0,100.0,66.4,61.2,44.1,32.5,Calabria
60.7,55.6,40.4,72.2,44.8,62.1,48.4,46.4,Calabria
50.0,57.3,39.1,62.5,31.8,52.4,51.9,33.2,Calabria
53.6,91.5,66.1,61.1,80.3,86.4,10.0,59.2,Sicily
62.5,65.3,73.0,63.9,53.8,78.6,23.7,44.5,Sicily
73.2,64.8,59.9,61.1,55.2,83.5,25.5,58.5,Sicily
69.6,51.9,43.2,58.3,49.8,90.3,46.3,45.3,Sicily
76.8,44.6,0.0,69.4,100.0,65.0,69.7,20.0,Sicily
73.2,54.4,11.5,63.9,79.4,63.1,61.8,20.8,Sicily
53.6,46.8,20.8,65.3,84.8,61.2,62.4,21.5,Sicily
41.1,28.1,32.9,59.7,56.1,61.2,71.8,9.8,Sicily
62.5,44.0,8.2,68.1,99.1,64.1,67.0,20.4,Sicily
60.7,44.4,30.8,59.7,68.6,60.2,60.5,24.2,Sicily
78.6,59.9,43.5,56.9,50.7,72.8,44.3,29.4,Sicily
60.7,45.3,48.7,55.6,56.1,55.3,52.9,20.4,Sicily
100.0,27.2,24.1,55.6,57.8,60.2,74.4,14.0,Sicily
96.4,26.2,35.6,65.3,61.0,67.0,68.6,12.8,Sicily
71.4,53.0,47.7,58.3,60.5,69.9,48.8,15.1,Sicily
62.5,75.3,40.6,54.2,51.6,79.6,34.1,63.0,Sicily
58.9,63.7,36.7,47.2,18.4,82.5,48.7,47.2,Sicily
67.9,61.6,58.8,52.8,44.4,81.6,35.3,32.1,Sicily
53.6,74.1,56.7,44.4,48.0,73.8,27.3,60.4,Sicily
44.6,79.6,40.1,38.9,33.2,68.0,31.4,86.0,Sicily
67.9,72.8,58.0,48.6,31.8,72.8,29.2,55.5,Sicily
64.3,78.3,47.0,48.6,26.5,92.2,32.9,55.5,Sicily
67.9,69.6,41.3,50.0,26.5,88.3,42.1,42.6,Sicily
73.2,70.6,46.5,52.8,26.0,96.1,38.4,44.9,Sicily
76.8,54.4,39.9,50.0,27.8,84.5,50.9,43.4,Sicily
53.6,48.3,25.1,55.6,73.5,60.2,61.3,22.3,Sicily
53.6,49.7,27.4,56.9,69.5,65.0,59.4,23.0,Sicily
23.2,67.5,32.0,51.4,38.1,66.0,50.9,33.6,Sicily
75.0,34.0,31.8,54.2,51.6,58.3,68.4,16.2,Sicily
80.4,32.9,35.9,58.3,45.7,65.0,67.3,14.3,Sicily
80.4,31.7,37.7,59.7,54.3,59.2,66.0,15.1,Sicily
64.3,46.0,27.4,58.3,90.6,71.8,58.2,21.9,Sicily
71.4,51.4,35.8,58.3,54.3,68.9,54.3,26.4,Sicily
58.9,57.5,35.6,56.9,42.6,66.0,52.4,30.2,Sicily
51.8,58.0,25.0,56.9,66.8,67.0,55.5,27.5,Sicily
0.0,38.4,65.4,45.8,26.0,85.4,51.0,45.3,InlandSardinia
0.0,43.8,62.3,41.7,26.0,89.3,51.2,30.6,InlandSardinia
0.0,45.2,69.1,45.8,30.9,89.3,46.4,30.9,InlandSardinia
0.0,39.3,66.3,40.3,28.3,87.4,51.6,30.2,InlandSardinia
0.0,45.0,70.5,33.3,35.4,62.1,46.9,32.8,InlandSardinia
0.0,44.3,63.9,25.0,35.4,62.1,48.3,44.2,InlandSardinia
0.0,46.1,61.3,36.1,26.9,58.3,51.5,35.1,InlandSardinia
0.0,42.2,66.3,36.1,31.8,58.3,51.4,28.7,InlandSardinia
0.0,43.9,68.4,34.7,36.3,57.3,48.4,33.2,InlandSardinia
0.0,43.4,67.7,36.1,26.9,63.1,49.2,27.5,InlandSardinia
0.0,44.3,64.8,37.5,35.4,58.3,50.6,29.1,InlandSardinia
0.0,41.3,63.4,41.7,24.7,64.1,52.7,33.2,InlandSardinia
0.0,39.9,66.5,31.9,34.1,68.0,51.5,30.6,InlandSardinia
0.0,50.3,59.6,45.8,24.7,77.7,49.6,29.1,InlandSardinia
0.0,48.8,64.6,50.0,27.4,60.2,48.3,31.3,InlandSardinia
0.0,46.4,63.3,34.7,22.0,63.1,52.0,24.5,InlandSardinia
0.0,44.2,63.4,37.5,30.5,85.4,52.1,22.6,InlandSardinia
0.0,42.8,66.3,36.1,36.8,54.4,50.0,33.6,InlandSardinia
0.0,45.2,59.6,43.1,30.0,76.7,52.6,24.9,InlandSardinia
0.0,44.1,64.2,45.8,26.9,64.1,51.2,29.4,InlandSardinia
0.0,38.8,65.8,36.1,38.6,84.5,51.4,32.5,InlandSardinia
0.0,49.3,63.9,27.8,27.8,63.1,48.9,31.7,InlandSardinia
0.0,48.7,66.0,37.5,22.0,72.8,48.7,26.0,InlandSardinia
0.0,43.1,63.1,48.6,22.9,73.8,52.8,27.5,InlandSardinia
0.0,50.3,64.5,43.1,23.8,69.9,51.9,22.6,InlandSardinia
0.0,43.8,67.7,36.1,30.5,55.3,49.1,35.5,InlandSardinia
0.0,44.6,66.2,41.7,25.6,68.9,50.0,29.1,InlandSardinia
0.0,42.8,65.1,25.0,31.4,49.5,51.0,29.4,InlandSardinia
0.0,41.8,66.2,43.1,30.0,73.8,50.8,31.3,InlandSardinia
0.0,39.2,65.2,38.9,33.6,62.1,52.3,35.1,InlandSardinia
0.0,43.2,62.9,38.9,26.5,67.0,52.8,26.0,InlandSardinia
0.0,47.3,63.9,36.1,32.7,61.2,49.3,30.9,InlandSardinia
0.0,38.8,64.5,41.7,37.7,75.7,52.1,30.6,InlandSardinia
0.0,44.8,65.4,40.3,26.0,78.6,50.2,26.8,InlandSardinia
0.0,47.1,63.6,29.2,39.9,69.9,48.5,29.4,InlandSardinia
0.0,41.3,64.5,47.2,21.5,75.7,52.6,28.7,InlandSardinia
0.0,42.8,66.2,43.1,30.0,72.8,53.4,34.3,InlandSardinia
0.0,41.4,66.7,34.7,23.3,74.8,52.5,30.2,InlandSardinia
0.0,50.5,63.7,44.4,22.0,82.5,51.2,27.9,InlandSardinia
0.0,43.1,64.9,56.9,31.8,52.4,50.6,33.6,InlandSardinia
