eicosenoic,stearic,oleic,arachidic,linolenic,palmitic,palmitoleic,linoleic,region
48.2,33.2,72.2,56.3,47.2,41.3,22.6,21.9,NorthApulia
53.6,35.0,47.3,56.3,55.6,62.7,46.8,37.6,Calabria
30.4,19.7,35.9,42.7,34.7,75.0,63.4,55.4,SouthApulia
58.9,33.6,53.3,65.0,47.2,54.4,44.5,36.8,Sicily
0.0,31.4,46.1,93.2,56.9,46.1,39.6,65.0,InlandSardinia
0.0,44.4,38.9,57.3,25.0,46.7,31.3,84.7,CoastalSardinia
0.0,48.4,59.2,95.1,94.4,60.4,17.0,21.7,EastLiguria
0.0,61.9,49.3,7.8,0.0,51.6,50.9,56.0,WestLiguria
0.0,12.6,78.4,46.6,25.0,42.2,20.8,15.4,Umbria
48.2,32.3,66.8,57.3,40.3,42.5,21.9,32.6,NorthApulia
48.2,42.2,85.9,59.2,40.3,26.8,14.7,9.9,NorthApulia
58.9,39.5,78.3,73.8,66.7,31.6,15.8,16.7,NorthApulia
78.6,48.0,69.7,75.7,66.7,39.2,19.6,21.9,NorthApulia
75.0,52.0,77.0,66.0,68.1,26.8,12.8,22.5,NorthApulia
48.2,50.2,80.1,52.4,65.3,27.7,19.2,16.6,NorthApulia
58.9,37.2,67.7,60.2,51.4,43.6,17.4,28.0,NorthApulia
55.4,39.0,68.5,78.6,61.1,42.0,17.0,25.5,NorthApulia
50.0,27.4,77.9,48.5,33.3,38.0,15.1,18.1,NorthApulia
39.3,30.0,79.5,61.2,26.4,39.2,7.5,15.4,NorthApulia
75.0,37.2,74.3,58.3,38.9,37.9,16.6,20.8,NorthApulia
55.4,27.8,67.7,74.8,66.7,41.2,20.8,29.3,NorthApulia
53.6,40.8,81.4,74.8,54.2,23.6,14.0,20.3,NorthApulia
69.6,45.7,70.9,70.9,66.7,30.4,12.8,32.5,NorthApulia
48.2,22.0,61.9,56.3,41.7,48.4,31.3,36.0,NorthApulia
51.8,13.9,73.0,70.9,55.6,29.6,29.8,33.3,NorthApulia
46.4,23.8,49.5,66.0,59.7,59.4,20.4,49.8,NorthApulia
50.0,19.3,78.6,70.9,61.1,31.2,20.8,28.8,NorthApulia
55.4,47.5,72.0,73.8,56.9,30.4,23.4,28.2,NorthApulia
76.8,37.7,66.0,78.6,75.0,41.2,19.6,26.2,NorthApulia
67.9,61.0,71.4,81.6,75.0,34.2,11.7,22.6,NorthApulia
87.5,42.6,66.5,84.5,72.2,39.6,14.3,24.7,NorthApulia
42.9,36.8,74.7,69.9,55.6,40.4,9.1,25.0,NorthApulia
64.3,41.7,70.1,77.7,62.5,40.4,11.3,24.3,NorthApulia
50.0,29.1,41.4,59.2,56.9,63.2,45.7,49.1,Calabria
28.6,42.2,44.3,59.2,59.7,66.6,37.7,41.7,Calabria
37.5,53.8,39.2,60.2,61.1,68.3,36.2,48.1,Calabria
64.3,41.7,45.2,58.3,56.9,60.9,35.5,44.5,Calabria
69.6,28.3,46.7,64.1,52.8,59.1,40.0,43.4,Calabria
64.3,74.4,37.1,66.0,66.7,64.5,39.6,45.7,Calabria
58.9,39.9,45.4,68.0,61.1,62.1,40.4,41.3,Calabria
33.9,16.6,49.1,68.0,63.9,64.9,37.4,36.4,Calabria
44.6,45.3,47.8,65.0,52.8,61.2,38.1,36.7,Calabria
46.4,30.9,54.1,66.0,72.2,54.3,34.7,34.2,Calabria
