eicosenoic,linoleic,palmitic,linolenic,oleic,stearic,palmitoleic,arachidic,region
48.2,21.9,41.3,47.2,72.2,33.2,22.6,56.3,NorthApulia
53.6,37.6,62.7,55.6,47.3,35.0,46.8,56.3,Calabria
30.4,55.4,75.0,34.7,35.9,19.7,63.4,42.7,SouthApulia
58.9,36.8,54.4,47.2,53.3,33.6,44.5,65.0,Sicily
0.0,65.0,46.1,56.9,46.1,31.4,39.6,93.2,InlandSardinia
0.0,84.7,46.7,25.0,38.9,44.4,31.3,57.3,CoastalSardinia
0.0,21.7,60.4,94.4,59.2,48.4,17.0,95.1,EastLiguria
0.0,56.0,51.6,0.0,49.3,61.9,50.9,7.8,WestLiguria
0.0,15.4,42.2,25.0,78.4,12.6,20.8,46.6,Umbria
48.2,32.6,42.5,40.3,66.8,32.3,21.9,57.3,NorthApulia
48.2,9.9,26.8,40.3,85.9,42.2,14.7,59.2,NorthApulia
58.9,16.7,31.6,66.7,78.3,39.5,15.8,73.8,NorthApulia
78.6,21.9,39.2,66.7,69.7,48.0,19.6,75.7,NorthApulia
75.0,22.5,26.8,68.1,77.0,52.0,12.8,66.0,NorthApulia
48.2,16.6,27.7,65.3,80.1,50.2,19.2,52.4,NorthApulia
58.9,28.0,43.6,51.4,67.7,37.2,17.4,60.2,NorthApulia
55.4,25.5,42.0,61.1,68.5,39.0,17.0,78.6,NorthApulia
50.0,18.1,38.0,33.3,77.9,27.4,15.1,48.5,NorthApulia
39.3,15.4,39.2,26.4,79.5,30.0,7.5,61.2,NorthApulia
75.0,20.8,37.9,38.9,74.3,37.2,16.6,58.3,NorthApulia
55.4,29.3,41.2,66.7,67.7,27.8,20.8,74.8,NorthApulia
53.6,20.3,23.6,54.2,81.4,40.8,14.0,74.8,NorthApulia
69.6,32.5,30.4,66.7,70.9,45.7,12.8,70.9,NorthApulia
48.2,36.0,48.4,41.7,61.9,22.0,31.3,56.3,NorthApulia
51.8,33.3,29.6,55.6,73.0,13.9,29.8,70.9,NorthApulia
46.4,49.8,59.4,59.7,49.5,23.8,20.4,66.0,NorthApulia
50.0,28.8,31.2,61.1,78.6,19.3,20.8,70.9,NorthApulia
55.4,28.2,30.4,56.9,72.0,47.5,23.4,73.8,NorthApulia
76.8,26.2,41.2,75.0,66.0,37.7,19.6,78.6,NorthApulia
67.9,22.6,34.2,75.0,71.4,61.0,11.7,81.6,NorthApulia
87.5,24.7,39.6,72.2,66.5,42.6,14.3,84.5,NorthApulia
42.9,25.0,40.4,55.6,74.7,36.8,9.1,69.9,NorthApulia
64.3,24.3,40.4,62.5,70.1,41.7,11.3,77.7,NorthApulia
50.0,49.1,63.2,56.9,41.4,29.1,45.7,59.2,Calabria
28.6,41.7,66.6,59.7,44.3,42.2,37.7,59.2,Calabria
37.5,48.1,68.3,61.1,39.2,53.8,36.2,60.2,Calabria
64.3,44.5,60.9,56.9,45.2,41.7,35.5,58.3,Calabria
69.6,43.4,59.1,52.8,46.7,28.3,40.0,64.1,Calabria
64.3,45.7,64.5,66.7,37.1,74.4,39.6,66.0,Calabria
58.9,41.3,62.1,61.1,45.4,39.9,40.4,68.0,Calabria
33.9,36.4,64.9,63.9,49.1,16.6,37.4,68.0,Calabria
44.6,36.7,61.2,52.8,47.8,45.3,38.1,65.0,Calabria
46.4,34.2,54.3,72.2,54.1,30.9,34.7,66.0,Calabria
46.4,37.3,56.4,58.3,51.9,58.7,21.5,63.1,Calabria
60.7,36.3,60.0,76.4,48.5,41.3,43.0,61.2,Calabria
55.4,38.4,56.7,61.1,47.3,72.2,34.7,62.1,Calabria
60.7,40.9,66.3,63.9,43.1,37.7,34.3,70.9,Calabria
46.4,41.3,57.8,65.3,50.0,34.1,32.8,60.2,Calabria
41.1,42.0,57.9,62.5,44.5,71.7,40.0,61.2,Calabria
62.5,47.0,61.7,63.9,40.8,57.0,41.1,57.3,Calabria
69.6,43.9,65.2,68.1,39.3,60.5,38.5,61.2,Calabria
42.9,30.2,63.4,62.5,49.8,66.4,30.6,50.5,Calabria
53.6,38.3,60.6,63.9,49.8,28.3,38.5,57.3,Calabria
39.3,33.1,57.2,61.1,51.8,41.3,38.9,67.0,Calabria
32.1,48.0,62.4,54.2,41.1,48.0,43.8,65.0,Calabria
51.8,46.7,53.6,62.5,45.5,66.8,35.5,61.2,Calabria
25.0,32.5,66.6,54.2,45.6,89.2,31.3,52.4,Calabria
48.2,28.9,58.3,59.7,53.8,49.8,30.9,65.0,Calabria
37.5,33.2,61.2,59.7,47.9,71.3,31.7,63.1,Calabria
44.6,41.5,58.8,56.9,45.4,57.0,38.1,68.0,Calabria
39.3,31.6,59.4,58.3,51.1,80.7,27.2,49.5,Calabria
46.4,36.3,51.0,63.9,51.7,71.3,36.6,53.4,Calabria
50.0,37.2,68.6,51.4,44.6,52.0,35.8,56.3,Calabria
37.5,16.6,50.9,50.0,60.7,62.8,49.4,47.6,Calabria
42.9,36.2,57.9,69.4,50.0,30.0,52.1,66.0,Calabria
30.4,18.1,52.3,34.7,63.5,39.0,45.7,51.5,Calabria
42.9,16.4,54.7,47.2,64.4,35.9,44.9,45.6,Calabria
41.1,46.5,64.8,52.8,42.2,25.1,57.0,65.0,Calabria
51.8,18.6,46.4,59.7,63.6,39.5,53.6,56.3,Calabria
41.1,15.8,68.5,62.5,51.4,41.7,63.4,66.0,Calabria
25.0,30.4,71.0,56.9,45.4,47.1,42.6,53.4,Calabria
39.3,41.2,61.9,62.5,45.2,43.9,42.3,64.1,Calabria
46.4,24.9,67.7,58.3,50.0,43.9,39.6,64.1,Calabria
28.6,39.8,64.5,50.0,47.1,40.4,37.0,56.3,Calabria
60.7,40.0,70.3,59.7,40.9,38.6,51.3,68.0,Calabria
69.6,36.7,69.3,52.8,44.4,36.8,39.2,58.3,Calabria
41.1,49.0,73.1,51.4,34.5,57.8,51.7,51.5,Calabria
46.4,33.5,71.3,59.7,41.8,65.5,41.1,64.1,Calabria
