1905-06,1904-05,borough,station,1906-07,1907-08,1908-09,1909-10,1910-11,1911-12,1912-13,1913-14,1914-15,1915-16,1916-17,1917-18,1918-19,1919-20,1920-21,1921-22,1922-23,1923-24,1924-25,1925-26,1926-27,1927-28,1928-29,1929-30,1930-31,1931-32,1932-33,1933-34,1934-35,1935-36,1936-37,1937-38,1938-39,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4529978,9237805,9584100,8617780,8484988,8075481,8103250,8694840,8952039,9940377,11269074,12600305,11403079,9711847,8742371,8493197,7669942,7830757,7856646,7406956,7042157,7282447,7324138,7608247,8218656,8576269,9106292,9687043,9498447,9298901,8760470,8498237,8840251,8817768,8495582,8233058,8314967,8344202,8164260,8149871,8233562,8339860,8650908,8517634,8180520,8312995,8162558,8054556,8917718,9990900,11054806,9527198,6873815,6521454,6626770,6846932,7266956,7195174,6791732,6259166,5559616,5222005,4901361,4819535,4935950,4673331,4724794,5219809,5567840,6424541,8814107,7834834,7370148,6852292,6507639,6397316,6511178,6498435,6676748,6832753,6790092,6611299,6655236,6330065,6152872,6411940,6828454,6805137
1901912,0,1,2,2362573,2290627,1838619,1878234,1650818,1640573,1756623,1900484,1801198,1835515,2116290,2721401,3433529,4236273,4680700,4297320,4422705,4513657,4441577,4581829,4471000,4872478,4881206,5113420,5014343,4615294,4179347,4236981,4262139,4458329,4667317,4663625,4953183,6247995,6798492,8003489,8348200,8522905,8190538,7167468,6628617,6435540,6221811,6054565,6392348,6181508,5612301,4906612,4556808,4518180,4643616,4645351,4672091,4747883,4997097,5165099,5098550,5126304,4181241,3866682,4083992,4016912,4159974,4121275,3463989,3560133,3382813,3239198,868123,3370511,4770904,4423676,4024960,3598661,3446787,3412309,3332380,3023567,3283790,3417029,3292802,3466522,3853817,3576642,3412601,3236365,3041913,2778196,2492296,2652853,2686775,2696710,2620431,2628849,2873535,2909880,2970027,3441359,3700226,3657758
0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1164097,1794754,1953110,1907536,1969406,1958971,1940504,1939845,1946893,2170870,2312954,2555979,2271914,2077534,1879657,2020037,1927609,2024202,2108345,2020880,2047415,2364000,2494223,2630304,3137164,3269769,3229363,2867805,2677645,2499624,2093881,2071999,2101984,2052697,1869993,1706019,1672963,1722572,1674218,1612494,1753319,1838240,2027400,2062906,2008262,2019472,1934233,1924626,2060465,2064163,2078540,1909373,1899403,1998298,1956366,1687908,419547,953412,1313073,1158258,1068313,950915,928148,919567,970928,1028243,996875,1000718,1007389,1186763,1798214,1571045,1529283,1381501,1321780,1194469,1081575,1037596,1026327,1022706,890849,870939,954157,956235,953055,1179053,1270910,1282917
0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4241822,7296993,8658480,8780079,8998215,9160905,9217798,9478032,9665703,10581374,10478758,10757492,10063791,9090268,7428421,7093725,6924773,6896190,6937409,6758487,6871491,6983419,6756558,7605492,8553606,7972703,7496755,6760303,6134047,5422015,4362338,4005505,3835260,3521141,3212409,2900748,2812702,2817958,2708257,2519003,2436628,2538004,2601940,2602898,2518718,2460361,2205919,1840362,1494283,1029546,650481,554524,0,0,0,0,0,3890324,5400819,4913073,4324642,3981350,3829175,3683379,3676340,3272321,3586238,3643642,3490934,3506881,492677,519296,751829,1508102,1568253,1261183,1296970,1271348,1294681,1325488,1432528,1488220,1689287,1764217,1757909,2242308,2685020,2956571
0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3727331,5427099,6487500,6682000,7062263,7246140,7252197,7343874,7259414,7649388,7426403,7478458,7564577,7241329,6004916,5670213,5523457,5433486,5143538,4882082,5035068,4955924,4746570,5071349,4988846,5019166,5179172,5507895,5357042,5047124,4531167,4441911,4207262,4100122,3925835,3709023,3664563,3661918,3505498,3379465,3137570,3193198,3139631,3117870,2997264,2981173,2787493,2551205,2466615,2611054,2788509,2716400,5186126,5219959,5024961,4907665,4143184,4518907,4716972,4980515,4146877,3756963,3769572,3614584,3657360,3793523,3823356,3863181,3917954,3944692,2556502,2360524,2266295,2156039,2043856,1986649,1963260,2028350,2124311,2112572,2146381,2134212,2914325,3039937,3142187,3321017,3468410,3751443
0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1140847,2043617,2284004,2183205,2242205,2305797,2393880,2504575,2454396,2614200,2559764,2618609,2374436,2225125,1846576,1689347,1564742,1601716,1494017,1407554,1436033,1461913,1436332,1467608,1514841,1469147,1577354,1627136,1560882,1533330,1349243,1377802,1384545,1366038,1302441,1259475,1167716,1178959,1163486,1123198,1152332,1205292,1236846,1250615,1192470,1187434,1099032,1040394,1019505,1003660,1000595,909626,1706180,1764649,1736731,1765348,2119136,1997511,1848300,1637161,1504541,1461651,1454371,1341396,1287082,1240676,1232651,1260856,1278662,1167103,803784,786574,786331,743394,691320,730471,742855,770437,790153,717950,662643,627558,631238,665040,721483,832493,1014720,1099183
0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1141517,1984351,2358320,2370994,2521257,2552666,2621372,2659204,2606379,2878522,2951342,3493959,3883820,3703664,3094090,2961548,2884296,3027294,2864934,2621850,2687554,2738887,2812076,3039329,3400254,3383309,3255988,3106343,2873385,2558414,2278760,2287726,2340793,2221987,2221928,2018820,1986066,1976200,1958852,1835832,1825980,1868476,1899940,1860797,1679482,1702088,1582711,1493457,1528272,1510362,1509882,1361045,1708412,1808762,1810452,1735003,1845972,1895864,1919929,1726845,1609742,1510897,1490267,1343874,1318340,1215072,1160635,1163964,1268229,1403477,1203396,1109288,1385877,931592,818309,823752,851813,874958,867337,1139141,868144,857335,908735,923625,935217,1074855,1210973,1300549
0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1474565,2731404,3320270,3541025,3876564,3865862,3933266,4144586,4419834,5392859,6311546,6689337,6277098,5672760,4603980,4466397,4318017,4394929,4202232,3794172,3759569,3925789,4038561,4596039,5121737,5304051,4734389,4330596,4172095,3871311,3412986,3394397,3464217,3452432,3368003,3161774,3158366,3114596,3272338,3112812,3267290,3354431,3477224,3631926,3590157,3411254,3255001,3164605,3271089,3155488,3241486,3108433,3800768,3924323,4076477,4141308,4216038,4149401,4224075,3932819,3503299,3017764,2912584,2627768,2438078,2451792,2491451,2573111,2622219,2685293,2828455,2725485,2469323,2297356,2072654,1980063,1937378,2002243,1921306,1751568,1710451,1635813,1783457,1817813,1865724,2069059,2377613,2688240
0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1903668,3231090,3730200,3746912,3785750,3950496,4045429,4201939,4342136,4657369,4565779,4671551,4633997,4579113,4124872,4031891,3922438,3974260,3609284,3539845,3719985,3935277,3867151,4053446,4006607,3808407,3875988,3831637,3645712,3325810,3021332,2828564,2649174,2585960,2515419,2393917,2377925,2479429,2466742,2449518,2585448,2653273,2736897,2860996,2846627,2927995,2800297,2714424,2864071,2825026,2882651,2585335,3402169,3685324,3803951,4148222,4659037,4159712,3807049,3547417,3332685,3064116,3100134,2880668,2975104,2926203,2981777,2921318,3014281,3353192,2474710,2332127,2300024,2362869,2362787,2345818,2472782,2632087,2714712,2590977,2506165,2424143,2520264,2539309,2495340,2713508,3148741,3374045
0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1484317,2575980,2901480,3008900,3222619,3235246,3260250,3402659,3336150,3618622,3523965,3577805,3317488,3305401,2770461,2492637,2404623,2542608,2447619,2228860,2331930,2495366,2360617,2423874,2538229,2372865,2325526,2402757,2250539,2202489,2040259,1942305,1876361,1856288,1787568,1673353,1763504,1780135,1668106,1616653,1767550,1891573,1902061,1960033,1988373,2005078,1942841,1897481,1918493,1960411,1997029,1826719,2446479,2477803,2526155,2474448,2652564,2572880,2644363,2418870,2157392,1891859,1851206,1668750,1547822,1401518,1245663,1268941,1400330,1528959,1690924,1567413,1483482,1401707,1315641,1262493,1233718,1242841,1269621,1143774,1067221,987363,1034806,1017613,993363,1069498,1284825,1428469
