borough,1938-39,1945,1935-36,1985,1915-16,1911-12,1940,1942,1972,1905-06,1921-22,1932-33,1988,1947,1997,1963,1918-19,1978,1969,1990,1953,1908-09,1995,1929-30,1961,1912-13,1970,1996,1926-27,1975,1984,1924-25,1950,1973,2005,1914-15,1931-32,1965,1933-34,1943,1907-08,1919-20,1948,1959,2006,1946,2002,1974,1957,1923-24,1954,1967,1951,1904-05,1928-29,1987,1966,2004,1909-10,1920-21,2000,1925-26,1930-31,1991,1981,1949,1910-11,1998,1976,1937-38,1962,1916-17,2001,1960,1994,1936-37,1958,station,1979,1977,1944,1956,1983,1992,1986,1952,1922-23,1913-14,1941,1968,1964,1989,2003,1934-35,1999,1917-18,1971,1980,1906-07,1982,1927-28,1955,1993
1,7042157,9106292,7830757,6152872,0,0,7282447,7608247,7834834,0,8617780,8742371,6805137,9498447,5222005,8180520,4529978,6498435,11054806,5567840,8495582,0,4819535,12600305,8650908,0,9527198,4901361,8952039,6507639,6330065,8103250,8498237,7370148,6521454,0,9711847,8162558,8493197,8218656,0,9237805,9298901,8233562,6873815,9687043,7266956,6852292,8164260,8075481,8233058,8917718,8840251,0,11269074,6828454,8054556,6626770,0,9584100,6791732,8694840,11403079,5219809,6790092,8760470,0,5559616,6397316,7406956,8517634,0,7195174,8339860,4935950,7856646,8149871,1,6676748,6511178,8576269,8344202,6655236,4724794,6411940,8817768,8484988,0,7324138,9990900,8312995,6424541,6846932,7669942,6259166,0,8814107,6832753,0,6611299,9940377,8314967,4673331
1,4953183,8190538,4458329,2970027,1835515,1640573,6247995,8003489,3576642,1901912,4297320,4179347,3657758,6628617,3598661,5098550,3433529,2652853,4159974,3292802,5612301,1838619,3412309,5113420,4997097,1756623,4121275,3446787,4471000,3041913,2909880,4441577,6054565,3412601,3560133,1801198,4615294,4181241,4236981,8348200,2290627,4236273,6435540,4672091,3463989,7167468,868123,3236365,4643616,4513657,4906612,4083992,6392348,0,4881206,3700226,3866682,3382813,1878234,4680700,4770904,4581829,5014343,3417029,2620431,6221811,1650818,4024960,2778196,4663625,5165099,2116290,3370511,4747883,3332380,4667317,4645351,2,2686775,2492296,8522905,4518180,2873535,3283790,3441359,6181508,4422705,1900484,6798492,4016912,5126304,3466522,3239198,4262139,4423676,2721401,3853817,2696710,2362573,2628849,4872478,4556808,3023567
1,2047415,3229363,2024202,953055,0,0,2364000,2630304,1571045,0,1907536,1879657,1282917,2677645,950915,2008262,1164097,1037596,2078540,1007389,1869993,0,919567,2555979,2027400,0,1909373,928148,1946893,1321780,956235,1940504,2071999,1529283,1998298,0,2077534,1934233,2020037,3137164,0,1794754,2499624,1753319,1899403,2867805,419547,1381501,1674218,1958971,1706019,2060465,2101984,0,2312954,1270910,1924626,1956366,0,1953110,1313073,1939845,2271914,1000718,890849,2093881,0,1068313,1194469,2020880,2062906,0,953412,1838240,970928,2108345,1612494,3,1026327,1081575,3269769,1722572,954157,996875,1179053,2052697,1969406,0,2494223,2064163,2019472,1186763,1687908,1927609,1158258,0,1798214,1022706,0,870939,2170870,1672963,1028243
1,6871491,7496755,6896190,1757909,0,0,6983419,7605492,519296,0,8780079,7428421,2956571,6134047,3981350,2518718,4241822,1271348,650481,3490934,3212409,0,3683379,10757492,2601940,0,554524,3829175,9665703,1568253,1764217,9217798,4005505,751829,0,0,9090268,2205919,7093725,8553606,0,7296993,5422015,2436628,0,6760303,0,1508102,2708257,9160905,2900748,1494283,3835260,0,10478758,2685020,1840362,0,0,8658480,5400819,9478032,10063791,3643642,1432528,4362338,0,4324642,1261183,6758487,2602898,0,3890324,2538004,3676340,6937409,2519003,4,1294681,1296970,7972703,2817958,1689287,3586238,2242308,3521141,8998215,0,6756558,1029546,2460361,3506881,0,6924773,4913073,0,492677,1325488,0,1488220,10581374,2812702,3272321
1,5035068,5179172,5433486,3142187,0,0,4955924,5071349,2360524,0,6682000,6004916,3751443,5357042,3756963,2997264,3727331,2028350,2788509,3917954,3925835,0,3614584,7478458,3139631,0,2716400,3769572,7259414,2043856,3039937,7252197,4441911,2266295,5219959,0,7241329,2787493,5670213,4988846,0,5427099,5047124,3137570,5186126,5507895,4143184,2156039,3505498,7246140,3709023,2466615,4207262,0,7426403,3468410,2551205,5024961,0,6487500,4716972,7343874,7564577,3863181,2146381,4531167,0,4146877,1986649,4882082,3117870,0,4518907,3193198,3657360,5143538,3379465,5,2124311,1963260,5019166,3661918,2914325,3823356,3321017,4100122,7062263,0,4746570,2611054,2981173,3944692,4907665,5523457,4980515,0,2556502,2112572,0,2134212,7649388,3664563,3793523
1,1436033,1577354,1601716,721483,0,0,1461913,1467608,786574,0,2183205,1846576,1099183,1560882,1461651,1192470,1140847,770437,1000595,1278662,1302441,0,1341396,2618609,1236846,0,909626,1454371,2454396,691320,665040,2393880,1377802,786331,1764649,0,2225125,1099032,1689347,1514841,0,2043617,1533330,1152332,1706180,1627136,2119136,743394,1163486,2305797,1259475,1019505,1384545,0,2559764,1014720,1040394,1736731,0,2284004,1848300,2504575,2374436,1260856,662643,1349243,0,1504541,730471,1407554,1250615,0,1997511,1205292,1287082,1494017,1123198,6,790153,742855,1469147,1178959,631238,1232651,832493,1366038,2242205,0,1436332,1003660,1187434,1167103,1765348,1564742,1637161,0,803784,717950,0,627558,2614200,1167716,1240676
1,2687554,3255988,3027294,935217,0,0,2738887,3039329,1109288,0,2370994,3094090,1300549,2873385,1510897,1679482,1141517,874958,1509882,1268229,2221928,0,1343874,3493959,1899940,0,1361045,1490267,2606379,818309,923625,2621372,2287726,1385877,1808762,0,3703664,1582711,2961548,3400254,0,1984351,2558414,1825980,1708412,3106343,1845972,931592,1958852,2552666,2018820,1528272,2340793,0,2951342,1210973,1493457,1810452,0,2358320,1919929,2659204,3883820,1163964,868144,2278760,0,1609742,823752,2621850,1860797,0,1895864,1868476,1318340,2864934,1835832,7,867337,851813,3383309,1976200,908735,1160635,1074855,2221987,2521257,0,2812076,1510362,1702088,1403477,1735003,2884296,1726845,0,1203396,1139141,0,857335,2878522,1986066,1215072
1,3759569,4734389,4394929,1865724,0,0,3925789,4596039,2725485,0,3541025,4603980,2688240,4172095,3017764,3590157,1474565,2002243,3241486,2622219,3368003,0,2627768,6689337,3477224,0,3108433,2912584,4419834,2072654,1817813,3933266,3394397,2469323,3924323,0,5672760,3255001,4466397,5121737,0,2731404,3871311,3267290,3800768,4330596,4216038,2297356,3272338,3865862,3161774,3271089,3464217,0,6311546,2377613,3164605,4076477,0,3320270,4224075,4144586,6277098,2573111,1710451,3412986,0,3503299,1980063,3794172,3631926,0,4149401,3354431,2438078,4202232,3112812,8,1921306,1937378,5304051,3114596,1783457,2491451,2069059,3452432,3876564,0,4038561,3155488,3411254,2685293,4141308,4318017,3932819,0,2828455,1751568,0,1635813,5392859,3158366,2451792
1,3719985,3875988,3974260,2495340,0,0,3935277,4053446,2332127,0,3746912,4124872,3374045,3645712,3064116,2846627,1903668,2632087,2882651,3014281,2515419,0,2880668,4671551,2736897,0,2585335,3100134,4342136,2362787,2539309,4045429,2828564,2300024,3685324,0,4579113,2800297,4031891,4006607,0,3231090,3325810,2585448,3402169,3831637,4659037,2362869,2466742,3950496,2393917,2864071,2649174,0,4565779,3148741,2714424,3803951,0,3730200,3807049,4201939,4633997,2921318,2506165,3021332,0,3332685,2345818,3539845,2860996,0,4159712,2653273,2975104,3609284,2449518,9,2714712,2472782,3808407,2479429,2520264,2981777,2713508,2585960,3785750,0,3867151,2825026,2927995,3353192,4148222,3922438,3547417,0,2474710,2590977,0,2424143,4657369,2377925,2926203
1,2331930,2325526,2542608,993363,0,0,2495366,2423874,1567413,0,3008900,2770461,1428469,2250539,1891859,1988373,1484317,1242841,1997029,1400330,1787568,0,1668750,3577805,1902061,0,1826719,1851206,3336150,1315641,1017613,3260250,1942305,1483482,2477803,0,3305401,1942841,2492637,2538229,0,2575980,2202489,1767550,2446479,2402757,2652564,1401707,1668106,3235246,1673353,1918493,1876361,0,3523965,1284825,1897481,2526155,0,2901480,2644363,3402659,3317488,1268941,1067221,2040259,0,2157392,1262493,2228860,1960033,0,2572880,1891573,1547822,2447619,1616653,10,1269621,1233718,2372865,1780135,1034806,1245663,1069498,1856288,3222619,0,2360617,1960411,2005078,1528959,2474448,2404623,2418870,0,1690924,1143774,0,987363,3618622,1763504,1401518
