station,1904-05,1905-06,1906-07,1916-17,1908-09,1915-16,1917-18,1911-12,1912-13,1918-19,1929-30,1930-31,1928-29,1919-20,1926-27,1946,1925-26,1923-24,1921-22,1932-33,1933-34,1944,1942,1949,2002,2003,2000,1992,1991,1993,1990,1994,1995,1996,1976,1977,1997,1982,1984,1985,1983,1980,1981,1978,1989,1986,1979,1987,1988,1975,1974,1973,1972,1998,1971,1999,1970,1966,1968,1967,1969,1965,1963,1958,1959,1961,1960,1962,1957,1964,1956,1955,1954,2001,2004,2005,2006,1953,1952,1951,1950,1920-21,1922-23,1924-25,1914-15,1913-14,1941,1948,1934-35,1935-36,1937-38,1938-39,1936-37,1940,1931-32,1943,1945,1927-28,1947,1910-11,1909-10,1907-08,borough
1,0,0,0,0,0,0,0,0,0,4529978,12600305,11403079,11269074,9237805,8952039,9687043,8694840,8075481,8617780,8742371,8493197,8576269,7608247,8760470,7266956,6846932,6791732,4724794,5219809,4673331,5567840,4935950,4819535,4901361,6397316,6511178,5222005,6611299,6330065,6152872,6655236,6832753,6790092,6498435,6424541,6411940,6676748,6828454,6805137,6507639,6852292,7370148,7834834,5559616,8814107,6259166,9527198,8054556,9990900,8917718,11054806,8162558,8180520,8149871,8233562,8650908,8339860,8517634,8164260,8312995,8344202,8314967,8233058,7195174,6626770,6521454,6873815,8495582,8817768,8840251,8498237,9584100,8484988,8103250,0,0,7324138,9298901,7669942,7830757,7406956,7042157,7856646,7282447,9711847,8218656,9106292,9940377,9498447,0,0,0,1
2,0,1901912,2362573,2116290,1838619,1835515,2721401,1640573,1756623,3433529,5113420,5014343,4881206,4236273,4471000,7167468,4581829,4513657,4297320,4179347,4236981,8522905,8003489,6221811,868123,3239198,4770904,3283790,3417029,3023567,3292802,3332380,3412309,3446787,2778196,2492296,3598661,2628849,2909880,2970027,2873535,2696710,2620431,2652853,3466522,3441359,2686775,3700226,3657758,3041913,3236365,3412601,3576642,4024960,3853817,4423676,4121275,3866682,4016912,4083992,4159974,4181241,5098550,4645351,4672091,4997097,4747883,5165099,4643616,5126304,4518180,4556808,4906612,3370511,3382813,3560133,3463989,5612301,6181508,6392348,6054565,4680700,4422705,4441577,1801198,1900484,6798492,6435540,4262139,4458329,4663625,4953183,4667317,6247995,4615294,8348200,8190538,4872478,6628617,1650818,1878234,2290627,1
3,0,0,0,0,0,0,0,0,0,1164097,2555979,2271914,2312954,1794754,1946893,2867805,1939845,1958971,1907536,1879657,2020037,3269769,2630304,2093881,419547,1687908,1313073,996875,1000718,1028243,1007389,970928,919567,928148,1194469,1081575,950915,870939,956235,953055,954157,1022706,890849,1037596,1186763,1179053,1026327,1270910,1282917,1321780,1381501,1529283,1571045,1068313,1798214,1158258,1909373,1924626,2064163,2060465,2078540,1934233,2008262,1612494,1753319,2027400,1838240,2062906,1674218,2019472,1722572,1672963,1706019,953412,1956366,1998298,1899403,1869993,2052697,2101984,2071999,1953110,1969406,1940504,0,0,2494223,2499624,1927609,2024202,2020880,2047415,2108345,2364000,2077534,3137164,3229363,2170870,2677645,0,0,0,1
4,0,0,0,0,0,0,0,0,0,4241822,10757492,10063791,10478758,7296993,9665703,6760303,9478032,9160905,8780079,7428421,7093725,7972703,7605492,4362338,0,0,5400819,3586238,3643642,3272321,3490934,3676340,3683379,3829175,1261183,1296970,3981350,1488220,1764217,1757909,1689287,1325488,1432528,1271348,3506881,2242308,1294681,2685020,2956571,1568253,1508102,751829,519296,4324642,492677,4913073,554524,1840362,1029546,1494283,650481,2205919,2518718,2519003,2436628,2601940,2538004,2602898,2708257,2460361,2817958,2812702,2900748,3890324,0,0,0,3212409,3521141,3835260,4005505,8658480,8998215,9217798,0,0,6756558,5422015,6924773,6896190,6758487,6871491,6937409,6983419,9090268,8553606,7496755,10581374,6134047,0,0,0,1
5,0,0,0,0,0,0,0,0,0,3727331,7478458,7564577,7426403,5427099,7259414,5507895,7343874,7246140,6682000,6004916,5670213,5019166,5071349,4531167,4143184,4907665,4716972,3823356,3863181,3793523,3917954,3657360,3614584,3769572,1986649,1963260,3756963,2134212,3039937,3142187,2914325,2112572,2146381,2028350,3944692,3321017,2124311,3468410,3751443,2043856,2156039,2266295,2360524,4146877,2556502,4980515,2716400,2551205,2611054,2466615,2788509,2787493,2997264,3379465,3137570,3139631,3193198,3117870,3505498,2981173,3661918,3664563,3709023,4518907,5024961,5219959,5186126,3925835,4100122,4207262,4441911,6487500,7062263,7252197,0,0,4746570,5047124,5523457,5433486,4882082,5035068,5143538,4955924,7241329,4988846,5179172,7649388,5357042,0,0,0,1
6,0,0,0,0,0,0,0,0,0,1140847,2618609,2374436,2559764,2043617,2454396,1627136,2504575,2305797,2183205,1846576,1689347,1469147,1467608,1349243,2119136,1765348,1848300,1232651,1260856,1240676,1278662,1287082,1341396,1454371,730471,742855,1461651,627558,665040,721483,631238,717950,662643,770437,1167103,832493,790153,1014720,1099183,691320,743394,786331,786574,1504541,803784,1637161,909626,1040394,1003660,1019505,1000595,1099032,1192470,1123198,1152332,1236846,1205292,1250615,1163486,1187434,1178959,1167716,1259475,1997511,1736731,1764649,1706180,1302441,1366038,1384545,1377802,2284004,2242205,2393880,0,0,1436332,1533330,1564742,1601716,1407554,1436033,1494017,1461913,2225125,1514841,1577354,2614200,1560882,0,0,0,1
7,0,0,0,0,0,0,0,0,0,1141517,3493959,3883820,2951342,1984351,2606379,3106343,2659204,2552666,2370994,3094090,2961548,3383309,3039329,2278760,1845972,1735003,1919929,1160635,1163964,1215072,1268229,1318340,1343874,1490267,823752,851813,1510897,857335,923625,935217,908735,1139141,868144,874958,1403477,1074855,867337,1210973,1300549,818309,931592,1385877,1109288,1609742,1203396,1726845,1361045,1493457,1510362,1528272,1509882,1582711,1679482,1835832,1825980,1899940,1868476,1860797,1958852,1702088,1976200,1986066,2018820,1895864,1810452,1808762,1708412,2221928,2221987,2340793,2287726,2358320,2521257,2621372,0,0,2812076,2558414,2884296,3027294,2621850,2687554,2864934,2738887,3703664,3400254,3255988,2878522,2873385,0,0,0,1
8,0,0,0,0,0,0,0,0,0,1474565,6689337,6277098,6311546,2731404,4419834,4330596,4144586,3865862,3541025,4603980,4466397,5304051,4596039,3412986,4216038,4141308,4224075,2491451,2573111,2451792,2622219,2438078,2627768,2912584,1980063,1937378,3017764,1635813,1817813,1865724,1783457,1751568,1710451,2002243,2685293,2069059,1921306,2377613,2688240,2072654,2297356,2469323,2725485,3503299,2828455,3932819,3108433,3164605,3155488,3271089,3241486,3255001,3590157,3112812,3267290,3477224,3354431,3631926,3272338,3411254,3114596,3158366,3161774,4149401,4076477,3924323,3800768,3368003,3452432,3464217,3394397,3320270,3876564,3933266,0,0,4038561,3871311,4318017,4394929,3794172,3759569,4202232,3925789,5672760,5121737,4734389,5392859,4172095,0,0,0,1
9,0,0,0,0,0,0,0,0,0,1903668,4671551,4633997,4565779,3231090,4342136,3831637,4201939,3950496,3746912,4124872,4031891,3808407,4053446,3021332,4659037,4148222,3807049,2981777,2921318,2926203,3014281,2975104,2880668,3100134,2345818,2472782,3064116,2424143,2539309,2495340,2520264,2590977,2506165,2632087,3353192,2713508,2714712,3148741,3374045,2362787,2362869,2300024,2332127,3332685,2474710,3547417,2585335,2714424,2825026,2864071,2882651,2800297,2846627,2449518,2585448,2736897,2653273,2860996,2466742,2927995,2479429,2377925,2393917,4159712,3803951,3685324,3402169,2515419,2585960,2649174,2828564,3730200,3785750,4045429,0,0,3867151,3325810,3922438,3974260,3539845,3719985,3609284,3935277,4579113,4006607,3875988,4657369,3645712,0,0,0,1
10,0,0,0,0,0,0,0,0,0,1484317,3577805,3317488,3523965,2575980,3336150,2402757,3402659,3235246,3008900,2770461,2492637,2372865,2423874,2040259,2652564,2474448,2644363,1245663,1268941,1401518,1400330,1547822,1668750,1851206,1262493,1233718,1891859,987363,1017613,993363,1034806,1143774,1067221,1242841,1528959,1069498,1269621,1284825,1428469,1315641,1401707,1483482,1567413,2157392,1690924,2418870,1826719,1897481,1960411,1918493,1997029,1942841,1988373,1616653,1767550,1902061,1891573,1960033,1668106,2005078,1780135,1763504,1673353,2572880,2526155,2477803,2446479,1787568,1856288,1876361,1942305,2901480,3222619,3260250,0,0,2360617,2202489,2404623,2542608,2228860,2331930,2447619,2495366,3305401,2538229,2325526,3618622,2250539,0,0,0,1
