1927-28,1967,1943,1949,1952,1985,1911-12,1915-16,1908-09,1904-05,1938-39,1912-13,1975,1974,1946,1926-27,1999,1948,1906-07,1947,1930-31,1934-35,1956,1920-21,1941,1981,borough,1933-34,1988,1984,1936-37,1960,1937-38,1978,1989,2005,1905-06,1998,1970,1986,1954,1951,1964,1996,1919-20,1922-23,1955,station,1993,2000,1991,1980,1969,1958,2003,1907-08,1924-25,1945,1972,1965,1968,1957,1971,1987,1992,1976,1910-11,1997,1917-18,2006,1935-36,1923-24,1950,1962,1979,1916-17,1913-14,1963,2004,1929-30,1961,2002,1944,1982,1925-26,1932-33,1994,1940,1990,1966,1953,1942,2001,1918-19,1995,1973,1931-32,1921-22,1959,1928-29,1977,1909-10,1983,1914-15
9940377,8917718,8218656,8760470,8817768,6152872,0,0,0,0,7042157,0,6507639,6852292,9687043,8952039,6259166,9298901,0,9498447,11403079,7669942,8344202,9584100,7324138,6790092,1,8493197,6805137,6330065,7856646,8339860,7406956,6498435,6424541,6521454,0,5559616,9527198,6411940,8233058,8840251,8312995,4901361,9237805,8484988,8314967,1,4673331,6791732,5219809,6832753,11054806,8149871,6846932,0,8103250,9106292,7834834,8162558,9990900,8164260,8814107,6828454,4724794,6397316,0,5222005,0,6873815,7830757,8075481,8498237,8517634,6676748,0,0,8180520,6626770,12600305,8650908,7266956,8576269,6611299,8694840,8742371,4935950,7282447,5567840,8054556,8495582,7608247,7195174,4529978,4819535,7370148,9711847,8617780,8233562,11269074,6511178,0,6655236,0
4872478,4083992,8348200,6221811,6181508,2970027,1640573,1835515,1838619,0,4953183,1756623,3041913,3236365,7167468,4471000,4423676,6435540,2362573,6628617,5014343,4262139,4518180,4680700,6798492,2620431,1,4236981,3657758,2909880,4667317,4747883,4663625,2652853,3466522,3560133,1901912,4024960,4121275,3441359,4906612,6392348,5126304,3446787,4236273,4422705,4556808,2,3023567,4770904,3417029,2696710,4159974,4645351,3239198,2290627,4441577,8190538,3576642,4181241,4016912,4643616,3853817,3700226,3283790,2778196,1650818,3598661,2721401,3463989,4458329,4513657,6054565,5165099,2686775,2116290,1900484,5098550,3382813,5113420,4997097,868123,8522905,2628849,4581829,4179347,3332380,6247995,3292802,3866682,5612301,8003489,3370511,3433529,3412309,3412601,4615294,4297320,4672091,4881206,2492296,1878234,2873535,1801198
2170870,2060465,3137164,2093881,2052697,953055,0,0,0,0,2047415,0,1321780,1381501,2867805,1946893,1158258,2499624,0,2677645,2271914,1927609,1722572,1953110,2494223,890849,1,2020037,1282917,956235,2108345,1838240,2020880,1037596,1186763,1998298,0,1068313,1909373,1179053,1706019,2101984,2019472,928148,1794754,1969406,1672963,3,1028243,1313073,1000718,1022706,2078540,1612494,1687908,0,1940504,3229363,1571045,1934233,2064163,1674218,1798214,1270910,996875,1194469,0,950915,0,1899403,2024202,1958971,2071999,2062906,1026327,0,0,2008262,1956366,2555979,2027400,419547,3269769,870939,1939845,1879657,970928,2364000,1007389,1924626,1869993,2630304,953412,1164097,919567,1529283,2077534,1907536,1753319,2312954,1081575,0,954157,0
10581374,1494283,8553606,4362338,3521141,1757909,0,0,0,0,6871491,0,1568253,1508102,6760303,9665703,4913073,5422015,0,6134047,10063791,6924773,2817958,8658480,6756558,1432528,1,7093725,2956571,1764217,6937409,2538004,6758487,1271348,3506881,0,0,4324642,554524,2242308,2900748,3835260,2460361,3829175,7296993,8998215,2812702,4,3272321,5400819,3643642,1325488,650481,2519003,0,0,9217798,7496755,519296,2205919,1029546,2708257,492677,2685020,3586238,1261183,0,3981350,0,0,6896190,9160905,4005505,2602898,1294681,0,0,2518718,0,10757492,2601940,0,7972703,1488220,9478032,7428421,3676340,6983419,3490934,1840362,3212409,7605492,3890324,4241822,3683379,751829,9090268,8780079,2436628,10478758,1296970,0,1689287,0
7649388,2466615,4988846,4531167,4100122,3142187,0,0,0,0,5035068,0,2043856,2156039,5507895,7259414,4980515,5047124,0,5357042,7564577,5523457,3661918,6487500,4746570,2146381,1,5670213,3751443,3039937,5143538,3193198,4882082,2028350,3944692,5219959,0,4146877,2716400,3321017,3709023,4207262,2981173,3769572,5427099,7062263,3664563,5,3793523,4716972,3863181,2112572,2788509,3379465,4907665,0,7252197,5179172,2360524,2787493,2611054,3505498,2556502,3468410,3823356,1986649,0,3756963,0,5186126,5433486,7246140,4441911,3117870,2124311,0,0,2997264,5024961,7478458,3139631,4143184,5019166,2134212,7343874,6004916,3657360,4955924,3917954,2551205,3925835,5071349,4518907,3727331,3614584,2266295,7241329,6682000,3137570,7426403,1963260,0,2914325,0
2614200,1019505,1514841,1349243,1366038,721483,0,0,0,0,1436033,0,691320,743394,1627136,2454396,1637161,1533330,0,1560882,2374436,1564742,1178959,2284004,1436332,662643,1,1689347,1099183,665040,1494017,1205292,1407554,770437,1167103,1764649,0,1504541,909626,832493,1259475,1384545,1187434,1454371,2043617,2242205,1167716,6,1240676,1848300,1260856,717950,1000595,1123198,1765348,0,2393880,1577354,786574,1099032,1003660,1163486,803784,1014720,1232651,730471,0,1461651,0,1706180,1601716,2305797,1377802,1250615,790153,0,0,1192470,1736731,2618609,1236846,2119136,1469147,627558,2504575,1846576,1287082,1461913,1278662,1040394,1302441,1467608,1997511,1140847,1341396,786331,2225125,2183205,1152332,2559764,742855,0,631238,0
2878522,1528272,3400254,2278760,2221987,935217,0,0,0,0,2687554,0,818309,931592,3106343,2606379,1726845,2558414,0,2873385,3883820,2884296,1976200,2358320,2812076,868144,1,2961548,1300549,923625,2864934,1868476,2621850,874958,1403477,1808762,0,1609742,1361045,1074855,2018820,2340793,1702088,1490267,1984351,2521257,1986066,7,1215072,1919929,1163964,1139141,1509882,1835832,1735003,0,2621372,3255988,1109288,1582711,1510362,1958852,1203396,1210973,1160635,823752,0,1510897,0,1708412,3027294,2552666,2287726,1860797,867337,0,0,1679482,1810452,3493959,1899940,1845972,3383309,857335,2659204,3094090,1318340,2738887,1268229,1493457,2221928,3039329,1895864,1141517,1343874,1385877,3703664,2370994,1825980,2951342,851813,0,908735,0
5392859,3271089,5121737,3412986,3452432,1865724,0,0,0,0,3759569,0,2072654,2297356,4330596,4419834,3932819,3871311,0,4172095,6277098,4318017,3114596,3320270,4038561,1710451,1,4466397,2688240,1817813,4202232,3354431,3794172,2002243,2685293,3924323,0,3503299,3108433,2069059,3161774,3464217,3411254,2912584,2731404,3876564,3158366,8,2451792,4224075,2573111,1751568,3241486,3112812,4141308,0,3933266,4734389,2725485,3255001,3155488,3272338,2828455,2377613,2491451,1980063,0,3017764,0,3800768,4394929,3865862,3394397,3631926,1921306,0,0,3590157,4076477,6689337,3477224,4216038,5304051,1635813,4144586,4603980,2438078,3925789,2622219,3164605,3368003,4596039,4149401,1474565,2627768,2469323,5672760,3541025,3267290,6311546,1937378,0,1783457,0
4657369,2864071,4006607,3021332,2585960,2495340,0,0,0,0,3719985,0,2362787,2362869,3831637,4342136,3547417,3325810,0,3645712,4633997,3922438,2479429,3730200,3867151,2506165,1,4031891,3374045,2539309,3609284,2653273,3539845,2632087,3353192,3685324,0,3332685,2585335,2713508,2393917,2649174,2927995,3100134,3231090,3785750,2377925,9,2926203,3807049,2921318,2590977,2882651,2449518,4148222,0,4045429,3875988,2332127,2800297,2825026,2466742,2474710,3148741,2981777,2345818,0,3064116,0,3402169,3974260,3950496,2828564,2860996,2714712,0,0,2846627,3803951,4671551,2736897,4659037,3808407,2424143,4201939,4124872,2975104,3935277,3014281,2714424,2515419,4053446,4159712,1903668,2880668,2300024,4579113,3746912,2585448,4565779,2472782,0,2520264,0
3618622,1918493,2538229,2040259,1856288,993363,0,0,0,0,2331930,0,1315641,1401707,2402757,3336150,2418870,2202489,0,2250539,3317488,2404623,1780135,2901480,2360617,1067221,1,2492637,1428469,1017613,2447619,1891573,2228860,1242841,1528959,2477803,0,2157392,1826719,1069498,1673353,1876361,2005078,1851206,2575980,3222619,1763504,10,1401518,2644363,1268941,1143774,1997029,1616653,2474448,0,3260250,2325526,1567413,1942841,1960411,1668106,1690924,1284825,1245663,1262493,0,1891859,0,2446479,2542608,3235246,1942305,1960033,1269621,0,0,1988373,2526155,3577805,1902061,2652564,2372865,987363,3402659,2770461,1547822,2495366,1400330,1897481,1787568,2423874,2572880,1484317,1668750,1483482,3305401,3008900,1767550,3523965,1233718,0,1034806,0
