1969,1980,1972,1928-29,1989,1959,2000,1992,1946,1922-23,1932-33,1983,1998,1914-15,1912-13,1987,1926-27,1945,1979,1963,1905-06,1978,1988,1931-32,1955,1975,1907-08,1962,1948,1921-22,1973,1960,1918-19,1925-26,1954,1909-10,1964,1997,1956,1951,1966,2006,1920-21,1942,1944,1910-11,2001,1923-24,1906-07,1943,1904-05,1933-34,1913-14,1976,1993,borough,1991,1994,1924-25,1967,1974,1981,1940,1950,1968,station,1919-20,1929-30,1953,1917-18,1985,1937-38,2002,1936-37,1947,1952,1986,1977,1911-12,1958,1996,1982,1984,1957,1935-36,2003,1938-39,1965,1971,1934-35,1916-17,1930-31,2004,1927-28,1908-09,2005,1961,1999,1995,1970,1949,1915-16,1941,1990
11054806,6832753,7834834,11269074,6424541,8233562,6791732,4724794,9687043,8484988,8742371,6655236,5559616,0,0,6828454,8952039,9106292,6676748,8180520,0,6498435,6805137,9711847,8314967,6507639,0,8517634,9298901,8617780,7370148,8339860,4529978,8694840,8233058,0,8312995,5222005,8344202,8840251,8054556,6873815,9584100,7608247,8576269,0,7195174,8075481,0,8218656,0,8493197,0,6397316,4673331,1,5219809,4935950,8103250,8917718,6852292,6790092,7282447,8498237,9990900,1,9237805,12600305,8495582,0,6152872,7406956,7266956,7856646,9498447,8817768,6411940,6511178,0,8149871,4901361,6611299,6330065,8164260,7830757,6846932,7042157,8162558,8814107,7669942,0,11403079,6626770,9940377,0,6521454,8650908,6259166,4819535,9527198,8760470,0,7324138,5567840
4159974,2696710,3576642,4881206,3466522,4672091,4770904,3283790,7167468,4422705,4179347,2873535,4024960,1801198,1756623,3700226,4471000,8190538,2686775,5098550,1901912,2652853,3657758,4615294,4556808,3041913,2290627,5165099,6435540,4297320,3412601,4747883,3433529,4581829,4906612,1878234,5126304,3598661,4518180,6392348,3866682,3463989,4680700,8003489,8522905,1650818,3370511,4513657,2362573,8348200,0,4236981,1900484,2778196,3023567,1,3417029,3332380,4441577,4083992,3236365,2620431,6247995,6054565,4016912,2,4236273,5113420,5612301,2721401,2970027,4663625,868123,4667317,6628617,6181508,3441359,2492296,1640573,4645351,3446787,2628849,2909880,4643616,4458329,3239198,4953183,4181241,3853817,4262139,2116290,5014343,3382813,4872478,1838619,3560133,4997097,4423676,3412309,4121275,6221811,1835515,6798492,3292802
2078540,1022706,1571045,2312954,1186763,1753319,1313073,996875,2867805,1969406,1879657,954157,1068313,0,0,1270910,1946893,3229363,1026327,2008262,0,1037596,1282917,2077534,1672963,1321780,0,2062906,2499624,1907536,1529283,1838240,1164097,1939845,1706019,0,2019472,950915,1722572,2101984,1924626,1899403,1953110,2630304,3269769,0,953412,1958971,0,3137164,0,2020037,0,1194469,1028243,1,1000718,970928,1940504,2060465,1381501,890849,2364000,2071999,2064163,3,1794754,2555979,1869993,0,953055,2020880,419547,2108345,2677645,2052697,1179053,1081575,0,1612494,928148,870939,956235,1674218,2024202,1687908,2047415,1934233,1798214,1927609,0,2271914,1956366,2170870,0,1998298,2027400,1158258,919567,1909373,2093881,0,2494223,1007389
650481,1325488,519296,10478758,3506881,2436628,5400819,3586238,6760303,8998215,7428421,1689287,4324642,0,0,2685020,9665703,7496755,1294681,2518718,0,1271348,2956571,9090268,2812702,1568253,0,2602898,5422015,8780079,751829,2538004,4241822,9478032,2900748,0,2460361,3981350,2817958,3835260,1840362,0,8658480,7605492,7972703,0,3890324,9160905,0,8553606,0,7093725,0,1261183,3272321,1,3643642,3676340,9217798,1494283,1508102,1432528,6983419,4005505,1029546,4,7296993,10757492,3212409,0,1757909,6758487,0,6937409,6134047,3521141,2242308,1296970,0,2519003,3829175,1488220,1764217,2708257,6896190,0,6871491,2205919,492677,6924773,0,10063791,0,10581374,0,0,2601940,4913073,3683379,554524,4362338,0,6756558,3490934
2788509,2112572,2360524,7426403,3944692,3137570,4716972,3823356,5507895,7062263,6004916,2914325,4146877,0,0,3468410,7259414,5179172,2124311,2997264,0,2028350,3751443,7241329,3664563,2043856,0,3117870,5047124,6682000,2266295,3193198,3727331,7343874,3709023,0,2981173,3756963,3661918,4207262,2551205,5186126,6487500,5071349,5019166,0,4518907,7246140,0,4988846,0,5670213,0,1986649,3793523,1,3863181,3657360,7252197,2466615,2156039,2146381,4955924,4441911,2611054,5,5427099,7478458,3925835,0,3142187,4882082,4143184,5143538,5357042,4100122,3321017,1963260,0,3379465,3769572,2134212,3039937,3505498,5433486,4907665,5035068,2787493,2556502,5523457,0,7564577,5024961,7649388,0,5219959,3139631,4980515,3614584,2716400,4531167,0,4746570,3917954
1000595,717950,786574,2559764,1167103,1152332,1848300,1232651,1627136,2242205,1846576,631238,1504541,0,0,1014720,2454396,1577354,790153,1192470,0,770437,1099183,2225125,1167716,691320,0,1250615,1533330,2183205,786331,1205292,1140847,2504575,1259475,0,1187434,1461651,1178959,1384545,1040394,1706180,2284004,1467608,1469147,0,1997511,2305797,0,1514841,0,1689347,0,730471,1240676,1,1260856,1287082,2393880,1019505,743394,662643,1461913,1377802,1003660,6,2043617,2618609,1302441,0,721483,1407554,2119136,1494017,1560882,1366038,832493,742855,0,1123198,1454371,627558,665040,1163486,1601716,1765348,1436033,1099032,803784,1564742,0,2374436,1736731,2614200,0,1764649,1236846,1637161,1341396,909626,1349243,0,1436332,1278662
1509882,1139141,1109288,2951342,1403477,1825980,1919929,1160635,3106343,2521257,3094090,908735,1609742,0,0,1210973,2606379,3255988,867337,1679482,0,874958,1300549,3703664,1986066,818309,0,1860797,2558414,2370994,1385877,1868476,1141517,2659204,2018820,0,1702088,1510897,1976200,2340793,1493457,1708412,2358320,3039329,3383309,0,1895864,2552666,0,3400254,0,2961548,0,823752,1215072,1,1163964,1318340,2621372,1528272,931592,868144,2738887,2287726,1510362,7,1984351,3493959,2221928,0,935217,2621850,1845972,2864934,2873385,2221987,1074855,851813,0,1835832,1490267,857335,923625,1958852,3027294,1735003,2687554,1582711,1203396,2884296,0,3883820,1810452,2878522,0,1808762,1899940,1726845,1343874,1361045,2278760,0,2812076,1268229
3241486,1751568,2725485,6311546,2685293,3267290,4224075,2491451,4330596,3876564,4603980,1783457,3503299,0,0,2377613,4419834,4734389,1921306,3590157,0,2002243,2688240,5672760,3158366,2072654,0,3631926,3871311,3541025,2469323,3354431,1474565,4144586,3161774,0,3411254,3017764,3114596,3464217,3164605,3800768,3320270,4596039,5304051,0,4149401,3865862,0,5121737,0,4466397,0,1980063,2451792,1,2573111,2438078,3933266,3271089,2297356,1710451,3925789,3394397,3155488,8,2731404,6689337,3368003,0,1865724,3794172,4216038,4202232,4172095,3452432,2069059,1937378,0,3112812,2912584,1635813,1817813,3272338,4394929,4141308,3759569,3255001,2828455,4318017,0,6277098,4076477,5392859,0,3924323,3477224,3932819,2627768,3108433,3412986,0,4038561,2622219
2882651,2590977,2332127,4565779,3353192,2585448,3807049,2981777,3831637,3785750,4124872,2520264,3332685,0,0,3148741,4342136,3875988,2714712,2846627,0,2632087,3374045,4579113,2377925,2362787,0,2860996,3325810,3746912,2300024,2653273,1903668,4201939,2393917,0,2927995,3064116,2479429,2649174,2714424,3402169,3730200,4053446,3808407,0,4159712,3950496,0,4006607,0,4031891,0,2345818,2926203,1,2921318,2975104,4045429,2864071,2362869,2506165,3935277,2828564,2825026,9,3231090,4671551,2515419,0,2495340,3539845,4659037,3609284,3645712,2585960,2713508,2472782,0,2449518,3100134,2424143,2539309,2466742,3974260,4148222,3719985,2800297,2474710,3922438,0,4633997,3803951,4657369,0,3685324,2736897,3547417,2880668,2585335,3021332,0,3867151,3014281
1997029,1143774,1567413,3523965,1528959,1767550,2644363,1245663,2402757,3222619,2770461,1034806,2157392,0,0,1284825,3336150,2325526,1269621,1988373,0,1242841,1428469,3305401,1763504,1315641,0,1960033,2202489,3008900,1483482,1891573,1484317,3402659,1673353,0,2005078,1891859,1780135,1876361,1897481,2446479,2901480,2423874,2372865,0,2572880,3235246,0,2538229,0,2492637,0,1262493,1401518,1,1268941,1547822,3260250,1918493,1401707,1067221,2495366,1942305,1960411,10,2575980,3577805,1787568,0,993363,2228860,2652564,2447619,2250539,1856288,1069498,1233718,0,1616653,1851206,987363,1017613,1668106,2542608,2474448,2331930,1942841,1690924,2404623,0,3317488,2526155,3618622,0,2477803,1902061,2418870,1668750,1826719,2040259,0,2360617,1400330
4227429,2492418,3238259,7878871,3513004,4101371,4263137,2930886,6917057,7206363,6060531,2413399,3554246,0,0,3071550,7559992,6144560,2718316,4432168,0,2736559,3366486,7193360,4314415,2862508,0,4472123,6198550,6712992,3111131,4209392,3726267,7493387,4292286,0,4473378,3146530,4251281,5156063,4099276,4677482,6505700,5881762,5950235,0,4507936,7425696,0,6213444,0,5818655,0,2759220,2805878,1,3096111,2895609,7305133,4138053,3009935,2400333,5988532,5431295,4179001,11,5863302,8018774,4634050,0,2436949,5336164,4547117,5605705,6610737,4887777,2686918,2685987,0,3923671,3021577,2278202,2428733,4080570,5876377,4528750,5563690,4354569,3443970,5809698,0,7752219,4680703,8103426,0,4775795,4214248,3877053,2823099,3685027,5608846,0,5827971,3219183
3163504,2034228,2450763,5228707,2462742,3737009,3381107,2134100,4399193,4250360,4737061,1860288,2714499,0,0,2205925,4651251,4082458,2214574,3767760,0,2231547,2348280,5319512,3656403,2191064,0,3871711,4111321,3985820,2407065,3788917,2414028,4475249,3585054,0,3877503,2487188,3590856,3735674,3480530,3527112,3760100,4216561,4027215,0,3521210,4480724,0,4314506,0,4518333,0,2137091,2151441,1,2184568,2195334,4379589,3418783,2260636,1916452,4631546,3909103,3262100,12,3451361,5476072,3661662,0,1846372,4230678,3601420,4534704,4224225,3736845,1990945,2118929,0,3383034,2372343,1777293,1861525,3490452,4530241,3467608,4292046,3734160,2591623,4469127,0,5632658,3575889,5216961,0,3548645,3795798,3032917,2247251,2805750,3822295,0,4513302,2236434
23476923,17275325,19017914,42922266,22608170,22039368,26533438,19167767,39705776,27772768,35743698,16606117,21163764,0,0,20588135,37974255,39417408,17490318,21640371,0,17141238,21839712,41834759,23337151,17053384,0,22296792,34688246,25009851,18024511,21833770,11812877,35596437,23634098,0,22151358,20453580,23166149,26864287,20055934,26362665,23071850,35061543,38506833,0,26331838,30151030,0,38469785,0,34052303,0,16470698,18949257,1,19656968,19320876,32073801,21041602,17886856,16738300,34241722,28267227,22296543,13,19660619,45164532,24779087,3197429,17992038,32736680,24403007,34947705,37392679,25702669,19602309,16441390,0,22108527,19826460,15867118,17224873,22582481,34646790,25995619,32804203,21160072,20606524,33941485,78121,44815915,26121651,41885547,0,26140328,22064359,23866514,19149150,21544689,30188340,0,32755969,20161926
7019253,5127230,5894995,14987394,6441811,6356037,8052456,4922490,12836775,9006800,12225562,4259429,6796214,6706761,5779724,5687276,12839957,12802236,5318127,7698778,2539327,5232262,6294209,13793117,6213519,5193416,3372351,7819520,10731074,8421140,5604707,6737398,6956450,11512037,6536259,4257346,8166504,6078360,6514803,7717905,7344246,8151244,8361200,11281510,12240998,4515030,7945115,9609140,2997231,12381286,1401068,12419747,6123949,5063367,4897304,1,5334057,5444136,9902832,7707765,5408210,4728194,12940669,8531131,7163999,14,8023553,15331473,7193866,8788417,4201689,12336221,8001597,12861021,11590636,7199480,4796353,4980374,5151297,5852845,6021033,4384197,4244464,6301989,13082954,7757002,12614299,7903265,5991245,12710937,8789017,14652628,8028430,14972058,3801050,7917491,7142673,7382893,5735733,6401323,9149313,7471350,11125314,5690976
3621226,2864046,3294026,4901245,3802228,2300818,6674250,2988891,3940202,4654494,4104049,2513941,5123117,3077626,3175022,3283814,4743430,3778040,3156701,2788283,1909781,3082281,3624418,4517711,3135392,3080491,2597381,2753155,4106171,4562358,3170506,2257240,3597198,4677289,3226834,2967937,3066936,4192746,3230523,4064841,3281569,7271724,4664400,3289536,3513327,2923407,6663749,4672818,2317689,3298409,1190387,4049179,3149653,2900271,3114587,1,3062790,3414872,4595164,3769769,3195966,2721265,3845857,4349397,3699690,15,4620261,5069281,3813162,3982061,2604239,3730803,7100640,3832141,4134894,3924602,2849574,2810087,3051168,2746853,3921194,2464673,2537160,3102973,3890863,7014265,3735627,3145856,3388011,4001783,3872227,4822009,7134810,4965566,2810044,7096701,2325240,5537605,3623849,3422930,4253003,3313690,3594165,3287908
7209982,6196678,6172905,12440741,7875862,7100453,10432954,7771752,10845180,8800476,11275740,6325439,9606988,4586406,4554314,7588887,11239575,10718172,6321871,7472407,2722326,6106818,7900270,12318296,7740251,5923229,3543596,7639278,9963515,7999500,6189723,7149908,5765025,10424272,7994184,4168404,7536789,8825757,7805804,9068514,6734335,11012939,7634700,9815700,10172514,4102000,10328830,9501141,3214327,10032023,1695750,11294619,4534330,5702640,7968864,1,7612048,8233837,9805918,6978785,6150840,6321329,10497864,9382330,7078617,16,7093532,13068597,8686542,5953202,6657350,10265978,9707887,10725994,10524549,8893256,7091977,5730372,4318215,7590615,8804571,6174191,6501156,7685370,11081723,10329897,10360582,7317016,6393351,11299367,5767629,12771236,11137535,12336072,3812091,11244174,7203548,10137956,8675876,6717017,9437609,5032619,9981906,7634672
3816742,2778565,3142134,5874291,3594092,3409230,5319045,3305804,5065109,4194553,5855156,2712163,4596009,2937630,2791125,3444088,5313756,5092768,2993831,3687830,1795345,2944287,3587501,6162519,3532271,2941908,2341001,3827165,4784663,4002852,2997914,3537685,3281880,4958877,3705674,2624023,3713881,4013559,3530141,4215493,3444868,5459723,4067780,5064488,4868280,2519827,5182170,4527790,2076268,4972681,1099084,6028521,2839600,2815477,3419185,1,3230683,3785400,4633650,3632654,3003329,2669046,5440407,4401805,3671289,17,3992286,6282757,4010478,3496035,2763757,5330396,5393711,5655076,4965727,4028550,3107005,2811802,2685157,3280992,3967906,2522302,2737654,3403218,6007981,5179463,5490511,3637533,3351848,5970278,3493973,6297781,5455810,5837301,2524858,5473507,3550321,4930167,3936748,3462462,4524191,3128235,5118951,3298215
4496812,3498440,3829106,6994433,4404689,4688550,5867038,4089947,6078730,5025263,6547574,3193496,5298715,3268020,3086511,4023076,6237249,6064127,3745962,5075800,1935662,3689880,4250956,7034859,4336650,3574027,2414111,5341069,5558779,4931504,3728038,4997692,3671061,5894539,4444883,3007357,5053169,4634393,4404633,5018210,4288885,6169110,4929200,5936917,5832639,2906264,5781073,5410534,2168270,5922484,1277819,6582625,3185790,3456273,4175068,1,4047303,4381947,5614940,4497154,3737640,3319558,6524311,5239371,4439199,18,4689421,7320919,4901108,3932518,3253005,6242586,5973398,6457707,5813826,4914410,3560185,3496745,3030883,4169931,4621975,3106626,3173135,4256353,6732660,5826800,6408073,4743721,3920625,6667828,3973482,7236448,6101130,6917711,2685473,6151020,5049408,5517024,4489309,4092450,5366953,3522094,6094381,4152674
7804440,6815993,7139132,11139759,8445763,7491080,10631201,7849039,9041971,8822547,9710763,7156634,9203047,5613331,5488811,8053172,10314383,8501482,6991799,7825345,2951906,6738659,8330881,10545854,5900210,6524636,3872348,8144629,8188602,8520078,6809033,7897947,7226143,9604833,6292286,4652791,7483040,8539737,5852031,7116635,6668805,10890386,8354602,8532728,8095666,4581128,10421716,9187587,3421044,8184863,1810312,9896413,5558385,6218791,7992268,1,7891473,8224185,9205708,7045633,6784719,6948756,9316504,7524638,7305680,19,8148340,11343157,6857513,7172799,7392052,9035784,10143062,9350220,8605718,6976941,7602775,6234121,5107772,5617839,8553758,6804273,7182869,5682732,8747365,10890582,9254253,7209096,7525390,8744855,6855413,11046878,10778786,11043437,4241721,10832956,7870466,10177648,8475540,7618937,7798879,5952094,8771963,8093702
3891695,2600469,3335932,5621331,2752802,3478246,3969127,2755314,5330734,4407059,5245554,2447511,3726939,3354764,3411816,2617560,5052276,5114623,2809940,3766111,2457156,2812177,2848629,5744709,3402373,3022479,2822191,3870581,5088624,4382700,3176376,3615367,3524450,4778814,3924155,3123688,3771507,3294388,3350821,4516822,3508795,4314609,4422400,5098449,4909449,2954935,4012609,4642631,2582514,4984402,1590843,5385815,3471284,2839625,2853778,1,2595930,3010727,4577036,3658999,3136161,2415603,5543445,4735423,3744103,20,4297202,5940675,4487683,3899689,2347923,5207885,3957080,5363361,5257749,4528568,2535515,2764934,3188298,3324999,3276885,2311939,2415268,3235106,5528666,3434373,5327835,3720229,3496872,5499493,3880950,5983643,3990553,5627329,2954849,4177667,3573533,3646596,3166125,3690564,4890701,3496661,5210953,2392038
