proline ,color_intensity,malic_acid,nonflavanoid_phenols,hue,proanthocyanins,flavanoids,total_phenols,ash,OD280/OD315,alcohol,alcalinity_of_ash,magnesium,class
1065.0,5.64,1.71,0.28,1.04,2.29,3.06,2.8,2.43,3.92,14.23,15.6,127.0,1.0
1050.0,4.38,1.78,0.26,1.05,1.28,2.76,2.65,2.14,3.4,13.2,11.2,100.0,1.0
1185.0,5.68,2.36,0.3,1.03,2.81,3.24,2.8,2.67,3.17,13.16,18.6,101.0,1.0
1480.0,7.8,1.95,0.24,0.86,2.18,3.49,3.85,2.5,3.45,14.37,16.8,113.0,1.0
735.0,4.32,2.59,0.39,1.04,1.82,2.69,2.8,2.87,2.93,13.24,21.0,118.0,1.0
1450.0,6.75,1.76,0.34,1.05,1.97,3.39,3.27,2.45,2.85,14.2,15.2,112.0,1.0
1290.0,5.25,1.87,0.3,1.02,1.98,2.52,2.5,2.45,3.58,14.39,14.6,96.0,1.0
1295.0,5.05,2.15,0.31,1.06,1.25,2.51,2.6,2.61,3.58,14.06,17.6,121.0,1.0
1045.0,5.2,1.64,0.29,1.08,1.98,2.98,2.8,2.17,2.85,14.83,14.0,97.0,1.0
1045.0,7.22,1.35,0.22,1.01,1.85,3.15,2.98,2.27,3.55,13.86,16.0,98.0,1.0
1510.0,5.75,2.16,0.22,1.25,2.38,3.32,2.95,2.3,3.17,14.1,18.0,105.0,1.0
1280.0,5.0,1.48,0.26,1.17,1.57,2.43,2.2,2.32,2.82,14.12,16.8,95.0,1.0
1320.0,5.6,1.73,0.29,1.15,1.81,2.76,2.6,2.41,2.9,13.75,16.0,89.0,1.0
1150.0,5.4,1.73,0.43,1.25,2.81,3.69,3.1,2.39,2.73,14.75,11.4,91.0,1.0
1547.0,7.5,1.87,0.29,1.2,2.96,3.64,3.3,2.38,3.0,14.38,12.0,102.0,1.0
1310.0,7.3,1.81,0.3,1.28,1.46,2.91,2.85,2.7,2.88,13.63,17.2,112.0,1.0
1280.0,6.2,1.92,0.33,1.07,1.97,3.14,2.8,2.72,2.65,14.3,20.0,120.0,1.0
1130.0,6.6,1.57,0.4,1.13,1.72,3.4,2.95,2.62,2.57,13.83,20.0,115.0,1.0
1680.0,8.7,1.59,0.32,1.23,1.86,3.93,3.3,2.48,2.82,14.19,16.5,108.0,1.0
845.0,5.1,3.1,0.17,0.96,1.66,3.03,2.7,2.56,3.36,13.64,15.2,116.0,1.0
780.0,5.65,1.63,0.24,1.09,2.1,3.17,3.0,2.28,3.71,14.06,16.0,126.0,1.0
770.0,4.5,3.8,0.25,1.03,1.98,2.41,2.41,2.65,3.52,12.93,18.6,102.0,1.0
1035.0,3.8,1.86,0.27,1.11,1.69,2.88,2.61,2.36,4.0,13.71,16.6,101.0,1.0
1015.0,3.93,1.6,0.26,1.09,1.46,2.37,2.48,2.52,3.63,12.85,17.8,95.0,1.0
845.0,3.52,1.81,0.28,1.12,1.66,2.61,2.53,2.61,3.82,13.5,20.0,96.0,1.0
830.0,3.58,2.05,0.47,1.13,1.92,2.68,2.63,3.22,3.2,13.05,25.0,124.0,1.0
1195.0,4.8,1.77,0.34,0.92,1.45,2.94,2.85,2.62,3.22,13.39,16.1,93.0,1.0
1285.0,3.95,1.72,0.27,1.02,1.35,2.19,2.4,2.14,2.77,13.3,17.0,94.0,1.0
915.0,4.5,1.9,0.37,1.25,1.76,2.97,2.95,2.8,3.4,13.87,19.4,107.0,1.0
1035.0,4.7,1.68,0.26,1.04,1.98,2.33,2.65,2.21,3.59,14.02,16.0,96.0,1.0
1285.0,5.7,1.5,0.29,1.19,2.38,3.25,3.0,2.7,2.71,13.73,22.5,101.0,1.0
1515.0,6.9,1.66,0.22,1.09,1.95,3.19,2.86,2.36,2.88,13.58,19.1,106.0,1.0
990.0,3.84,1.83,0.42,1.23,1.97,2.69,2.42,2.36,2.87,13.68,17.2,104.0,1.0
1235.0,5.4,1.53,0.5,1.25,1.35,2.74,2.95,2.7,3.0,13.76,19.5,132.0,1.0
1095.0,4.2,1.8,0.29,1.1,1.54,2.53,2.35,2.65,2.87,13.51,19.0,110.0,1.0
920.0,5.1,1.81,0.26,1.04,1.86,2.98,2.7,2.41,3.47,13.48,20.5,100.0,1.0
880.0,4.6,1.64,0.34,1.09,1.36,2.68,2.6,2.84,2.78,13.28,15.5,110.0,1.0
1105.0,4.25,1.65,0.29,1.12,1.44,2.43,2.45,2.55,2.51,13.05,18.0,98.0,1.0
1020.0,3.7,1.5,0.28,1.18,1.37,2.64,2.4,2.1,2.69,13.07,15.5,98.0,1.0
760.0,5.1,3.99,0.2,0.89,2.08,3.04,3.0,2.51,3.53,14.22,13.2,128.0,1.0
795.0,6.13,1.71,0.34,0.95,2.34,3.29,3.15,2.31,3.38,13.56,16.2,117.0,1.0
1035.0,4.28,3.84,0.27,0.91,1.48,2.68,2.45,2.12,3.0,13.41,18.8,90.0,1.0
1095.0,5.43,1.89,0.17,0.88,1.7,3.56,3.25,2.59,3.56,13.88,15.0,101.0,1.0
680.0,4.36,3.98,0.32,0.82,1.66,2.63,2.64,2.29,3.0,13.24,17.5,103.0,1.0
885.0,5.04,1.77,0.28,0.88,2.03,3.0,3.0,2.1,3.35,13.05,17.0,107.0,1.0
1080.0,5.24,4.04,0.3,0.87,1.25,2.65,2.85,2.44,3.33,14.21,18.9,111.0,1.0
1065.0,4.9,3.59,0.27,1.04,2.19,3.17,3.25,2.28,3.44,14.38,16.0,102.0,1.0
985.0,6.1,1.68,0.21,0.91,2.14,3.39,3.1,2.12,3.33,13.9,16.0,101.0,1.0
1060.0,6.2,2.02,0.32,1.07,2.38,2.92,2.75,2.4,2.75,14.1,18.8,103.0,1.0
1260.0,8.9,1.73,0.32,1.12,2.08,3.54,2.88,2.27,3.1,13.94,17.4,108.0,1.0
1150.0,7.2,1.73,0.17,1.12,2.91,3.27,2.72,2.04,2.91,13.05,12.4,92.0,1.0
1265.0,5.6,1.65,0.22,1.24,2.29,2.99,2.45,2.6,3.37,13.83,17.2,94.0,1.0
1190.0,7.05,1.75,0.32,1.01,1.87,3.74,3.88,2.42,3.26,13.82,14.0,111.0,1.0
1375.0,6.3,1.9,0.39,1.13,1.68,2.79,3.0,2.68,2.93,13.77,17.1,115.0,1.0
1060.0,5.85,1.67,0.21,0.92,1.62,2.9,2.6,2.25,3.2,13.74,16.4,118.0,1.0
1120.0,6.25,1.73,0.2,0.98,2.45,2.78,2.96,2.46,3.03,13.56,20.5,116.0,1.0
970.0,6.38,1.7,0.26,0.94,2.03,3.0,3.2,2.3,3.31,14.22,16.3,118.0,1.0
1270.0,6.0,1.97,0.31,1.07,1.66,3.23,3.0,2.68,2.84,13.29,16.8,102.0,1.0
1285.0,6.8,1.43,0.19,0.89,2.04,3.67,3.4,2.5,2.87,13.72,16.7,108.0,1.0
520.0,1.95,0.94,0.28,1.05,0.42,0.57,1.98,1.36,1.82,12.37,10.6,88.0,2.0
680.0,3.27,1.1,0.63,1.25,0.41,1.09,2.05,2.28,1.67,12.33,16.0,101.0,2.0
450.0,5.75,1.36,0.53,0.98,0.62,1.41,2.02,2.02,1.59,12.64,16.8,100.0,2.0
630.0,3.8,1.25,0.32,1.23,0.73,1.79,2.1,1.92,2.46,13.67,18.0,94.0,2.0
