proline ,alcohol,color_intensity,OD280/OD315,ash,total_phenols,flavanoids,proanthocyanins,hue,nonflavanoid_phenols,malic_acid,alcalinity_of_ash,magnesium,class
1065.0,14.23,5.64,3.92,2.43,2.8,3.06,2.29,1.04,0.28,1.71,15.6,127.0,1.0
1050.0,13.2,4.38,3.4,2.14,2.65,2.76,1.28,1.05,0.26,1.78,11.2,100.0,1.0
1185.0,13.16,5.68,3.17,2.67,2.8,3.24,2.81,1.03,0.3,2.36,18.6,101.0,1.0
1480.0,14.37,7.8,3.45,2.5,3.85,3.49,2.18,0.86,0.24,1.95,16.8,113.0,1.0
735.0,13.24,4.32,2.93,2.87,2.8,2.69,1.82,1.04,0.39,2.59,21.0,118.0,1.0
1450.0,14.2,6.75,2.85,2.45,3.27,3.39,1.97,1.05,0.34,1.76,15.2,112.0,1.0
1290.0,14.39,5.25,3.58,2.45,2.5,2.52,1.98,1.02,0.3,1.87,14.6,96.0,1.0
1295.0,14.06,5.05,3.58,2.61,2.6,2.51,1.25,1.06,0.31,2.15,17.6,121.0,1.0
1045.0,14.83,5.2,2.85,2.17,2.8,2.98,1.98,1.08,0.29,1.64,14.0,97.0,1.0
1045.0,13.86,7.22,3.55,2.27,2.98,3.15,1.85,1.01,0.22,1.35,16.0,98.0,1.0
1510.0,14.1,5.75,3.17,2.3,2.95,3.32,2.38,1.25,0.22,2.16,18.0,105.0,1.0
1280.0,14.12,5.0,2.82,2.32,2.2,2.43,1.57,1.17,0.26,1.48,16.8,95.0,1.0
1320.0,13.75,5.6,2.9,2.41,2.6,2.76,1.81,1.15,0.29,1.73,16.0,89.0,1.0
1150.0,14.75,5.4,2.73,2.39,3.1,3.69,2.81,1.25,0.43,1.73,11.4,91.0,1.0
1547.0,14.38,7.5,3.0,2.38,3.3,3.64,2.96,1.2,0.29,1.87,12.0,102.0,1.0
1310.0,13.63,7.3,2.88,2.7,2.85,2.91,1.46,1.28,0.3,1.81,17.2,112.0,1.0
1280.0,14.3,6.2,2.65,2.72,2.8,3.14,1.97,1.07,0.33,1.92,20.0,120.0,1.0
1130.0,13.83,6.6,2.57,2.62,2.95,3.4,1.72,1.13,0.4,1.57,20.0,115.0,1.0
1680.0,14.19,8.7,2.82,2.48,3.3,3.93,1.86,1.23,0.32,1.59,16.5,108.0,1.0
845.0,13.64,5.1,3.36,2.56,2.7,3.03,1.66,0.96,0.17,3.1,15.2,116.0,1.0
780.0,14.06,5.65,3.71,2.28,3.0,3.17,2.1,1.09,0.24,1.63,16.0,126.0,1.0
770.0,12.93,4.5,3.52,2.65,2.41,2.41,1.98,1.03,0.25,3.8,18.6,102.0,1.0
1035.0,13.71,3.8,4.0,2.36,2.61,2.88,1.69,1.11,0.27,1.86,16.6,101.0,1.0
1015.0,12.85,3.93,3.63,2.52,2.48,2.37,1.46,1.09,0.26,1.6,17.8,95.0,1.0
845.0,13.5,3.52,3.82,2.61,2.53,2.61,1.66,1.12,0.28,1.81,20.0,96.0,1.0
830.0,13.05,3.58,3.2,3.22,2.63,2.68,1.92,1.13,0.47,2.05,25.0,124.0,1.0
1195.0,13.39,4.8,3.22,2.62,2.85,2.94,1.45,0.92,0.34,1.77,16.1,93.0,1.0
1285.0,13.3,3.95,2.77,2.14,2.4,2.19,1.35,1.02,0.27,1.72,17.0,94.0,1.0
915.0,13.87,4.5,3.4,2.8,2.95,2.97,1.76,1.25,0.37,1.9,19.4,107.0,1.0
1035.0,14.02,4.7,3.59,2.21,2.65,2.33,1.98,1.04,0.26,1.68,16.0,96.0,1.0
1285.0,13.73,5.7,2.71,2.7,3.0,3.25,2.38,1.19,0.29,1.5,22.5,101.0,1.0
1515.0,13.58,6.9,2.88,2.36,2.86,3.19,1.95,1.09,0.22,1.66,19.1,106.0,1.0
990.0,13.68,3.84,2.87,2.36,2.42,2.69,1.97,1.23,0.42,1.83,17.2,104.0,1.0
1235.0,13.76,5.4,3.0,2.7,2.95,2.74,1.35,1.25,0.5,1.53,19.5,132.0,1.0
1095.0,13.51,4.2,2.87,2.65,2.35,2.53,1.54,1.1,0.29,1.8,19.0,110.0,1.0
920.0,13.48,5.1,3.47,2.41,2.7,2.98,1.86,1.04,0.26,1.81,20.5,100.0,1.0
880.0,13.28,4.6,2.78,2.84,2.6,2.68,1.36,1.09,0.34,1.64,15.5,110.0,1.0
1105.0,13.05,4.25,2.51,2.55,2.45,2.43,1.44,1.12,0.29,1.65,18.0,98.0,1.0
1020.0,13.07,3.7,2.69,2.1,2.4,2.64,1.37,1.18,0.28,1.5,15.5,98.0,1.0
760.0,14.22,5.1,3.53,2.51,3.0,3.04,2.08,0.89,0.2,3.99,13.2,128.0,1.0
795.0,13.56,6.13,3.38,2.31,3.15,3.29,2.34,0.95,0.34,1.71,16.2,117.0,1.0
1035.0,13.41,4.28,3.0,2.12,2.45,2.68,1.48,0.91,0.27,3.84,18.8,90.0,1.0
1095.0,13.88,5.43,3.56,2.59,3.25,3.56,1.7,0.88,0.17,1.89,15.0,101.0,1.0
680.0,13.24,4.36,3.0,2.29,2.64,2.63,1.66,0.82,0.32,3.98,17.5,103.0,1.0
885.0,13.05,5.04,3.35,2.1,3.0,3.0,2.03,0.88,0.28,1.77,17.0,107.0,1.0
