proline ,magnesium,alcalinity_of_ash,alcohol,color_intensity,malic_acid,ash,OD280/OD315,total_phenols,flavanoids,proanthocyanins,hue,nonflavanoid_phenols,class
1065.0,127.0,15.6,14.23,5.64,1.71,2.43,3.92,2.8,3.06,2.29,1.04,0.28,1.0
1050.0,100.0,11.2,13.2,4.38,1.78,2.14,3.4,2.65,2.76,1.28,1.05,0.26,1.0
1185.0,101.0,18.6,13.16,5.68,2.36,2.67,3.17,2.8,3.24,2.81,1.03,0.3,1.0
1480.0,113.0,16.8,14.37,7.8,1.95,2.5,3.45,3.85,3.49,2.18,0.86,0.24,1.0
735.0,118.0,21.0,13.24,4.32,2.59,2.87,2.93,2.8,2.69,1.82,1.04,0.39,1.0
1450.0,112.0,15.2,14.2,6.75,1.76,2.45,2.85,3.27,3.39,1.97,1.05,0.34,1.0
1290.0,96.0,14.6,14.39,5.25,1.87,2.45,3.58,2.5,2.52,1.98,1.02,0.3,1.0
1295.0,121.0,17.6,14.06,5.05,2.15,2.61,3.58,2.6,2.51,1.25,1.06,0.31,1.0
1045.0,97.0,14.0,14.83,5.2,1.64,2.17,2.85,2.8,2.98,1.98,1.08,0.29,1.0
1045.0,98.0,16.0,13.86,7.22,1.35,2.27,3.55,2.98,3.15,1.85,1.01,0.22,1.0
1510.0,105.0,18.0,14.1,5.75,2.16,2.3,3.17,2.95,3.32,2.38,1.25,0.22,1.0
1280.0,95.0,16.8,14.12,5.0,1.48,2.32,2.82,2.2,2.43,1.57,1.17,0.26,1.0
1320.0,89.0,16.0,13.75,5.6,1.73,2.41,2.9,2.6,2.76,1.81,1.15,0.29,1.0
1150.0,91.0,11.4,14.75,5.4,1.73,2.39,2.73,3.1,3.69,2.81,1.25,0.43,1.0
1547.0,102.0,12.0,14.38,7.5,1.87,2.38,3.0,3.3,3.64,2.96,1.2,0.29,1.0
1310.0,112.0,17.2,13.63,7.3,1.81,2.7,2.88,2.85,2.91,1.46,1.28,0.3,1.0
1280.0,120.0,20.0,14.3,6.2,1.92,2.72,2.65,2.8,3.14,1.97,1.07,0.33,1.0
1130.0,115.0,20.0,13.83,6.6,1.57,2.62,2.57,2.95,3.4,1.72,1.13,0.4,1.0
1680.0,108.0,16.5,14.19,8.7,1.59,2.48,2.82,3.3,3.93,1.86,1.23,0.32,1.0
845.0,116.0,15.2,13.64,5.1,3.1,2.56,3.36,2.7,3.03,1.66,0.96,0.17,1.0
780.0,126.0,16.0,14.06,5.65,1.63,2.28,3.71,3.0,3.17,2.1,1.09,0.24,1.0
770.0,102.0,18.6,12.93,4.5,3.8,2.65,3.52,2.41,2.41,1.98,1.03,0.25,1.0
1035.0,101.0,16.6,13.71,3.8,1.86,2.36,4.0,2.61,2.88,1.69,1.11,0.27,1.0
1015.0,95.0,17.8,12.85,3.93,1.6,2.52,3.63,2.48,2.37,1.46,1.09,0.26,1.0
845.0,96.0,20.0,13.5,3.52,1.81,2.61,3.82,2.53,2.61,1.66,1.12,0.28,1.0
830.0,124.0,25.0,13.05,3.58,2.05,3.22,3.2,2.63,2.68,1.92,1.13,0.47,1.0
1195.0,93.0,16.1,13.39,4.8,1.77,2.62,3.22,2.85,2.94,1.45,0.92,0.34,1.0
1285.0,94.0,17.0,13.3,3.95,1.72,2.14,2.77,2.4,2.19,1.35,1.02,0.27,1.0
915.0,107.0,19.4,13.87,4.5,1.9,2.8,3.4,2.95,2.97,1.76,1.25,0.37,1.0
1035.0,96.0,16.0,14.02,4.7,1.68,2.21,3.59,2.65,2.33,1.98,1.04,0.26,1.0
1285.0,101.0,22.5,13.73,5.7,1.5,2.7,2.71,3.0,3.25,2.38,1.19,0.29,1.0
1515.0,106.0,19.1,13.58,6.9,1.66,2.36,2.88,2.86,3.19,1.95,1.09,0.22,1.0
990.0,104.0,17.2,13.68,3.84,1.83,2.36,2.87,2.42,2.69,1.97,1.23,0.42,1.0
1235.0,132.0,19.5,13.76,5.4,1.53,2.7,3.0,2.95,2.74,1.35,1.25,0.5,1.0
1095.0,110.0,19.0,13.51,4.2,1.8,2.65,2.87,2.35,2.53,1.54,1.1,0.29,1.0
920.0,100.0,20.5,13.48,5.1,1.81,2.41,3.47,2.7,2.98,1.86,1.04,0.26,1.0
880.0,110.0,15.5,13.28,4.6,1.64,2.84,2.78,2.6,2.68,1.36,1.09,0.34,1.0
1105.0,98.0,18.0,13.05,4.25,1.65,2.55,2.51,2.45,2.43,1.44,1.12,0.29,1.0
1020.0,98.0,15.5,13.07,3.7,1.5,2.1,2.69,2.4,2.64,1.37,1.18,0.28,1.0
760.0,128.0,13.2,14.22,5.1,3.99,2.51,3.53,3.0,3.04,2.08,0.89,0.2,1.0
795.0,117.0,16.2,13.56,6.13,1.71,2.31,3.38,3.15,3.29,2.34,0.95,0.34,1.0
1035.0,90.0,18.8,13.41,4.28,3.84,2.12,3.0,2.45,2.68,1.48,0.91,0.27,1.0
1095.0,101.0,15.0,13.88,5.43,1.89,2.59,3.56,3.25,3.56,1.7,0.88,0.17,1.0
680.0,103.0,17.5,13.24,4.36,3.98,2.29,3.0,2.64,2.63,1.66,0.82,0.32,1.0
885.0,107.0,17.0,13.05,5.04,1.77,2.1,3.35,3.0,3.0,2.03,0.88,0.28,1.0
1080.0,111.0,18.9,14.21,5.24,4.04,2.44,3.33,2.85,2.65,1.25,0.87,0.3,1.0
1065.0,102.0,16.0,14.38,4.9,3.59,2.28,3.44,3.25,3.17,2.19,1.04,0.27,1.0
985.0,101.0,16.0,13.9,6.1,1.68,2.12,3.33,3.1,3.39,2.14,0.91,0.21,1.0
1060.0,103.0,18.8,14.1,6.2,2.02,2.4,2.75,2.75,2.92,2.38,1.07,0.32,1.0
1260.0,108.0,17.4,13.94,8.9,1.73,2.27,3.1,2.88,3.54,2.08,1.12,0.32,1.0
1150.0,92.0,12.4,13.05,7.2,1.73,2.04,2.91,2.72,3.27,2.91,1.12,0.17,1.0
1265.0,94.0,17.2,13.83,5.6,1.65,2.6,3.37,2.45,2.99,2.29,1.24,0.22,1.0
1190.0,111.0,14.0,13.82,7.05,1.75,2.42,3.26,3.88,3.74,1.87,1.01,0.32,1.0
1375.0,115.0,17.1,13.77,6.3,1.9,2.68,2.93,3.0,2.79,1.68,1.13,0.39,1.0
1060.0,118.0,16.4,13.74,5.85,1.67,2.25,3.2,2.6,2.9,1.62,0.92,0.21,1.0
1120.0,116.0,20.5,13.56,6.25,1.73,2.46,3.03,2.96,2.78,2.45,0.98,0.2,1.0
970.0,118.0,16.3,14.22,6.38,1.7,2.3,3.31,3.2,3.0,2.03,0.94,0.26,1.0
