flavanoids,color_intensity,hue,nonflavanoid_phenols,OD280/OD315,alcalinity_of_ash,alcohol,proanthocyanins,ash,total_phenols,magnesium,malic_acid,proline ,class
3.06,5.64,1.04,0.28,3.92,15.6,14.23,2.29,2.43,2.8,127.0,1.71,1065.0,1.0
2.76,4.38,1.05,0.26,3.4,11.2,13.2,1.28,2.14,2.65,100.0,1.78,1050.0,1.0
3.24,5.68,1.03,0.3,3.17,18.6,13.16,2.81,2.67,2.8,101.0,2.36,1185.0,1.0
3.49,7.8,0.86,0.24,3.45,16.8,14.37,2.18,2.5,3.85,113.0,1.95,1480.0,1.0
2.69,4.32,1.04,0.39,2.93,21.0,13.24,1.82,2.87,2.8,118.0,2.59,735.0,1.0
3.39,6.75,1.05,0.34,2.85,15.2,14.2,1.97,2.45,3.27,112.0,1.76,1450.0,1.0
2.52,5.25,1.02,0.3,3.58,14.6,14.39,1.98,2.45,2.5,96.0,1.87,1290.0,1.0
2.51,5.05,1.06,0.31,3.58,17.6,14.06,1.25,2.61,2.6,121.0,2.15,1295.0,1.0
2.98,5.2,1.08,0.29,2.85,14.0,14.83,1.98,2.17,2.8,97.0,1.64,1045.0,1.0
3.15,7.22,1.01,0.22,3.55,16.0,13.86,1.85,2.27,2.98,98.0,1.35,1045.0,1.0
3.32,5.75,1.25,0.22,3.17,18.0,14.1,2.38,2.3,2.95,105.0,2.16,1510.0,1.0
2.43,5.0,1.17,0.26,2.82,16.8,14.12,1.57,2.32,2.2,95.0,1.48,1280.0,1.0
2.76,5.6,1.15,0.29,2.9,16.0,13.75,1.81,2.41,2.6,89.0,1.73,1320.0,1.0
3.69,5.4,1.25,0.43,2.73,11.4,14.75,2.81,2.39,3.1,91.0,1.73,1150.0,1.0
3.64,7.5,1.2,0.29,3.0,12.0,14.38,2.96,2.38,3.3,102.0,1.87,1547.0,1.0
2.91,7.3,1.28,0.3,2.88,17.2,13.63,1.46,2.7,2.85,112.0,1.81,1310.0,1.0
