proline ,nonflavanoid_phenols,hue,proanthocyanins,flavanoids,total_phenols,OD280/OD315,ash,malic_acid,color_intensity,alcohol,alcalinity_of_ash,magnesium,class
1065.0,0.28,1.04,2.29,3.06,2.8,3.92,2.43,1.71,5.64,14.23,15.6,127.0,1.0
1050.0,0.26,1.05,1.28,2.76,2.65,3.4,2.14,1.78,4.38,13.2,11.2,100.0,1.0
1185.0,0.3,1.03,2.81,3.24,2.8,3.17,2.67,2.36,5.68,13.16,18.6,101.0,1.0
1480.0,0.24,0.86,2.18,3.49,3.85,3.45,2.5,1.95,7.8,14.37,16.8,113.0,1.0
735.0,0.39,1.04,1.82,2.69,2.8,2.93,2.87,2.59,4.32,13.24,21.0,118.0,1.0
1450.0,0.34,1.05,1.97,3.39,3.27,2.85,2.45,1.76,6.75,14.2,15.2,112.0,1.0
1290.0,0.3,1.02,1.98,2.52,2.5,3.58,2.45,1.87,5.25,14.39,14.6,96.0,1.0
1295.0,0.31,1.06,1.25,2.51,2.6,3.58,2.61,2.15,5.05,14.06,17.6,121.0,1.0
1045.0,0.29,1.08,1.98,2.98,2.8,2.85,2.17,1.64,5.2,14.83,14.0,97.0,1.0
1045.0,0.22,1.01,1.85,3.15,2.98,3.55,2.27,1.35,7.22,13.86,16.0,98.0,1.0
1510.0,0.22,1.25,2.38,3.32,2.95,3.17,2.3,2.16,5.75,14.1,18.0,105.0,1.0
1280.0,0.26,1.17,1.57,2.43,2.2,2.82,2.32,1.48,5.0,14.12,16.8,95.0,1.0
1320.0,0.29,1.15,1.81,2.76,2.6,2.9,2.41,1.73,5.6,13.75,16.0,89.0,1.0
1150.0,0.43,1.25,2.81,3.69,3.1,2.73,2.39,1.73,5.4,14.75,11.4,91.0,1.0
1547.0,0.29,1.2,2.96,3.64,3.3,3.0,2.38,1.87,7.5,14.38,12.0,102.0,1.0
1310.0,0.3,1.28,1.46,2.91,2.85,2.88,2.7,1.81,7.3,13.63,17.2,112.0,1.0
1280.0,0.33,1.07,1.97,3.14,2.8,2.65,2.72,1.92,6.2,14.3,20.0,120.0,1.0
1130.0,0.4,1.13,1.72,3.4,2.95,2.57,2.62,1.57,6.6,13.83,20.0,115.0,1.0
1680.0,0.32,1.23,1.86,3.93,3.3,2.82,2.48,1.59,8.7,14.19,16.5,108.0,1.0
845.0,0.17,0.96,1.66,3.03,2.7,3.36,2.56,3.1,5.1,13.64,15.2,116.0,1.0
780.0,0.24,1.09,2.1,3.17,3.0,3.71,2.28,1.63,5.65,14.06,16.0,126.0,1.0
770.0,0.25,1.03,1.98,2.41,2.41,3.52,2.65,3.8,4.5,12.93,18.6,102.0,1.0
1035.0,0.27,1.11,1.69,2.88,2.61,4.0,2.36,1.86,3.8,13.71,16.6,101.0,1.0
1015.0,0.26,1.09,1.46,2.37,2.48,3.63,2.52,1.6,3.93,12.85,17.8,95.0,1.0
845.0,0.28,1.12,1.66,2.61,2.53,3.82,2.61,1.81,3.52,13.5,20.0,96.0,1.0
830.0,0.47,1.13,1.92,2.68,2.63,3.2,3.22,2.05,3.58,13.05,25.0,124.0,1.0
1195.0,0.34,0.92,1.45,2.94,2.85,3.22,2.62,1.77,4.8,13.39,16.1,93.0,1.0
1285.0,0.27,1.02,1.35,2.19,2.4,2.77,2.14,1.72,3.95,13.3,17.0,94.0,1.0
915.0,0.37,1.25,1.76,2.97,2.95,3.4,2.8,1.9,4.5,13.87,19.4,107.0,1.0
1035.0,0.26,1.04,1.98,2.33,2.65,3.59,2.21,1.68,4.7,14.02,16.0,96.0,1.0
1285.0,0.29,1.19,2.38,3.25,3.0,2.71,2.7,1.5,5.7,13.73,22.5,101.0,1.0
1515.0,0.22,1.09,1.95,3.19,2.86,2.88,2.36,1.66,6.9,13.58,19.1,106.0,1.0
990.0,0.42,1.23,1.97,2.69,2.42,2.87,2.36,1.83,3.84,13.68,17.2,104.0,1.0
