total_phenols,proline ,malic_acid,alcohol,OD280/OD315,nonflavanoid_phenols,color_intensity,hue,proanthocyanins,ash,magnesium,alcalinity_of_ash,flavanoids,class
2.8,1065.0,1.71,14.23,3.92,0.28,5.64,1.04,2.29,2.43,127.0,15.6,3.06,1.0
2.65,1050.0,1.78,13.2,3.4,0.26,4.38,1.05,1.28,2.14,100.0,11.2,2.76,1.0
2.8,1185.0,2.36,13.16,3.17,0.3,5.68,1.03,2.81,2.67,101.0,18.6,3.24,1.0
3.85,1480.0,1.95,14.37,3.45,0.24,7.8,0.86,2.18,2.5,113.0,16.8,3.49,1.0
2.8,735.0,2.59,13.24,2.93,0.39,4.32,1.04,1.82,2.87,118.0,21.0,2.69,1.0
3.27,1450.0,1.76,14.2,2.85,0.34,6.75,1.05,1.97,2.45,112.0,15.2,3.39,1.0
2.5,1290.0,1.87,14.39,3.58,0.3,5.25,1.02,1.98,2.45,96.0,14.6,2.52,1.0
2.6,1295.0,2.15,14.06,3.58,0.31,5.05,1.06,1.25,2.61,121.0,17.6,2.51,1.0
2.8,1045.0,1.64,14.83,2.85,0.29,5.2,1.08,1.98,2.17,97.0,14.0,2.98,1.0
2.98,1045.0,1.35,13.86,3.55,0.22,7.22,1.01,1.85,2.27,98.0,16.0,3.15,1.0
2.95,1510.0,2.16,14.1,3.17,0.22,5.75,1.25,2.38,2.3,105.0,18.0,3.32,1.0
2.2,1280.0,1.48,14.12,2.82,0.26,5.0,1.17,1.57,2.32,95.0,16.8,2.43,1.0
2.6,1320.0,1.73,13.75,2.9,0.29,5.6,1.15,1.81,2.41,89.0,16.0,2.76,1.0
3.1,1150.0,1.73,14.75,2.73,0.43,5.4,1.25,2.81,2.39,91.0,11.4,3.69,1.0
3.3,1547.0,1.87,14.38,3.0,0.29,7.5,1.2,2.96,2.38,102.0,12.0,3.64,1.0
2.85,1310.0,1.81,13.63,2.88,0.3,7.3,1.28,1.46,2.7,112.0,17.2,2.91,1.0
2.8,1280.0,1.92,14.3,2.65,0.33,6.2,1.07,1.97,2.72,120.0,20.0,3.14,1.0
2.95,1130.0,1.57,13.83,2.57,0.4,6.6,1.13,1.72,2.62,115.0,20.0,3.4,1.0
3.3,1680.0,1.59,14.19,2.82,0.32,8.7,1.23,1.86,2.48,108.0,16.5,3.93,1.0
2.7,845.0,3.1,13.64,3.36,0.17,5.1,0.96,1.66,2.56,116.0,15.2,3.03,1.0
3.0,780.0,1.63,14.06,3.71,0.24,5.65,1.09,2.1,2.28,126.0,16.0,3.17,1.0
2.41,770.0,3.8,12.93,3.52,0.25,4.5,1.03,1.98,2.65,102.0,18.6,2.41,1.0
2.61,1035.0,1.86,13.71,4.0,0.27,3.8,1.11,1.69,2.36,101.0,16.6,2.88,1.0
2.48,1015.0,1.6,12.85,3.63,0.26,3.93,1.09,1.46,2.52,95.0,17.8,2.37,1.0
2.53,845.0,1.81,13.5,3.82,0.28,3.52,1.12,1.66,2.61,96.0,20.0,2.61,1.0
2.63,830.0,2.05,13.05,3.2,0.47,3.58,1.13,1.92,3.22,124.0,25.0,2.68,1.0
2.85,1195.0,1.77,13.39,3.22,0.34,4.8,0.92,1.45,2.62,93.0,16.1,2.94,1.0
2.4,1285.0,1.72,13.3,2.77,0.27,3.95,1.02,1.35,2.14,94.0,17.0,2.19,1.0
2.95,915.0,1.9,13.87,3.4,0.37,4.5,1.25,1.76,2.8,107.0,19.4,2.97,1.0
2.65,1035.0,1.68,14.02,3.59,0.26,4.7,1.04,1.98,2.21,96.0,16.0,2.33,1.0
3.0,1285.0,1.5,13.73,2.71,0.29,5.7,1.19,2.38,2.7,101.0,22.5,3.25,1.0
2.86,1515.0,1.66,13.58,2.88,0.22,6.9,1.09,1.95,2.36,106.0,19.1,3.19,1.0
2.42,990.0,1.83,13.68,2.87,0.42,3.84,1.23,1.97,2.36,104.0,17.2,2.69,1.0
2.95,1235.0,1.53,13.76,3.0,0.5,5.4,1.25,1.35,2.7,132.0,19.5,2.74,1.0
2.35,1095.0,1.8,13.51,2.87,0.29,4.2,1.1,1.54,2.65,110.0,19.0,2.53,1.0
2.7,920.0,1.81,13.48,3.47,0.26,5.1,1.04,1.86,2.41,100.0,20.5,2.98,1.0
2.6,880.0,1.64,13.28,2.78,0.34,4.6,1.09,1.36,2.84,110.0,15.5,2.68,1.0
2.45,1105.0,1.65,13.05,2.51,0.29,4.25,1.12,1.44,2.55,98.0,18.0,2.43,1.0
2.4,1020.0,1.5,13.07,2.69,0.28,3.7,1.18,1.37,2.1,98.0,15.5,2.64,1.0
3.0,760.0,3.99,14.22,3.53,0.2,5.1,0.89,2.08,2.51,128.0,13.2,3.04,1.0
3.15,795.0,1.71,13.56,3.38,0.34,6.13,0.95,2.34,2.31,117.0,16.2,3.29,1.0
2.45,1035.0,3.84,13.41,3.0,0.27,4.28,0.91,1.48,2.12,90.0,18.8,2.68,1.0
3.25,1095.0,1.89,13.88,3.56,0.17,5.43,0.88,1.7,2.59,101.0,15.0,3.56,1.0
2.64,680.0,3.98,13.24,3.0,0.32,4.36,0.82,1.66,2.29,103.0,17.5,2.63,1.0
3.0,885.0,1.77,13.05,3.35,0.28,5.04,0.88,2.03,2.1,107.0,17.0,3.0,1.0
2.85,1080.0,4.04,14.21,3.33,0.3,5.24,0.87,1.25,2.44,111.0,18.9,2.65,1.0
3.25,1065.0,3.59,14.38,3.44,0.27,4.9,1.04,2.19,2.28,102.0,16.0,3.17,1.0
3.1,985.0,1.68,13.9,3.33,0.21,6.1,0.91,2.14,2.12,101.0,16.0,3.39,1.0
2.75,1060.0,2.02,14.1,2.75,0.32,6.2,1.07,2.38,2.4,103.0,18.8,2.92,1.0
2.88,1260.0,1.73,13.94,3.1,0.32,8.9,1.12,2.08,2.27,108.0,17.4,3.54,1.0
2.72,1150.0,1.73,13.05,2.91,0.17,7.2,1.12,2.91,2.04,92.0,12.4,3.27,1.0
2.45,1265.0,1.65,13.83,3.37,0.22,5.6,1.24,2.29,2.6,94.0,17.2,2.99,1.0
3.88,1190.0,1.75,13.82,3.26,0.32,7.05,1.01,1.87,2.42,111.0,14.0,3.74,1.0
3.0,1375.0,1.9,13.77,2.93,0.39,6.3,1.13,1.68,2.68,115.0,17.1,2.79,1.0
2.6,1060.0,1.67,13.74,3.2,0.21,5.85,0.92,1.62,2.25,118.0,16.4,2.9,1.0
2.96,1120.0,1.73,13.56,3.03,0.2,6.25,0.98,2.45,2.46,116.0,20.5,2.78,1.0
3.2,970.0,1.7,14.22,3.31,0.26,6.38,0.94,2.03,2.3,118.0,16.3,3.0,1.0
3.0,1270.0,1.97,13.29,2.84,0.31,6.0,1.07,1.66,2.68,102.0,16.8,3.23,1.0
3.4,1285.0,1.43,13.72,2.87,0.19,6.8,0.89,2.04,2.5,108.0,16.7,3.67,1.0
1.98,520.0,0.94,12.37,1.82,0.28,1.95,1.05,0.42,1.36,88.0,10.6,0.57,2.0
2.05,680.0,1.1,12.33,1.67,0.63,3.27,1.25,0.41,2.28,101.0,16.0,1.09,2.0
2.02,450.0,1.36,12.64,1.59,0.53,5.75,0.98,0.62,2.02,100.0,16.8,1.41,2.0
2.1,630.0,1.25,13.67,2.46,0.32,3.8,1.23,0.73,1.92,94.0,18.0,1.79,2.0
3.5,420.0,1.13,12.37,2.87,0.19,4.45,1.22,1.87,2.16,87.0,19.0,3.1,2.0
1.89,355.0,1.45,12.17,2.23,0.45,2.95,1.45,1.03,2.53,104.0,19.0,1.75,2.0
2.42,678.0,1.21,12.37,2.3,0.37,4.6,1.19,2.08,2.56,98.0,18.1,2.65,2.0
2.98,502.0,1.01,13.11,3.18,0.26,5.3,1.12,2.28,1.7,78.0,15.0,3.18,2.0
2.11,510.0,1.17,12.37,3.48,0.27,4.68,1.12,1.04,1.92,78.0,19.6,2.0,2.0
2.53,750.0,0.94,13.34,1.93,0.55,3.17,1.02,0.42,2.36,110.0,17.0,1.3,2.0
1.85,718.0,1.19,12.21,3.07,0.14,2.85,1.28,2.5,1.75,151.0,16.8,1.28,2.0
1.1,870.0,1.61,12.29,1.82,0.37,3.05,0.906,1.46,2.21,103.0,20.4,1.02,2.0
2.95,410.0,1.51,13.86,3.16,0.21,3.38,1.36,1.87,2.67,86.0,25.0,2.86,2.0
1.88,472.0,1.66,13.49,2.78,0.27,3.74,0.98,1.03,2.24,87.0,24.0,1.84,2.0
3.3,985.0,1.67,12.99,3.5,0.21,3.35,1.31,1.96,2.6,139.0,30.0,2.89,2.0
3.38,886.0,1.09,11.96,3.13,0.13,3.21,0.99,1.65,2.3,101.0,21.0,2.14,2.0
1.61,428.0,1.88,11.66,2.14,0.34,3.8,1.23,1.15,1.92,97.0,16.0,1.57,2.0
1.95,392.0,0.9,13.03,2.48,0.24,4.6,1.19,1.46,1.71,86.0,16.0,2.03,2.0
1.72,500.0,2.89,11.84,2.52,0.43,2.65,0.96,0.95,2.23,112.0,18.0,1.32,2.0
1.9,750.0,0.99,12.33,2.31,0.35,3.4,1.06,2.76,1.95,136.0,14.8,1.85,2.0
2.83,463.0,3.87,12.7,3.13,0.43,2.57,1.19,1.95,2.4,101.0,23.0,2.55,2.0
