mcg,gvh,vac,erl,alm,nuc,pox,mit,class
0.58,0.61,0.48,0.5,0.47,0.22,0.0,0.13,MIT
0.43,0.67,0.53,0.5,0.48,0.22,0.0,0.27,MIT
0.64,0.62,0.53,0.5,0.49,0.22,0.0,0.15,MIT
0.58,0.44,0.54,0.5,0.57,0.22,0.0,0.13,NUC
0.42,0.44,0.48,0.5,0.48,0.22,0.0,0.54,MIT
0.51,0.4,0.49,0.5,0.56,0.22,0.5,0.17,CYT
0.5,0.54,0.53,0.5,0.48,0.22,0.0,0.65,MIT
0.48,0.45,0.58,0.5,0.59,0.34,0.0,0.2,NUC
0.55,0.5,0.49,0.5,0.66,0.22,0.0,0.36,MIT
0.4,0.39,0.58,0.5,0.6,0.3,0.0,0.15,CYT
0.43,0.39,0.53,0.5,0.54,0.27,0.0,0.21,NUC
0.42,0.37,0.52,0.5,0.59,0.29,0.0,0.2,NUC
0.4,0.42,0.53,0.5,0.57,0.25,0.0,0.35,CYT
0.6,0.4,0.53,0.5,0.52,0.22,0.0,0.46,MIT
0.66,0.55,0.46,0.5,0.45,0.22,0.0,0.19,MIT
0.46,0.44,0.5,0.5,0.52,0.22,0.0,0.11,CYT
0.47,0.39,0.49,0.5,0.5,0.4,0.0,0.11,CYT
0.58,0.47,0.51,0.5,0.54,0.26,0.0,0.11,NUC
0.5,0.34,0.49,0.5,0.55,0.22,0.0,0.21,NUC
0.61,0.6,0.5,0.5,0.55,0.25,0.0,0.21,NUC
0.45,0.4,0.5,0.5,0.5,0.22,0.0,0.16,CYT
0.43,0.44,0.51,0.5,0.48,0.22,0.0,0.22,CYT
0.73,0.63,0.49,0.5,0.42,0.22,0.0,0.3,CYT
0.43,0.53,0.55,0.5,0.52,0.22,0.0,0.13,CYT
0.46,0.53,0.58,0.5,0.52,0.22,0.0,0.15,CYT
0.51,0.51,0.54,0.5,0.52,0.22,0.0,0.51,MIT
0.59,0.45,0.59,0.5,0.53,0.27,0.0,0.19,CYT
0.57,0.47,0.51,0.5,0.6,0.22,0.0,0.18,CYT
0.63,0.67,0.49,0.5,0.57,0.22,0.0,0.24,MIT
