ordering n m time
EM 100 50 17.234375
EM 100 100 31.265625
EM 100 250 26.84375
EM 100 500 28.375
EM 100 1000 20.484375
EM 100 2000 20.21875
EM 100 2880 22.328125
EM 200 50 40.046875
EM 200 100 49.515625
EM 200 250 35.796875
EM 200 500 31.9375
EM 200 1000 27.765625
EM 200 2000 45.59375
EM 200 2880 51.546875
EM 500 50 85.890625
EM 500 100 89.46875
EM 500 250 100.8125
EM 500 500 96.5625
EM 500 1000 117.234375
EM 500 2000 86.0
EM 500 2880 104.84375
EM 1000 50 147.015625
EM 1000 100 154.53125
EM 1000 250 163.453125
EM 1000 500 182.0625
EM 1000 1000 239.328125
EM 1000 2000 184.46875
EM 1000 2880 237.09375
EM 2000 50 414.390625
EM 2000 100 405.03125
EM 2000 250 412.046875
EM 2000 500 433.5625
EM 2000 1000 384.171875
EM 2000 2000 410.234375
EM 2000 2880 602.9375
EM 3000 50 567.046875
EM 3000 100 448.421875
EM 3000 250 373.140625
EM 3000 500 417.53125
EM 3000 1000 522.21875
EM 3000 2000 1055.296875
EM 3000 2880 1629.9375
HColo 100 50 0.3125
HColo 100 100 0.28125
HColo 100 250 0.65625
HColo 100 500 0.984375
HColo 100 1000 1.734375
HColo 100 2000 3.3125
HColo 100 2880 4.5625
HColo 200 50 0.625
HColo 200 100 0.859375
HColo 200 250 1.265625
HColo 200 500 2.109375
HColo 200 1000 3.71875
HColo 200 2000 6.953125
HColo 200 2880 9.78125
HColo 500 50 3.046875
HColo 500 100 3.375
HColo 500 250 4.578125
HColo 500 500 6.40625
HColo 500 1000 10.46875
HColo 500 2000 18.15625
HColo 500 2880 24.5625
HColo 1000 50 10.78125
HColo 1000 100 11.53125
HColo 1000 250 13.953125
HColo 1000 500 17.640625
HColo 1000 1000 25.359375
HColo 1000 2000 40.5
HColo 1000 2880 53.90625
HColo 2000 50 41.09375
HColo 2000 100 42.296875
HColo 2000 250 47.203125
HColo 2000 500 55.015625
HColo 2000 1000 71.640625
HColo 2000 2000 102.96875
HColo 2000 2880 128.625
HColo 3000 50 91.25
HColo 3000 100 93.796875
HColo 3000 250 100.859375
HColo 3000 500 111.046875
HColo 3000 1000 134.53125
HColo 3000 2000 180.796875
HColo 3000 2880 222.234375
LK 100 50 11.5402860272
LK 100 100 3.29748009397
LK 100 250 4.32839111539
LK 100 500 5.85562463029
LK 100 1000 10.054834174
LK 100 2000 0.753879972308
LK 100 2880 0.474843392244
LK 200 50 14.8435807148
LK 200 100 39.2425787424
LK 200 250 54.199685385
LK 200 500 10.4202443398
LK 200 1000 13.3965684381
LK 200 2000 11.8114875544
LK 200 2880 7.95451657327
LK 500 50 310.188349633
LK 500 100 180.53492115
LK 500 250 138.156345576
LK 500 500 507.060166395
LK 500 1000 266.398706925
LK 500 2000 65.0673404019
LK 500 2880 104.602177114
LK 1000 50 1403.04045584
LK 1000 100 1032.01340053
LK 1000 250 1451.79671175
LK 1000 500 611.537591459
LK 1000 1000 2998.22522127
LK 1000 2000 344.154870935
LK 1000 2880 1919.96127165
